family_id	final_status	n
OG0000007	F	147
OG0000007	P	4
OG0000007	U	257
OG0000009	A	3
OG0000009	F	178
OG0000009	P	2569
OG0000009	U	1427
OG0000012	A	68
OG0000012	F	61
OG0000012	P	3447
OG0000012	U	409
OG0000015	A	1073
OG0000015	F	29
OG0000015	P	626
OG0000015	U	550
OG0000016	F	910
OG0000016	P	1111
OG0000016	U	2316
OG0000022	F	122
OG0000022	P	665
OG0000022	U	1372
OG0000024	A	276
OG0000024	F	74
OG0000024	P	1423
OG0000024	U	360
OG0000027	A	30
OG0000027	F	225
OG0000027	P	865
OG0000027	U	1886
OG0000029	A	1
OG0000029	F	36
OG0000029	P	529
OG0000029	U	734
OG0000030	A	96
OG0000030	F	43
OG0000030	P	1745
OG0000030	U	1021
OG0000038	F	11
OG0000038	P	49
OG0000038	U	76
OG0000039	F	10
OG0000039	P	1187
OG0000039	U	315
OG0000040	A	462
OG0000040	F	41
OG0000040	P	559
OG0000040	U	1004
OG0000042	F	365
OG0000042	P	504
OG0000042	U	408
OG0000045	A	112
OG0000046	F	34
OG0000046	P	143
OG0000046	U	1318
OG0000047	F	39
OG0000047	P	339
OG0000047	U	283
OG0000049	F	11
OG0000049	P	646
OG0000049	U	699
OG0000054	A	137
OG0000054	F	3
OG0000054	P	925
OG0000054	U	750
OG0000060	A	812
OG0000060	F	3
OG0000060	P	854
OG0000060	U	159
OG0000065	F	26
OG0000065	P	838
OG0000065	U	568
OG0000074	A	11
OG0000074	F	1806
OG0000074	P	1718
OG0000074	U	8028
OG0000075	P	129
OG0000075	U	3
OG0000077	A	50
OG0000077	F	21
OG0000077	P	1181
OG0000077	U	524
OG0000083	A	135
OG0000083	F	100
OG0000083	P	1181
OG0000083	U	915
OG0000086	F	4
OG0000086	P	11
OG0000086	U	121
OG0000087	A	146
OG0000087	F	10
OG0000087	P	324
OG0000087	U	4
OG0000090	A	75
OG0000090	F	8
OG0000090	P	1503
OG0000090	U	423
OG0000093	F	243
OG0000093	P	1071
OG0000093	U	1760
OG0000095	A	2
OG0000095	F	51
OG0000095	P	19
OG0000095	U	147
OG0000096	A	136
OG0000096	F	69
OG0000096	P	1415
OG0000096	U	1407
OG0000100	F	1
OG0000100	P	51
OG0000100	U	216
OG0000103	A	84
OG0000103	F	3
OG0000103	P	975
OG0000103	U	397
OG0000106	A	13
OG0000106	F	103
OG0000106	P	79
OG0000106	U	848
OG0000107	F	87
OG0000107	P	416
OG0000107	U	659
OG0000118	A	130
OG0000118	F	77
OG0000118	P	531
OG0000118	U	1080
OG0000126	F	18
OG0000126	P	418
OG0000126	U	651
OG0000141	F	43
OG0000141	P	344
OG0000141	U	138
OG0000142	F	160
OG0000142	P	142
OG0000142	U	1218
OG0000147	A	136
OG0000147	F	25
OG0000147	P	410
OG0000147	U	490
OG0000150	F	66
OG0000150	P	267
OG0000150	U	677
OG0000158	P	136
OG0000159	P	269
OG0000164	P	814
OG0000164	U	134
OG0000166	F	8
OG0000166	P	5
OG0000166	U	259
OG0000167	P	142
OG0000167	U	538
OG0000170	A	38
OG0000170	F	2
OG0000170	P	94
OG0000170	U	214
OG0000182	F	29
OG0000182	P	191
OG0000182	U	442
OG0000184	F	347
OG0000184	P	772
OG0000184	U	480
OG0000185	F	30
OG0000185	P	303
OG0000185	U	233
OG0000186	A	94
OG0000186	P	272
OG0000188	F	22
OG0000188	P	186
OG0000188	U	336
OG0000192	F	2
OG0000192	P	304
OG0000192	U	95
OG0000196	F	3
OG0000196	P	91
OG0000196	U	863
OG0000199	F	258
OG0000199	P	266
OG0000199	U	1482
OG0000200	P	96
OG0000200	U	40
OG0000202	F	32
OG0000202	P	289
OG0000202	U	359
OG0000205	A	114
OG0000205	P	30
OG0000206	A	271
OG0000206	F	4
OG0000206	P	410
OG0000206	U	688
OG0000207	F	21
OG0000207	P	179
OG0000207	U	208
OG0000210	F	7
OG0000210	P	664
OG0000210	U	278
OG0000213	F	1
OG0000213	P	234
OG0000213	U	717
OG0000217	P	412
OG0000217	U	128
OG0000220	F	123
OG0000220	P	534
OG0000220	U	563
OG0000224	A	76
OG0000228	P	284
OG0000228	U	136
OG0000242	P	269
OG0000248	F	1
OG0000248	P	15
OG0000248	U	120
OG0000253	P	13
OG0000253	U	259
OG0000255	P	91
OG0000258	F	21
OG0000258	P	71
OG0000258	U	180
OG0000261	F	64
OG0000261	P	1292
OG0000261	U	662
OG0000264	F	130
OG0000264	P	256
OG0000264	U	478
OG0000266	F	1
OG0000266	P	227
OG0000266	U	188
OG0000269	A	100
OG0000269	F	190
OG0000269	P	487
OG0000269	U	1136
OG0000271	A	1
OG0000271	F	16
OG0000271	P	894
OG0000271	U	299
OG0000272	F	13
OG0000272	P	12
OG0000272	U	111
OG0000276	A	7
OG0000276	P	925
OG0000297	P	1103
OG0000297	U	132
OG0000298	F	122
OG0000298	P	180
OG0000298	U	1047
OG0000299	F	7
OG0000299	P	214
OG0000299	U	444
OG0000319	F	1
OG0000319	P	154
OG0000319	U	114
OG0000320	P	136
OG0000325	F	63
OG0000325	P	401
OG0000325	U	808
OG0000329	A	135
OG0000329	F	126
OG0000329	P	633
OG0000329	U	1014
OG0000338	A	133
OG0000338	U	4
OG0000339	F	34
OG0000339	P	176
OG0000339	U	198
OG0000343	F	1
OG0000343	P	397
OG0000343	U	279
OG0000347	A	136
OG0000347	F	4
OG0000347	P	12
OG0000347	U	256
OG0000348	A	1
OG0000348	F	194
OG0000348	P	584
OG0000348	U	674
OG0000360	F	57
OG0000360	P	33
OG0000360	U	590
OG0000361	F	27
OG0000361	P	232
OG0000361	U	281
OG0000367	P	135
OG0000372	F	75
OG0000372	P	328
OG0000372	U	659
OG0000375	P	121
OG0000382	A	3
OG0000382	F	119
OG0000382	P	488
OG0000382	U	476
OG0000384	A	126
OG0000384	F	44
OG0000384	P	80
OG0000384	U	138
OG0000385	F	1
OG0000385	P	20
OG0000385	U	114
OG0000386	F	4
OG0000386	P	70
OG0000386	U	469
OG0000388	P	17
OG0000388	U	110
OG0000402	F	10
OG0000402	P	549
OG0000402	U	523
OG0000418	P	91
OG0000418	U	45
OG0000419	P	136
OG0000422	F	1
OG0000422	P	5
OG0000422	U	538
OG0000432	A	11
OG0000432	P	116
OG0000432	U	9
OG0000434	F	22
OG0000434	P	309
OG0000434	U	174
OG0000440	F	13
OG0000440	P	77
OG0000440	U	176
OG0000442	A	130
OG0000442	F	250
OG0000442	P	234
OG0000442	U	1503
OG0000445	A	90
OG0000445	P	274
OG0000448	P	156
OG0000448	U	108
OG0000452	A	134
OG0000453	P	12
OG0000453	U	124
OG0000473	F	66
OG0000473	P	653
OG0000473	U	605
OG0000496	P	93
OG0000496	U	43
OG0000500	A	145
OG0000500	F	43
OG0000500	P	1439
OG0000500	U	343
OG0000501	F	2
OG0000501	P	159
OG0000501	U	110
OG0000503	A	200
OG0000503	P	21
OG0000503	U	23
OG0000504	A	270
OG0000504	F	4
OG0000504	P	634
OG0000504	U	296
OG0000510	A	3
OG0000510	F	25
OG0000510	P	230
OG0000510	U	716
OG0000513	A	264
OG0000513	F	9
OG0000513	P	4
OG0000513	U	257
OG0000534	P	268
OG0000534	U	394
OG0000535	F	2
OG0000535	P	58
OG0000535	U	167
OG0000546	F	36
OG0000546	P	447
OG0000546	U	468
OG0000549	P	23
OG0000549	U	521
OG0000589	F	8
OG0000589	P	32
OG0000589	U	53
OG0000591	F	23
OG0000591	U	113
OG0000594	P	6
OG0000594	U	232
OG0000598	F	7
OG0000598	P	271
OG0000598	U	128
OG0000599	P	136
OG0000599	U	136
OG0000601	A	84
OG0000601	F	38
OG0000601	P	2186
OG0000601	U	54
OG0000605	F	3
OG0000605	P	272
OG0000605	U	133
OG0000606	P	408
OG0000618	F	5
OG0000618	P	173
OG0000618	U	228
OG0000620	F	1
OG0000620	P	183
OG0000620	U	164
OG0000621	P	5
OG0000621	U	131
OG0000639	F	10
OG0000639	P	4
OG0000639	U	250
OG0000679	A	3
OG0000679	F	105
OG0000679	P	606
OG0000679	U	566
OG0000692	A	136
OG0000692	F	12
OG0000692	P	224
OG0000692	U	661
OG0000712	A	136
OG0000712	P	24
OG0000712	U	384
OG0000720	P	136
OG0000724	F	2
OG0000724	P	174
OG0000724	U	96
OG0000725	P	135
OG0000728	A	262
OG0000728	F	1
OG0000728	P	75
OG0000728	U	272
OG0000731	F	39
OG0000731	P	367
OG0000731	U	508
OG0000736	F	41
OG0000736	P	298
OG0000736	U	766
OG0000739	A	1171
OG0000739	F	17
OG0000739	P	119
OG0000739	U	200
OG0000761	P	752
OG0000792	U	136
OG0000817	P	103
OG0000822	P	11
OG0000822	U	259
OG0000846	F	2
OG0000846	P	277
OG0000846	U	265
OG0000857	F	57
OG0000857	P	181
OG0000857	U	34
OG0000862	P	113
OG0000865	P	136
OG0000887	U	135
OG0000893	P	19
OG0000893	U	104
OG0000907	P	438
OG0000907	U	234
OG0000913	A	69
OG0000913	F	6
OG0000913	P	87
OG0000913	U	381
OG0000929	F	54
OG0000929	P	3
OG0000929	U	79
OG0000949	F	308
OG0000949	P	1324
OG0000949	U	1132
OG0000962	F	1
OG0000962	P	205
OG0000962	U	469
OG0001007	P	136
OG0001019	F	10
OG0001019	P	148
OG0001019	U	387
OG0001038	F	88
OG0001038	P	226
OG0001038	U	583
OG0001079	F	1
OG0001079	P	25
OG0001079	U	63
OG0001115	F	45
OG0001115	P	259
OG0001115	U	237
OG0001127	A	119
OG0001127	F	12
OG0001127	P	143
OG0001127	U	17
OG0001132	F	33
OG0001132	P	50
OG0001132	U	53
OG0001135	P	133
OG0001136	F	7
OG0001136	P	179
OG0001136	U	482
OG0001139	A	112
OG0001139	F	4
OG0001139	P	24
OG0001139	U	262
OG0001188	F	2
OG0001188	P	294
OG0001188	U	112
OG0001196	P	107
OG0001202	F	136
OG0001202	P	2
OG0001202	U	405
OG0001262	F	11
OG0001262	P	88
OG0001262	U	309
OG0001318	P	136
OG0001336	P	408
OG0001349	F	23
OG0001349	P	339
OG0001349	U	446
OG0001363	F	27
OG0001363	P	61
OG0001363	U	47
OG0001392	P	194
OG0001392	U	78
OG0001395	P	263
OG0001395	U	4
OG0001398	A	1
OG0001398	P	4
OG0001398	U	20
OG0001400	P	415
OG0001400	U	129
OG0001401	P	139
OG0001401	U	269
OG0001408	P	71
OG0001408	U	200
OG0001411	P	14
OG0001411	U	122
OG0001412	U	136
OG0001688	F	22
OG0001688	P	519
OG0001688	U	393
OG0001769	P	407
OG0001813	P	136
OG0001813	U	136
OG0001820	F	140
OG0001820	P	291
OG0001820	U	499
OG0001841	P	137
OG0001841	U	135
OG0001885	A	101
OG0001885	F	39
OG0001885	P	186
OG0001885	U	617
OG0001893	A	124
OG0001901	F	9
OG0001901	P	136
OG0001901	U	127
OG0001911	A	136
OG0001911	P	136
OG0001918	P	2
OG0001918	U	32
OG0001923	P	46
OG0001923	U	90
OG0001927	F	28
OG0001927	P	177
OG0001927	U	62
OG0001928	F	5
OG0001928	P	155
OG0001928	U	384
OG0001929	P	382
OG0002178	P	136
OG0002370	A	147
OG0002370	F	1
OG0002370	P	128
OG0002370	U	119
OG0002564	F	6
OG0002564	P	6
OG0002564	U	124
OG0002742	F	43
OG0002742	P	336
OG0002742	U	212
OG0002810	F	16
OG0002810	P	16
OG0002810	U	240
OG0002829	A	128
OG0002829	F	4
OG0002829	P	68
OG0002829	U	55
OG0002867	P	136
OG0002883	A	94
OG0002883	F	56
OG0002883	P	37
OG0002883	U	466
OG0002891	A	73
OG0002891	F	1
OG0002891	P	61
OG0002891	U	252
OG0002892	F	87
OG0002892	P	164
OG0002892	U	397
OG0002893	F	54
OG0002893	P	69
OG0002893	U	112
OG0002919	A	270
OG0003409	P	136
OG0003680	P	136
OG0003687	F	5
OG0003687	P	9
OG0003687	U	248
OG0003691	A	136
OG0003730	P	270
OG0003767	P	133
OG0003767	U	139
OG0003807	U	136
OG0003808	U	90
OG0003820	P	51
OG0003820	U	195
OG0004081	F	13
OG0004081	P	15
OG0004081	U	108
OG0004132	P	136
OG0004303	F	3
OG0004303	P	68
OG0004303	U	201
OG0004694	F	1
OG0004694	P	27
OG0004694	U	108
OG0004872	P	1
OG0004872	U	135
OG0005764	F	118
OG0005764	P	18
