family_id	final_status	total_n	proportion	family_size
OG0000007	F	147	0.360294117647059	3
OG0000007	P	4	0.00980392156862745	3
OG0000007	U	257	0.629901960784314	3
OG0000009	A	3	0.000718218817333014	30
OG0000009	F	178	0.0426143164950922	30
OG0000009	P	2569	0.615034713909504	30
OG0000009	U	1427	0.34163275077807	30
OG0000012	A	68	0.0170639899623588	26
OG0000012	F	61	0.0153074027603513	26
OG0000012	P	3447	0.864993726474279	26
OG0000012	U	409	0.102634880803011	26
OG0000015	A	1073	0.471027216856892	20
OG0000015	F	29	0.0127304653204565	20
OG0000015	P	626	0.274802458296752	20
OG0000015	U	550	0.2414398595259	20
OG0000016	F	910	0.209822457920221	24
OG0000016	P	1111	0.256167857966336	24
OG0000016	U	2316	0.534009684113443	24
OG0000022	F	122	0.0565076424270496	16
OG0000022	P	665	0.308012968967114	16
OG0000022	U	1372	0.635479388605836	16
OG0000024	A	276	0.129395218002813	16
OG0000024	F	74	0.0346929207688701	16
OG0000024	P	1423	0.6671354899203	16
OG0000024	U	360	0.168776371308017	16
OG0000027	A	30	0.00998003992015968	23
OG0000027	F	225	0.0748502994011976	23
OG0000027	P	865	0.287757817697937	23
OG0000027	U	1886	0.627411842980705	23
OG0000029	A	1	0.000769230769230769	10
OG0000029	F	36	0.0276923076923077	10
OG0000029	P	529	0.406923076923077	10
OG0000029	U	734	0.564615384615385	10
OG0000030	A	96	0.0330464716006885	18
OG0000030	F	43	0.014802065404475	18
OG0000030	P	1745	0.600688468158348	18
OG0000030	U	1021	0.351462994836489	18
OG0000038	F	11	0.0808823529411765	1
OG0000038	P	49	0.360294117647059	1
OG0000038	U	76	0.558823529411765	1
OG0000039	F	10	0.00661375661375661	12
OG0000039	P	1187	0.78505291005291	12
OG0000039	U	315	0.208333333333333	12
OG0000040	A	462	0.223620522749274	15
OG0000040	F	41	0.0198451113262343	15
OG0000040	P	559	0.270571151984511	15
OG0000040	U	1004	0.485963213939981	15
OG0000042	F	365	0.285826155050901	10
OG0000042	P	504	0.394675019577134	10
OG0000042	U	408	0.319498825371966	10
OG0000045	A	112	1	1
OG0000046	F	34	0.022742474916388	11
OG0000046	P	143	0.0956521739130435	11
OG0000046	U	1318	0.881605351170569	11
OG0000047	F	39	0.0590015128593041	6
OG0000047	P	339	0.51285930408472	6
OG0000047	U	283	0.428139183055976	6
OG0000049	F	11	0.00811209439528024	10
OG0000049	P	646	0.476401179941003	10
OG0000049	U	699	0.515486725663717	10
OG0000054	A	137	0.0754820936639118	15
OG0000054	F	3	0.00165289256198347	15
OG0000054	P	925	0.509641873278237	15
OG0000054	U	750	0.413223140495868	15
OG0000060	A	812	0.444201312910284	9
OG0000060	F	3	0.00164113785557987	9
OG0000060	P	854	0.467177242888403	9
OG0000060	U	159	0.086980306345733	9
OG0000065	F	26	0.0181564245810056	11
OG0000065	P	838	0.585195530726257	11
OG0000065	U	568	0.396648044692737	11
