"","soc_0.5cm_Q0.5_250m","soc_5.15cm_Q0.5_250m","cec_5.15cm_Q0.5_250m","phh2o_0.5cm_Q0.5_250m","bio2","bio5","bio7","bio8","bio18","te_int_frac"
"soc_0.5cm_Q0.5_250m",1,0.70750108394887,0.43369623067393,-0.662917957926439,-0.281585041293462,-0.534832337776479,0.696953404287514,-0.475406522467981,-0.251321228444165,0.645932886517572
"soc_5.15cm_Q0.5_250m",0.70750108394887,1,0.489953487151639,-0.253110565081892,-0.401635247166564,-0.560372450629085,0.348152445589019,-0.465047853924259,-0.302583311209945,0.531518045065021
"cec_5.15cm_Q0.5_250m",0.43369623067393,0.489953487151639,1,-0.398551356482244,-0.179909045715112,-0.64261782743597,0.359935736714201,-0.457061513344817,-0.221732919811245,0.480402971200704
"phh2o_0.5cm_Q0.5_250m",-0.662917957926439,-0.253110565081892,-0.398551356482244,1,0.0703264342916441,0.502309690650572,-0.494418410280856,0.274736685693977,0.102531997658846,-0.296113774628507
"bio2",-0.281585041293462,-0.401635247166564,-0.179909045715112,0.0703264342916441,1,0.43030781844584,-0.0732265485351533,0.617255574935268,0.248366013071895,-0.581762043966446
"bio5",-0.534832337776479,-0.560372450629085,-0.64261782743597,0.502309690650572,0.43030781844584,1,-0.372705417962754,0.795260039499671,0.571338582113303,-0.594325871503102
"bio7",0.696953404287514,0.348152445589019,0.359935736714201,-0.494418410280856,-0.0732265485351533,-0.372705417962754,1,-0.403545478956151,-0.296829044954997,0.62235655546335
"bio8",-0.475406522467981,-0.465047853924259,-0.457061513344817,0.274736685693977,0.617255574935268,0.795260039499671,-0.403545478956151,1,0.493935651356277,-0.787857728450207
"bio18",-0.251321228444165,-0.302583311209945,-0.221732919811245,0.102531997658846,0.248366013071895,0.571338582113303,-0.296829044954997,0.493935651356277,1,-0.420197668934331
"te_int_frac",0.645932886517572,0.531518045065021,0.480402971200704,-0.296113774628507,-0.581762043966446,-0.594325871503102,0.62235655546335,-0.787857728450207,-0.420197668934331,1
