assembly	gene	scaffold	start	end	length	max_length	copy
GCA_020911765.2_ASM2091176v2_genomic	AT1G34792	CP087126.2	12788140	12788528	388	489	1
GCA_020911765.2_ASM2091176v2_genomic	AT1G34795	CP087126.2	12791521	12792008	487	588	2
GCA_020911765.2_ASM2091176v2_genomic	AT1G34825	CP087126.2	12794860	12795328	468	584	3
GCA_020911765.2_ASM2091176v2_genomic	AT1G34830	CP087126.2	12798260	12798747	487	588	4
GCA_020911765.2_ASM2091176v2_genomic	AT1G34840	CP087126.2	12805194	12805472	278	364	5
GCA_020911765.2_ASM2091176v2_genomic	AT1G34850	CP087126.2	12808608	12808886	278	364	6
GCA_020911765.2_ASM2091176v2_genomic	AT1G34795	CP087126.2	12788140	12788628	488	588	1
GCA_020911765.2_ASM2091176v2_genomic	AT1G34825	CP087126.2	12791521	12792004	483	584	2
GCA_020911765.2_ASM2091176v2_genomic	AT1G34830	CP087126.2	12794860	12795332	472	588	3
GCA_020911765.2_ASM2091176v2_genomic	AT1G34840	CP087126.2	12801783	12802061	278	364	4
GCA_020911765.2_ASM2091176v2_genomic	AT1G34825	CP087126.2	12788140	12788624	484	584	1
GCA_020911765.2_ASM2091176v2_genomic	AT1G34840	CP087126.2	12798369	12798647	278	364	3
GCA_020911765.2_ASM2091176v2_genomic	AT1G34840	CP087126.2	12791630	12791908	278	364	2
GCA_020911765.2_ASM2091176v2_genomic	AT1G34840	CP087126.2	12788250	12788528	278	364	1
GCA_024498495.1_ASM2449849v1_genomic	AT1G34792	CP086744.1	13004351	13004739	388	489	1
GCA_024498495.1_ASM2449849v1_genomic	AT1G34795	CP086744.1	13007763	13008249	486	588	2
GCA_024498495.1_ASM2449849v1_genomic	AT1G34825	CP086744.1	13011181	13011663	482	584	3
GCA_024498495.1_ASM2449849v1_genomic	AT1G34830	CP086744.1	13015092	13015579	487	588	4
GCA_024498495.1_ASM2449849v1_genomic	AT1G34795	CP086744.1	13004351	13004839	488	588	1
