id	length	og
AL1G16610	1620	OG0000016
AL1G23620	2139	OG0000016
AL1G23630	2911	OG0000016
AL1G23970	2258	OG0000016
AL1G24070	3948	OG0000016
AL1G24080	2155	OG0000016
AL1G24180	2190	OG0000016
AL1G24190	2552	OG0000016
AL2G10190	2070	OG0000016
AL2G11490	2076	OG0000016
AL2G11830	2174	OG0000016
AL2G12460	5297	OG0000016
AL2G12470	2445	OG0000016
AL2G12500	7926	OG0000016
AL2G12780	2403	OG0000016
AL2G12790	2254	OG0000016
AL2G12810	2457	OG0000016
AL2G12820	2222	OG0000016
AL2G12830	2117	OG0000016
AL2G13070	1601	OG0000016
AL2G13120	2809	OG0000016
AL2G13130	3039	OG0000016
AL2G13140	3965	OG0000016
AL2G13150	2214	OG0000016
AL2G13170	2361	OG0000016
AL2G13280	2370	OG0000016
AL2G18840	2421	OG0000016
AL3G29642	1512	OG0000016
AL3G36780	1926	OG0000016
AL6G27650	2087	OG0000016
AL7G48260	1994	OG0000016
AL3G36200	3536	OG0000093
AL3G36220	1560	OG0000093
AL3G38320	3037	OG0000093
AL1G17600	1570	OG0000126
AL41U10050	1535	OG0000126
AL41U10060	2887	OG0000126
AL4G23710	1469	OG0000126
AL4G23730	1362	OG0000126
AL4G23850	1262	OG0000126
AL4G23910	2416	OG0000126
AL4G23920	2055	OG0000126
AL4G23930	1445	OG0000126
AL6G16010	1925	OG0000126
AL84U10010	2280	OG0000126
AL4G22240	3768	OG0000200
AL7G47540	2561	OG0000200
AL7G47550	2322	OG0000200
AL7G47570	6976	OG0000200
AL7G47590	6984	OG0000200
AL7G47600	3525	OG0000200
AL7G47850	3794	OG0000200
AL7G47870	3497	OG0000200
AL7G47890	3899	OG0000200
AL7G48650	3732	OG0000200
AL7G48660	3708	OG0000200
AL7G48670	1254	OG0000200
AL3G46810	843	OG0000228
AL3G46820	311	OG0000228
AL7G45500	839	OG0000228
AL6G28990	4133	OG0000266
AL7G14900	5539	OG0000266
AL8G13580	6442	OG0000266
AL8G13620	7986	OG0000266
AL8G13710	2562	OG0000266
AL8G13740	6222	OG0000266
AL8G14230	5168	OG0000266
AL8G14320	4278	OG0000266
AL8G14370	5008	OG0000266
AL7G34270	3306	OG0000297
AL7G34280	1696	OG0000297
AL7G34290	2365	OG0000297
AL3G14170	1636	OG0000320
AL4G22780	4311	OG0000320
AL2G34810	1121	OG0000347
AL3G50380	1321	OG0000347
AL496U10010	1151	OG0000347
AL496U10020	1023	OG0000347
AL5G18790	2570	OG0000347
AL5G18800	1105	OG0000347
AL5G32600	1157	OG0000347
AL5G34240	1632	OG0000347
AL6G41670	790	OG0000347
AL6G41680	787	OG0000347
AL6G41690	1133	OG0000347
AL6G41700	1135	OG0000347
AL6G51840	1114	OG0000347
AL6G51870	1172	OG0000347
AL2G29250	787	OG0000360
AL2G29260	1183	OG0000360
AL2G29280	3416	OG0000360
AL2G29310	2598	OG0000360
AL2G29370	624	OG0000360
AL2G29390	470	OG0000360
AL5G35460	883	OG0000360
AL7G51140	803	OG0000360
AL1G47530	902	OG0000386
AL1G47540	1279	OG0000386
AL3G41080	1550	OG0000386
AL6G31890	1328	OG0000386
AL6G31900	1388	OG0000386
AL6G31950	987	OG0000386
AL6G32070	661	OG0000386
AL6G32090	1374	OG0000386
AL6G32102	1107	OG0000386
AL6G40190	3236	OG0000386
AL1G37820	2642	OG0000402
AL1G37850	3542	OG0000402
AL1G38110	1341	OG0000402
AL1G38130	1033	OG0000402
AL3G41480	1200	OG0000402
AL3G41490	695	OG0000402
AL3G41560	1126	OG0000402
AL1G35030	315	OG0000442
AL2G35840	559	OG0000534
AL1G65230	159	OG0000739
AL2G18220	316	OG0000739
AL2G18240	317	OG0000739
AL2G18250	316	OG0000739
AL5G19550	4069	OG0001132
AL7G52290	10271	OG0001132
AL7G52310	4548	OG0001132
AL7G52360	8410	OG0001132
AL7G52380	4769	OG0001132
AL7G52410	7469	OG0001132
AL6G37940	812	OG0001188
AL6G37960	2783	OG0001188
AL6G37970	1266	OG0001188
AL6G37980	1815	OG0001188
AL8G21140	2879	OG0001188
AL4G42570	786	OG0001196
AL4G42610	632	OG0001196
AL6G30000	3924	OG0001392
AL6G30010	2525	OG0001392
AL6G30020	2264	OG0001392
AL6G30030	1573	OG0001392
AL6G30040	3552	OG0001392
AL6G30050	2588	OG0001392
AL6G30060	2581	OG0001392
AL6G30070	2694	OG0001392
AL2G11060	1522	OG0001395
AL2G13760	1535	OG0001395
AL6G43420	1586	OG0001395
AL2G15130	2474	OG0001688
AL3G47160	6465	OG0001688
AL1G59830	2633	OG0001901
AL1G59840	1348	OG0001901
AL6G45960	646	OG0001901
AL6G46350	1109	OG0001901
AL6G46470	1292	OG0001901
AL8G22560	268	OG0001901
AL7G50290	263	OG0002370
AL7G50310	698	OG0002370
AL7G50960	838	OG0002370
AL7G51070	755	OG0002370
AL5G13720	960	OG0002883
AL1G35130	330	OG0002919
AL1G35140	328	OG0002919
AL1G35260	328	OG0002919
AL1G35270	322	OG0002919
AL1G35280	328	OG0002919
AL4G38680	1148	OG0003680
AL2G11030	1787	OG0004132
AL2G11040	1400	OG0004132
AL2G11070	1521	OG0004132
AL2G11960	1563	OG0004132
AL6G43560	1583	OG0004132
AL8G19400	379	OG0004872
AL8G19410	379	OG0004872
AL8G19420	380	OG0004872
AL8G19430	382	OG0004872
AL8G19452	381	OG0004872
