qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
AL1G50240	scaffold_2_RagTag	89.373	2456	229	18	5596	8038	8665996	8668432	0	3061	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_2_RagTag	92.468	1819	113	16	1	1809	8664229	8666033	0	2579	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	92.481	1822	109	20	1	1809	18770946	18772752	0	2580	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	95.087	1608	70	6	1	1601	13173862	13172257	0	2523	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	85.942	2255	229	34	2441	4685	13478182	13476006	0	2327	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	85.733	2257	232	34	2441	4685	19781155	19778977	0	2302	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	89.899	1188	110	7	5596	6775	18772715	18773900	0	1520	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	91.68	649	37	10	4	641	34447082	34447724	0	883	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	84.653	821	85	23	4681	5490	13475929	13475139	0	780	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	84.615	819	87	23	4681	5490	19778900	19778112	0	778	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	88.272	324	27	6	1	317	12907780	12907461	3.01e-102	377	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	88.272	324	26	7	1	317	18213634	18213952	3.01e-102	377	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	82.487	394	39	16	4833	5220	13482753	13483122	1.85e-84	318	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	82.234	394	40	16	4833	5220	19785705	19786074	8.6e-83	313	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	88.608	237	22	4	2195	2430	13478454	13478222	6.74e-74	283	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	87.764	237	24	4	2195	2430	19781427	19781195	1.46e-70	272	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	93.284	134	7	2	1808	1941	19783229	19783098	9.04e-48	196	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	92.537	134	8	2	1808	1941	13480258	13480127	4.2e-46	191	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	78.671	286	49	6	61	336	13165104	13164821	9.1e-43	180	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	97.115	104	1	2	5498	5601	13172478	13172377	4.23e-41	174	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	93.86	114	3	4	5489	5601	18772317	18772427	1.97e-39	169	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_3_RagTag	80.444	225	35	3	121	336	13172159	13171935	9.16e-38	163	73_3a_fixed_genome_15_1_24
AL1G50240	scaffold_4_RagTag	88.936	235	22	2	5254	5485	10976274	10976041	5.21e-75	287	73_3a_fixed_genome_15_1_24
AL1G55600	scaffold_3_RagTag	87.617	2027	199	29	2	2017	13477991	13476006	0	2305	73_3a_fixed_genome_15_1_24
AL1G55600	scaffold_3_RagTag	87.229	2028	207	27	2	2017	19780964	19778977	0	2263	73_3a_fixed_genome_15_1_24
AL1G55600	scaffold_3_RagTag	86.296	1007	89	34	2944	3917	18772910	18773900	0	1050	73_3a_fixed_genome_15_1_24
AL1G55600	scaffold_3_RagTag	84.474	818	94	21	2013	2824	13475929	13475139	0	776	73_3a_fixed_genome_15_1_24
AL1G55600	scaffold_3_RagTag	84.512	820	88	22	2013	2824	19778900	19778112	0	774	73_3a_fixed_genome_15_1_24
AL1G55600	scaffold_3_RagTag	82.741	394	38	16	2165	2552	13482753	13483122	1.95e-86	324	73_3a_fixed_genome_15_1_24
AL1G55600	scaffold_3_RagTag	82.487	394	39	16	2165	2552	19785705	19786074	9.08e-85	318	73_3a_fixed_genome_15_1_24
AL1G55600	scaffold_3_RagTag	96.154	104	1	3	2832	2934	13172478	13172377	3.48e-39	167	73_3a_fixed_genome_15_1_24
AL1G55600	scaffold_3_RagTag	92.982	114	3	5	2823	2934	18772317	18772427	1.62e-37	161	73_3a_fixed_genome_15_1_24
AL1G55600	scaffold_2_RagTag	86.342	1069	102	31	2944	3981	8666191	8667246	0	1125	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	92.291	1829	111	22	5034	6846	18772752	18770938	0	2569	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	95.108	1615	69	7	5241	6846	13172257	13173870	0	2536	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	85.308	2253	241	49	2162	4400	13476006	13478182	0	2244	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	85.1	2255	244	49	2162	4400	19778977	19781155	0	2218	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	89.815	1188	111	6	70	1249	18773900	18772715	0	1515	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	91.834	649	36	10	6199	6836	34447724	34447082	0	889	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	84.963	818	90	21	1355	2166	13475139	13475929	0	798	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	84.878	820	85	23	1355	2166	19778112	19778900	0	791	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	87.651	332	29	7	6523	6846	12907461	12907788	9.15e-102	375	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	87.651	332	28	8	6523	6846	18213952	18213626	3.29e-101	374	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	82.487	394	39	16	1627	2014	13483122	13482753	1.56e-84	318	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	82.234	394	40	16	1627	2014	19786074	19785705	7.28e-83	313	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	87.342	237	25	4	4411	4646	13478222	13478454	5.75e-69	267	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	86.498	237	27	4	4411	4646	19781195	19781427	1.24e-65	255	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	92.537	134	8	2	4902	5035	19783098	19783229	3.56e-46	191	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	78.322	286	50	6	6504	6779	13164821	13165104	3.58e-41	174	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	96.154	104	2	2	1244	1347	13172377	13172478	1.67e-39	169	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_3_RagTag	92.982	114	4	4	1244	1356	18772427	18772317	7.76e-38	163	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_2_RagTag	92.118	1827	116	20	5034	6846	8666033	8664221	0	2551	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_2_RagTag	89.348	1258	123	7	1	1249	8667251	8665996	0	1570	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_4_RagTag	90.638	235	20	2	1360	1593	10976041	10976274	2.62e-82	311	73_3a_fixed_genome_15_1_24
AL2G19950	scaffold_1_RagTag	94.643	56	3	0	1405	1460	15777010	15776955	4.8e-15	87.9	73_3a_fixed_genome_15_1_24
AL3G51040	scaffold_3_RagTag	87.167	2026	207	29	2	2014	13477991	13476006	0	2252	73_3a_fixed_genome_15_1_24
AL3G51040	scaffold_3_RagTag	86.834	2028	212	29	2	2014	19780964	19778977	0	2215	73_3a_fixed_genome_15_1_24
AL3G51040	scaffold_3_RagTag	90.09	111	11	0	2010	2120	13475929	13475819	8.62e-33	145	73_3a_fixed_genome_15_1_24
AL3G51040	scaffold_3_RagTag	90.09	111	11	0	2010	2120	19778900	19778790	8.62e-33	145	73_3a_fixed_genome_15_1_24
AL3G51050	scaffold_2_RagTag	91.426	933	76	3	1	929	8667500	8668432	0	1277	73_3a_fixed_genome_15_1_24
AL3G51050	scaffold_2_RagTag	92.453	318	23	1	920	1236	8668494	8668811	7.29e-126	453	73_3a_fixed_genome_15_1_24
AL5G12680	scaffold_2_RagTag	91.211	933	78	3	1	929	8667500	8668432	0	1266	73_3a_fixed_genome_15_1_24
AL5G12680	scaffold_2_RagTag	92.138	318	24	1	920	1236	8668494	8668811	3.39e-124	448	73_3a_fixed_genome_15_1_24
AL5G29740	scaffold_3_RagTag	86.36	1129	114	19	2	1121	13477991	13476894	0	1195	73_3a_fixed_genome_15_1_24
AL5G29740	scaffold_3_RagTag	86.182	1129	116	20	2	1121	19780964	19779867	0	1184	73_3a_fixed_genome_15_1_24
AL6G34520	scaffold_3_RagTag	87.025	2027	209	30	2	2015	13477991	13476006	0	2237	73_3a_fixed_genome_15_1_24
AL6G34520	scaffold_3_RagTag	86.693	2029	214	30	2	2015	19780964	19778977	0	2200	73_3a_fixed_genome_15_1_24
AL6G34520	scaffold_3_RagTag	79.225	568	75	29	2011	2566	13475929	13475393	4.44e-96	355	73_3a_fixed_genome_15_1_24
AL6G34520	scaffold_3_RagTag	79.262	569	71	28	2011	2566	19778900	19778366	1.6e-95	353	73_3a_fixed_genome_15_1_24
AL6G34520	scaffold_3_RagTag	82.48	371	35	16	2185	2549	13482776	13483122	7.59e-79	298	73_3a_fixed_genome_15_1_24
