assembly	gene	scaffold	start	end	length	max_length	copy
73_3a	AL5G13720	scaffold_5_RagTag	1477108	1477851	743	1200	1
AL08_v2_f	AL5G13720	scaffold_5_RagTag	1581878	1582601	723	1200	1
ALR	AL5G13720	scaffold_5	1512460	1513193	733	1200	1
F1-14	AL5G13720	scaffold_5_RagTag	2044379	2045112	733	1200	1
KN003hexa_v0	AL5G13720	scaffold_5_RagTag	1934633	1935365	732	1200	1
KN005_v1	AL5G13720	scaffold_5_RagTag	1997624	1998356	732	1200	1
KN006_v1	AL5G13720	scaffold_5_RagTag	2333614	2334355	741	1200	1
MN47_mabs_v3	AL5G13720	scaffold_5_RagTag	1718631	1719590	959	1200	1
MN47_v4	AL5G13720	scaffold_5_RagTag	1718631	1719590	959	1200	1
Nla	AL5G13720	scaffold_5_RagTag	1584546	1585279	733	1200	1
NT1_v2	AL5G13720	scaffold_5	1553887	1554837	950	1200	1
TE11_v2	AL5G13720	scaffold_5_RagTag	1669257	1670214	957	1200	1
TE4_v1	AL5G13720	scaffold_5_RagTag:29852-15762170	1543521	1544478	957	1200	1
TE8_v1	AL5G13720	scaffold_5_RagTag:609893-23791649	1604181	1605138	957	1200	1
