Orthogroup	Aalpina_V4_priTranscripts	Ahalleri_v2.1.0.priTranscripts	Alyrata_v2.1.priTranscripts	Athaliana_Araport11.priTranscripts	Cpapayav_0.4_priTranscriptOnly
OG0001196	AALP_AA2G223000, AALP_AA4G226700	Ah4G11530.1, Ah4G11540.1, Ah4G28400.1, Ah4G32570.1, Ah4G32590.1, Ah4G32620.1	AL4G42570.t1, AL4G42610.t1	AT2G43745.1	
OG0000320	AALP_AA2G135200, AALP_AA2G135300, AALP_AA3G032400, AALP_AA3G032600, AALP_AA3G032700, AALP_AA3G033600, AALP_AA5G017400, AALP_AA5G048700, AALP_AA7G046500, AALP_AA7G227400, AALP_AA8G175200, AALP_AA8G314200, AALP_AA8G360700, AALP_AAs44379U000100, AALP_AAs64007U000400, AALP_AAs73230U000200		AL3G14170.t1, AL4G22780.t1	AT3G04210.2	
OG0000248	AALP_AA1G327000, AALP_AA1G327100, AALP_AA1G349500, AALP_AA2G003200, AALP_AA3G059400, AALP_AA3G061700, AALP_AA5G111000, AALP_AA6G003000, AALP_AA6G005300, AALP_AA6G114900, AALP_AA6G323700, AALP_AA8G199500, AALP_AAs48720U000100, AALP_AAs55662U000100, AALP_AAs58361U000200, AALP_AAs59823U000400, AALP_AAs63184U000200, AALP_AAs63622U000200	Ah2G09010.1, Ah7G26510.1		AT4G04110.1	
OG0001132		Ah2G14790.1, Ah3G35730.1, Ah7G37710.1, Ah7G37720.1, Ah7G37770.1	AL5G19550.t1, AL7G52290.t1, AL7G52310.t1, AL7G52360.t1, AL7G52380.t1, AL7G52410.t1	AT5G38350.1	
OG0004872		Ah8G09660.1	AL8G19400.t1, AL8G19410.t1, AL8G19420.t1, AL8G19430.t1, AL8G19452.t1	AT5G42232.1	
OG0001392		Ah6G20530.1	AL6G30000.t1, AL6G30010.t1, AL6G30020.t1, AL6G30030.t1, AL6G30040.t1, AL6G30050.t1, AL6G30060.t1, AL6G30070.t1	AT5G18720.3, AT5G18730.1	
OG0001901		Ah6G37070.1, Ah6G37460.1	AL1G59830.t1, AL1G59840.t1, AL6G45960.t1, AL6G46350.t1, AL6G46470.t1, AL8G22560.t1	AT4G11485.1, AT4G11760.1	
OG0002919	AALP_AA1G240200		AL1G35130.t1, AL1G35140.t1, AL1G35260.t1, AL1G35270.t1, AL1G35280.t1	AT1G21925.1, AT1G21928.1	
OG0002370	AALP_AA3G344700, AALP_AA6G313300		AL7G50290.t1, AL7G50310.t1, AL7G50960.t1, AL7G51070.t1	AT2G24615.1, AT2G24625.1, AT5G39365.1	
OG0000228	AALP_AA1G023900, AALP_AA1G219300, AALP_AA2G233000, AALP_AA2G233200, AALP_AA2G233300, AALP_AA2G234900, AALP_AA3G068700, AALP_AA3G076300, AALP_AA3G076400, AALP_AA3G108600, AALP_AA3G121400, AALP_AA8G310400, AALP_AAs68437U000100	Ah3G37040.1, Ah7G35500.1	AL3G46810.t1, AL3G46820.t1, AL7G45500.t1	AT1G66100.1, AT1G72260.1, AT2G15010.1, AT5G36910.1	
