qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
AL3G14170	scaffold_3_RagTag	87.892	1148	94	17	21	1160	1428332	1429442	0	1308	73_3a_fixed_genome_15_1_24
AL3G14170	scaffold_3_RagTag	87.552	482	22	13	1154	1631	1429835	1430282	7.29e-147	523	73_3a_fixed_genome_15_1_24
AL3G14170	scaffold_5_RagTag	83.028	218	37	0	1162	1379	12530697	12530480	5.02e-49	198	73_3a_fixed_genome_15_1_24
AL3G14170	scaffold_5_RagTag	82.353	221	38	1	1160	1379	12329973	12329753	8.4e-47	191	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_4_RagTag	98.467	2152	18	4	2095	4236	11946178	11944032	0	3777	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_4_RagTag	98.378	185	3	0	1	185	11946294	11946110	5.87e-87	326	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_4_RagTag	85.294	306	39	5	1797	2099	12578906	12579208	1.64e-82	311	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_4_RagTag	82.637	311	41	9	1797	2096	16275186	16275494	4.67e-68	263	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_4_RagTag	82.857	280	44	4	1823	2099	12426056	12425778	1.31e-63	248	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_4_RagTag	86.957	115	12	2	1913	2026	14434624	14434512	6.39e-27	126	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_3_RagTag	99.719	1069	3	0	1031	2099	35032541	35031473	0	1958	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_3_RagTag	98.932	468	4	1	185	652	35035463	35034997	0	835	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_3_RagTag	87.086	302	35	3	1797	2096	30537130	30537429	7.54e-91	339	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_3_RagTag	86.364	308	38	3	1797	2102	17286974	17286669	3.51e-89	333	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_3_RagTag	85.065	308	41	4	1797	2102	33626685	33626381	5.92e-82	309	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_3_RagTag	85.333	300	40	3	1799	2096	1448588	1448885	2.13e-81	307	73_3a_fixed_genome_15_1_24
AL4G22780	scaffold_3_RagTag	84.416	308	39	6	1797	2102	31810334	31810034	1.66e-77	294	73_3a_fixed_genome_15_1_24
