"","gene","n_TE_hits","repeat_classes"
"1","AT1G12300",1,"LINE/unknown"
"2","AT1G33220",2,"LINE/unknown, LINE/L1"
"3","AT1G34792",1,"LTR/Gypsy"
"4","AT1G34795",2,"LTR/Gypsy"
"5","AT1G34800",3,"LTR/Gypsy"
"6","AT1G34805",1,"LTR/Gypsy"
"7","AT1G34810",1,"LTR/Gypsy"
"8","AT1G34815",1,"LTR/Gypsy"
"9","AT1G34820",1,"LTR/Gypsy"
"10","AT1G34825",8,"LTR/Gypsy"
"11","AT1G34830",7,"LTR/Gypsy"
"12","AT1G34840",6,"DNA/Helitron, LTR/Gypsy"
"13","AT1G34860",4,"DNA/Helitron, LTR/Gypsy"
"14","AT1G35035",1,"LTR/Gypsy"
"15","AT1G58242",6,"LTR/Ty3, LTR/unknown, LTR/Copia"
"16","AT1G60095",1,"SINE/tRNA"
"17","AT1G62930",2,"SINE/tRNA, LTR/Copia"
"18","AT2G03913",2,"DNA/Helitron"
"19","AT2G03933",2,"DNA/Helitron"
"20","AT2G03937",3,"DNA/Helitron"
"21","AT2G15010",1,"LTR/Copia"
"22","AT2G24615",1,"DNA/Helitron"
"23","AT2G24625",1,"DNA/Helitron"
"24","AT2G29170",2,"LTR/Copia"
"25","AT2G29350",1,"SINE/tRNA"
"26","AT2G29360",1,"SINE/tRNA"
"27","AT3G22040",1,"LTR/unknown"
"28","AT3G22050",3,"LTR/unknown, DNA/Helitron"
"29","AT3G22053",3,"DNA/Helitron"
"30","AT4G04110",5,"LTR/Copia"
"31","AT4G19720",1,"SINE/tRNA"
"32","AT4G19730",1,"LTR/Gypsy"
"33","AT4G19750",2,"SINE/tRNA, LTR/Ty3"
"34","AT4G19770",2,"LTR/Copia"
"35","AT4G20530",2,"DNA/Helitron"
"36","AT4G20540",1,"DNA/Helitron"
"37","AT4G20550",1,"DNA/Helitron"
"38","AT4G20560",1,"DNA/Helitron"
"39","AT4G20570",1,"DNA/Helitron"
"40","AT4G20580",7,"DNA/Helitron"
"41","AT4G20590",1,"DNA/Helitron"
"42","AT4G20600",1,"DNA/Helitron"
"43","AT4G20610",1,"DNA/Helitron"
"44","AT4G20620",1,"DNA/Helitron"
"45","AT4G20630",1,"DNA/Helitron"
"46","AT4G20640",1,"DNA/Helitron"
"47","AT4G20645",8,"DNA/Helitron"
"48","AT4G20670",15,"DNA/Helitron"
"49","AT4G20680",1,"LTR/Ty3"
"50","AT5G17890",1,"DNA/Helitron"
"51","AT5G34828",6,"LTR/unknown, LTR/Copia, LTR/Ty3"
"52","AT5G36910",2,"LTR/unknown, LTR/Ty3"
"53","AT5G38550",1,"LINE/L1"
"54","AT5G39330",1,"DNA/Helitron"
"55","AT5G41170",1,"DNA/Helitron"
"56","AT1G12300",1,"LINE/unknown"
