assembly	gene	scaffold	start	end	length	max_length	copy
73_3a_fixed_genome_15_1_24	AL3G24140	scaffold_3_RagTag	5205522	5206227	705	893.75	1
73_3a_fixed_genome_15_1_24	AL4G25340	scaffold_4_RagTag	14387676	14390423	2747	3407.5	1
73_3a_fixed_genome_15_1_24	AL6G43770	scaffold_6_RagTag	18631231	18632486	1255	1546.25	1
73_3a_fixed_genome_15_1_24	AL8G23280	scaffold_8_RagTag	12986355	12986977	622	772.5	1
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_5_RagTag	2292166	2302205	10039	14976.25	1
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_5_RagTag	11408717	11419167	10450	14976.25	2
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_5_RagTag	11936701	11949100	12399	14976.25	3
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_5_RagTag	12825266	12839142	13876	14976.25	4
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_5_RagTag	14066729	14076710	9981	14976.25	5
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_4_RagTag	6196345	6210777	14432	14976.25	6
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_4_RagTag	6210776	6220853	10077	14976.25	7
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_4_RagTag	13354717	13365562	10845	14976.25	8
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_4_RagTag	20246045	20260657	14612	14976.25	9
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_6_RagTag	12724417	12733783	9366	14976.25	10
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_6_RagTag	19572745	19587310	14565	14976.25	11
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_7_RagTag	8435393	8444381	8988	14976.25	12
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_7_RagTag	11321416	11333591	12175	14976.25	13
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_7_RagTag	16045669	16057815	12146	14976.25	14
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_7_RagTag	18659918	18674454	14536	14976.25	15
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_7_RagTag	19042663	19057555	14892	14976.25	16
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_7_RagTag	19441313	19455577	14264	14976.25	17
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_7_RagTag	22240479	22249924	9445	14976.25	18
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_1_RagTag	12458585	12468515	9930	14976.25	19
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_1_RagTag	16716257	16730543	14286	14976.25	20
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_1_RagTag	20421708	20432481	10773	14976.25	21
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_1_RagTag	23861729	23875019	13290	14976.25	22
73_3a_fixed_genome_15_1_24	AL6G45410	scaffold_8_RagTag	22181183	22195250	14067	14976.25	23
