assembly	gene	scaffold	start	end	length	max_length	copy
GCA_020911765.2_ASM2091176v2_genomic	AT3G19880	CP087128.1	6917126	6918295	1169	1462.5	1
GCA_020911765.2_ASM2091176v2_genomic	AT3G20030	CP087128.1	6995946	6997154	1208	1511.25	1
GCA_020911765.2_ASM2091176v2_genomic	AT4G05080	CP087129.2	2793203	2794378	1175	1470	1
GCA_020911765.2_ASM2091176v2_genomic	AT5G60560	CP087130.2	27521712	27522935	1223	1530	1
GCA_024498495.1_ASM2449849v1_genomic	AT3G19880	CP086746.1	6997220	6998330	1110	1462.5	1
GCA_024498495.1_ASM2449849v1_genomic	AT3G20030	CP086746.1	7075846	7077054	1208	1511.25	1
GCA_024498495.1_ASM2449849v1_genomic	AT4G05080	CP086747.1	2754240	2755079	839	1470	1
GCA_024498495.1_ASM2449849v1_genomic	AT5G60560	CP086748.1	25481525	25482733	1208	1530	1
GCA_025388435.1_AtA1-141.20181003_genomic	AT3G19880	CM046290.1	6943017	6944180	1163	1462.5	1
GCA_025388435.1_AtA1-141.20181003_genomic	AT3G20030	CM046290.1	7021956	7023165	1209	1511.25	1
GCA_025388435.1_AtA1-141.20181003_genomic	AT4G05080	CM046291.1	1822323	1823497	1174	1470	1
GCA_025388435.1_AtA1-141.20181003_genomic	AT5G60560	CM046292.1	23919712	23920935	1223	1530	1
GCA_036926925.1_ASM3692692v1_genomic	AT3G19880	CM072659.1	6909612	6910775	1163	1462.5	1
GCA_036926925.1_ASM3692692v1_genomic	AT3G20030	CM072659.1	6988415	6989623	1208	1511.25	1
GCA_036926925.1_ASM3692692v1_genomic	AT4G05080	CM072660.1	2603084	2604259	1175	1470	1
GCA_036926925.1_ASM3692692v1_genomic	AT5G60560	CM072661.1	28439418	28440626	1208	1530	1
GCA_036926965.1_ASM3692696v1_genomic	AT3G19880	CM072639.1	6968096	6969259	1163	1462.5	1
GCA_036926965.1_ASM3692696v1_genomic	AT3G20030	CM072639.1	7049034	7050242	1208	1511.25	1
GCA_036926965.1_ASM3692696v1_genomic	AT4G05080	CM072640.1	1864139	1865313	1174	1470	1
GCA_036926965.1_ASM3692696v1_genomic	AT5G60560	CM072641.1	25897069	25898290	1221	1530	1
GCA_036926975.1_ASM3692697v1_genomic	AT3G19880	CM072654.1	6927017	6928187	1170	1462.5	1
GCA_036926975.1_ASM3692697v1_genomic	AT3G20030	CM072654.1	7005733	7006941	1208	1511.25	1
GCA_036926975.1_ASM3692697v1_genomic	AT4G05080	CM072655.1	1904105	1904944	839	1470	1
GCA_036926975.1_ASM3692697v1_genomic	AT5G60560	CM072656.1	27079990	27081213	1223	1530	1
GCA_036927025.1_ASM3692702v1_genomic	AT3G19880	CM072644.1	6946447	6947615	1168	1462.5	1
GCA_036927025.1_ASM3692702v1_genomic	AT3G20030	CM072644.1	7025286	7026494	1208	1511.25	1
GCA_036927025.1_ASM3692702v1_genomic	AT4G05080	CM072645.1	1824228	1825373	1145	1470	1
GCA_036927025.1_ASM3692702v1_genomic	AT5G60560	CM072646.1	30295957	30297180	1223	1530	1
GCA_036927045.1_ASM3692704v1_genomic	AT3G19880	CM072649.1	6927234	6928402	1168	1462.5	1
GCA_036927045.1_ASM3692704v1_genomic	AT3G20030	CM072649.1	7005925	7007137	1212	1511.25	1
GCA_036927045.1_ASM3692704v1_genomic	AT4G05080	CM072650.1	1853352	1854191	839	1470	1
GCA_036927045.1_ASM3692704v1_genomic	AT5G60560	CM072651.1	28067183	28068406	1223	1530	1
GCA_036927085.1_ASM3692708v1_genomic	AT3G19880	CM072629.1	6920201	6921370	1169	1462.5	1
GCA_036927085.1_ASM3692708v1_genomic	AT3G20030	CM072629.1	6999186	7000394	1208	1511.25	1
GCA_036927085.1_ASM3692708v1_genomic	AT4G05080	CM072630.1	1833994	1834823	829	1470	1
GCA_036927085.1_ASM3692708v1_genomic	AT5G60560	CM072631.1	27745843	27747051	1208	1530	1
GCA_036927245.1_ASM3692724v1_genomic	AT3G19880	CM072624.1	6961265	6962428	1163	1462.5	1
GCA_036927245.1_ASM3692724v1_genomic	AT3G20030	CM072624.1	7050815	7052023	1208	1511.25	1
GCA_036927245.1_ASM3692724v1_genomic	AT4G05080	CM072625.1	1824691	1825865	1174	1470	1
GCA_036927245.1_ASM3692724v1_genomic	AT5G60560	CM072626.1	27399133	27400356	1223	1530	1
GCA_036927255.1_ASM3692725v1_genomic	AT3G19880	CM072634.1	6917687	6918850	1163	1462.5	1
GCA_036927255.1_ASM3692725v1_genomic	AT3G20030	CM072634.1	6996306	6997514	1208	1511.25	1
GCA_036927255.1_ASM3692725v1_genomic	AT4G05080	CM072635.1	1891907	1893081	1174	1470	1
GCA_036927255.1_ASM3692725v1_genomic	AT5G60560	CM072636.1	27707655	27708876	1221	1530	1
GCA_036927265.1_ASM3692726v1_genomic	AT3G19880	CM072619.1	6967872	6969035	1163	1462.5	1
GCA_036927265.1_ASM3692726v1_genomic	AT3G20030	CM072619.1	7046650	7047858	1208	1511.25	1
GCA_036927265.1_ASM3692726v1_genomic	AT4G05080	CM072620.1	1811436	1812610	1174	1470	1
GCA_036927265.1_ASM3692726v1_genomic	AT5G60560	CM072621.1	27876900	27878123	1223	1530	1
GCA_036927275.1_ASM3692727v1_genomic	AT3G19880	CM072609.1	6910259	6911429	1170	1462.5	1
GCA_036927275.1_ASM3692727v1_genomic	AT3G20030	CM072609.1	6988827	6990035	1208	1511.25	1
GCA_036927275.1_ASM3692727v1_genomic	AT4G05080	CM072610.1	1870582	1871421	839	1470	1
