qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	sortedOG0000015_bhits_v1.txt
AT1G29005	CP087126.2	99.761	838	0	1	1	838	10136556	10137391	0	1535	sortedOG0000015_bhits_v1.txt
AT1G33710	CP087126.2	100	633	0	0	1	633	12241531	12242163	0	1170	sortedOG0000015_bhits_v1.txt
AT1G33710	CP087126.2	84.658	365	52	3	272	633	4187224	4186861	1.49e-98	361	sortedOG0000015_bhits_v1.txt
AT1G34440	CP087126.2	100	2232	0	0	1	2232	12613227	12615458	0	4122	sortedOG0000015_bhits_v1.txt
AT1G34440	CP087126.2	93.76	657	33	7	1263	1915	12756430	12755778	0	979	sortedOG0000015_bhits_v1.txt
AT1G34440	CP087126.2	90.962	343	27	2	1575	1915	12915622	12915282	1.86e-127	459	sortedOG0000015_bhits_v1.txt
AT1G34440	CP087126.2	90.962	343	27	2	1575	1915	25496693	25497033	1.86e-127	459	sortedOG0000015_bhits_v1.txt
AT1G34440	CP087126.2	90.379	343	27	3	1575	1915	13860225	13859887	1.45e-123	446	sortedOG0000015_bhits_v1.txt
AT1G34440	CP087126.2	90.145	345	23	11	1734	2067	12755560	12755216	2.43e-121	438	sortedOG0000015_bhits_v1.txt
AT1G34440	CP087126.2	92.174	230	17	1	1736	1964	12915062	12914833	7.09e-87	324	sortedOG0000015_bhits_v1.txt
AT1G34440	CP087126.2	91.739	230	18	1	1736	1964	25497253	25497482	3.3e-85	318	sortedOG0000015_bhits_v1.txt
AT1G34440	CP087126.2	90.87	230	20	1	1736	1964	13859667	13859438	7.14e-82	307	sortedOG0000015_bhits_v1.txt
AT1G34440	CP087126.2	89.503	181	18	1	1736	1915	12755758	12755578	5.72e-58	228	sortedOG0000015_bhits_v1.txt
AT1G34440	CP087126.2	89.071	183	19	1	1734	1915	25497051	25497233	2.06e-57	226	sortedOG0000015_bhits_v1.txt
