assembly	species	total_copy
Lu-1	AT	1245
TOU-A	AT	1178
Yo-0	AT	1206
Ri-0	AT	1295
Tsu-0	AT	1276
Shahdara	AT	1226
Shigu-2	AT	1241
Oy-0	AT	1221
JEA	AT	1252
Nok-1	AT	1271
Ge-0	AT	1270
Ct-1	AT	1290
Can-0	AT	1213
Cant-1	AT	1192
Blh-1	AT	1278
Bur-0	AT	1232
Bay-0	AT	1289
Are-10	AT	1198
Are-6	AT	1209
Are-2	AT	1195
Anz-0	AT	1267
Geg-14	AT	1276
Db-1	AT	1283
Est-0	AT	1260
Kas-1	AT	1287
Mh-0	AT	1299
Mr-0	AT	1292
Ms-0	AT	1285
Co-4	AT	1287
Est-1	AT	1304
Had-6b	AT	1219
Hiroshima	AT	1275
Ishikawa	AT	1271
Kyr-1	AT	1281
Nov-02	AT	1294
Abd-0	AT	1236
Rld-2	AT	1254
Altai-5	AT	1308
Kar-1	AT	1281
RRS10	AT	1244
Rubezhnoe-1	AT	1239
Sus-1	AT	1285
Sah-0	AT	1243
Zal-1	AT	1239
Elh-2	AT	1241
Edi-0	AT	1259
Etna-2	AT	1266
N13	AT	1284
No-0	AT	1330
Qar-8a	AT	1214
Sf-2	AT	1258
Tul-0	AT	1244
Ice-1	AT	1252
Rab-R1	AT	1202
St-0	AT	1256
Stw-0	AT	1276
Tanz-1	AT	1220
Taz-0	AT	1250
ws-4	AT	1246
Zin9	AT	1224
PYL-1	AT	1283
Valsi-1	AT	1265
Dog-4	AT	1234
Nemrut-1	AT	1269
Toufl-1	AT	1252
Are-1	AT	1191
Bla-1	AT	1272
Cvi-0	AT	1223
Ita-0	AT	1242
KZ9	AT	1255
AUZE-A-5	AT	1283
FERR-A-8	AT	1328
BELC-C-10	AT	1243
ANGE-B-10	AT	1232
BARA-C-5	AT	1275
IP-San-9	AT	1223
BANI-C-1	AT	1278
IP-Met-6	AT	1275
FERR-A-12	AT	1318
IP-Evs-12	AT	1256
IP-Med-0	AT	1223
MONTM-B-16	AT	1285
IP-Alo-0	AT	1238
Ler-0	AT	1316
BANI-C-12	AT	1250
IP-Hom-4	AT	1264
BARA-C-3	AT	1268
Rabacal-1	AT	1203
CAMA-C-2	AT	1246
BARC-A-17	AT	1255
IP-Lor-16	AT	1212
SALE-A-10	AT	1315
CAMA-C-9	AT	1246
BELC-C-12	AT	1243
BROU-A-10	AT	1282
SALE-A-17	AT	1315
BARC-A-12	AT	1255
IP-Alo-19	AT	1316
IP-Cas-0	AT	1261
IP-Hom-0	AT	1246
MERE-A-13	AT	1295
IP-Mos-9	AT	1194
IP-Mos-5	AT	1272
IP-Hum-4	AT	1252
GAIL-B-11	AT	1293
IP-Mdc-14	AT	1247
IP-Hum-2	AT	1200
IP-Med-3	AT	1268
PREI-A-14	AT	1327
IP-Sln-22	AT	1251
Cvi-0.6911	AT	1225
IP-Cat-0	AT	1244
ANGE-B-2	AT	1270
IP-Evs-0	AT	1273
IP-Cas-6	AT	1243
MONTM-B-7	AT	1317
LACR-C-14	AT	1285
Ey15-2_9994	AT	1314
Bön	AT	1274
IP-Ini-0	AT	1252
Etna-2.1	AT	1268
Gel-1	AT	1251
IP-Piq-0	AT	1309
IP-Tri-0	AT	1260
HR-10	AT	1244
Ru-2	AT	1283
DraIII-1	AT	1231
T850	AT	1260
Iasi-1	AT	1272
IP-Per-0	AT	1225
11C1	AT	1252
IP-Bus-0	AT	1271
IP-Fel-2	AT	1297
X73_3a	AL	1612
AL08	AL	1671
al1	AL	1657
AL27	AL	1741
ALR	AL	1636
BAM12	AL	1681
BOR	AL	1666
F1_14	AL	1682
KN003	AL	2062
KN005	AL	2018
KN006	AL	2127
MN47	AL	2232
NLA	AL	1673
NT12	AL	1725
NT8	AL	1770
NT9	AL	1756
PU6	AL	1697
TE11	AL	1680
TE4	AL	1707
TE8	AL	1650
WS1	AL	1677
