family_id	gene	final_status	n
OG0000007	AT2G28700	F	134
OG0000007	AT2G28700	P	2
OG0000007	AT5G27810	F	6
OG0000007	AT5G27810	P	1
OG0000007	AT5G27810	U	129
OG0000007	AT5G48670	F	7
OG0000007	AT5G48670	P	1
OG0000007	AT5G48670	U	128
OG0000009	AT1G55030	P	135
OG0000009	AT2G04230	P	136
OG0000009	AT2G26860	P	136
OG0000009	AT3G26920	F	3
OG0000009	AT3G26920	P	13
OG0000009	AT3G26920	U	120
OG0000009	AT3G26922	P	87
OG0000009	AT3G26922	U	49
OG0000009	AT3G26930	F	22
OG0000009	AT3G26930	U	114
OG0000009	AT3G49020	P	17
OG0000009	AT3G49020	U	119
OG0000009	AT3G49030	P	34
OG0000009	AT3G49030	U	102
OG0000009	AT3G49040	P	51
OG0000009	AT3G49040	U	85
OG0000009	AT3G50710	P	136
OG0000009	AT3G51530	P	136
OG0000009	AT3G52680	A	3
OG0000009	AT3G52680	P	15
OG0000009	AT3G52680	U	117
OG0000009	AT3G52690	P	3
OG0000009	AT3G52690	U	133
OG0000009	AT3G54910	P	136
OG0000009	AT3G55670	P	259
OG0000009	AT3G55900	P	1
OG0000009	AT3G55900	U	135
OG0000009	AT4G00160	P	3
OG0000009	AT4G00160	U	133
OG0000009	AT4G09920	P	82
OG0000009	AT4G09920	U	53
OG0000009	AT4G10400	P	127
OG0000009	AT4G10410	P	131
OG0000009	AT4G10420	P	136
OG0000009	AT4G13965	P	136
OG0000009	AT4G26340	P	9
OG0000009	AT4G26340	U	127
OG0000009	AT5G38565	P	134
OG0000009	AT5G38570	P	134
OG0000009	AT5G38580	P	136
OG0000009	AT5G38590	P	136
OG0000009	AT5G56690	F	31
OG0000009	AT5G56690	P	38
OG0000009	AT5G56690	U	62
OG0000009	AT5G56700	P	40
OG0000009	AT5G56700	U	96
OG0000009	AT5G60610	P	1
OG0000009	AT5G60610	U	135
OG0000012	AT1G31370	P	34
OG0000012	AT1G31380	P	53
OG0000012	AT1G31390	P	136
OG0000012	AT1G31400	P	259
OG0000012	AT2G01790	P	134
OG0000012	AT2G05400	P	14
OG0000012	AT2G05400	U	118
OG0000012	AT2G05410	P	173
OG0000012	AT2G05410	U	108
OG0000012	AT2G05420	F	8
OG0000012	AT2G05420	P	106
OG0000012	AT2G05420	U	18
OG0000012	AT3G27040	P	136
OG0000012	AT3G44790	F	52
OG0000012	AT3G44790	P	20
OG0000012	AT3G44790	U	52
OG0000012	AT3G44800	F	1
OG0000012	AT3G44800	P	29
OG0000012	AT3G44800	U	99
OG0000012	AT3G44805	F	3
OG0000012	AT3G44805	P	90
OG0000012	AT3G44805	U	84
OG0000012	AT3G58200	P	136
OG0000012	AT3G58210	P	136
OG0000012	AT3G58220	P	352
OG0000012	AT3G58250	P	136
OG0000012	AT3G58260	P	136
OG0000012	AT3G58270	P	136
OG0000012	AT3G58290	P	136
OG0000012	AT3G58340	P	139
OG0000012	AT3G58350	P	136
OG0000012	AT3G58360	P	136
OG0000012	AT3G58370	P	276
OG0000012	AT3G58400	P	136
OG0000012	AT3G58410	P	136
OG0000012	AT3G58420	A	7
OG0000012	AT3G58420	P	124
OG0000015	AT1G29005	F	4
OG0000015	AT1G29005	P	2
OG0000015	AT1G29005	U	118
OG0000015	AT1G33710	F	2
OG0000015	AT1G33710	P	1
OG0000015	AT1G33710	U	33
OG0000015	AT1G34440	A	5
OG0000015	AT1G34440	P	131
OG0000015	AT1G40390	P	134
OG0000015	AT1G43730	P	133
OG0000015	AT1G43760	P	134
OG0000015	AT1G44941	F	21
OG0000015	AT1G44941	P	15
OG0000015	AT1G44941	U	93
OG0000015	AT1G50080	P	4
OG0000015	AT1G50080	U	126
OG0000015	AT1G60720	P	62
OG0000015	AT1G60720	U	26
OG0000015	AT2G02520	P	136
OG0000015	AT2G19146	F	28
OG0000015	AT2G19146	P	10
OG0000015	AT2G19146	U	98
OG0000015	AT3G25720	P	61
OG0000015	AT3G25720	U	58
OG0000015	AT3G25727	P	136
OG0000015	AT3G27590	F	12
OG0000015	AT3G27590	P	29
OG0000015	AT3G27590	U	95
OG0000015	AT4G04650	P	94
OG0000015	AT4G05095	U	105
OG0000015	AT4G10613	P	2
OG0000015	AT4G10613	U	42
OG0000015	AT5G11565	P	46
OG0000015	AT5G11565	U	86
OG0000015	AT5G16486	F	15
OG0000015	AT5G16486	P	7
OG0000015	AT5G16486	U	46
OG0000015	AT5G28615	P	22
OG0000015	AT5G28615	U	106
OG0000016	AT1G06580	U	136
OG0000016	AT1G12300	F	8
OG0000016	AT1G12300	P	2
OG0000016	AT1G12300	U	126
OG0000016	AT1G12620	F	115
OG0000016	AT1G12620	P	39
OG0000016	AT1G12620	U	118
OG0000016	AT1G12700	F	57
OG0000016	AT1G12700	P	18
OG0000016	AT1G12700	U	60
OG0000016	AT1G12775	F	24
OG0000016	AT1G12775	P	33
OG0000016	AT1G12775	U	97
OG0000016	AT1G62590	F	14
OG0000016	AT1G62590	P	3
OG0000016	AT1G62590	U	119
OG0000016	AT1G62670	F	19
OG0000016	AT1G62670	P	38
OG0000016	AT1G62670	U	102
OG0000016	AT1G62680	P	1
OG0000016	AT1G62680	U	135
OG0000016	AT1G62720	F	21
OG0000016	AT1G62720	U	115
OG0000016	AT1G62910	F	45
OG0000016	AT1G62910	P	163
OG0000016	AT1G62910	U	10
OG0000016	AT1G62914	F	5
OG0000016	AT1G62914	P	277
OG0000016	AT1G62930	F	138
OG0000016	AT1G62930	P	128
OG0000016	AT1G62930	U	101
OG0000016	AT1G63070	P	135
OG0000016	AT1G63080	F	19
OG0000016	AT1G63080	P	31
OG0000016	AT1G63080	U	92
OG0000016	AT1G63130	F	95
OG0000016	AT1G63130	P	59
OG0000016	AT1G63130	U	122
OG0000016	AT1G63150	F	34
OG0000016	AT1G63150	P	8
OG0000016	AT1G63150	U	75
OG0000016	AT1G63330	F	22
OG0000016	AT1G63330	P	62
OG0000016	AT1G63330	U	167
OG0000016	AT1G63400	F	181
OG0000016	AT1G63400	P	135
OG0000016	AT1G63400	U	17
OG0000016	AT1G64583	F	6
OG0000016	AT1G64583	P	1
OG0000016	AT1G64583	U	129
OG0000016	AT3G16710	U	136
OG0000016	AT3G22470	F	1
OG0000016	AT3G22470	P	12
OG0000016	AT3G22470	U	123
OG0000016	AT4G26800	F	35
OG0000016	AT4G26800	U	101
OG0000016	AT5G16640	F	46
OG0000016	AT5G16640	U	90
OG0000016	AT5G41170	F	21
OG0000016	AT5G41170	P	2
OG0000016	AT5G41170	U	113
OG0000022	AT1G58310	F	45
OG0000022	AT1G58310	P	5
OG0000022	AT1G58310	U	85
OG0000022	AT3G03030	U	136
OG0000022	AT3G03040	P	43
OG0000022	AT3G03040	U	93
OG0000022	AT3G49150	F	5
OG0000022	AT3G49150	P	63
OG0000022	AT3G49150	U	68
OG0000022	AT3G58900	P	34
OG0000022	AT3G58900	U	101
OG0000022	AT3G59160	P	19
OG0000022	AT3G59160	U	109
OG0000022	AT3G59170	F	4
OG0000022	AT3G59170	P	36
OG0000022	AT3G59170	U	96
OG0000022	AT3G59180	F	10
OG0000022	AT3G59180	P	27
OG0000022	AT3G59180	U	99
OG0000022	AT3G59190	F	1
OG0000022	AT3G59190	P	29
OG0000022	AT3G59190	U	106
OG0000022	AT3G59200	P	12
OG0000022	AT3G59200	U	124
OG0000022	AT3G59210	P	1
OG0000022	AT3G59210	U	135
OG0000022	AT3G59230	P	136
OG0000022	AT3G59240	P	135
OG0000022	AT3G59250	P	136
OG0000022	AT4G14096	F	11
OG0000022	AT4G14096	P	7
OG0000022	AT4G14096	U	118
