accession	assembly	sample_name	location	latitude	longitude	pop_name	OG0000007	OG0000009	OG0000012	OG0000015	OG0000016	OG0000022	OG0000024	OG0000027	OG0000029	OG0000030	OG0000038	OG0000039	OG0000040	OG0000042	OG0000045	OG0000046	OG0000047	OG0000049	OG0000054	OG0000060	OG0000065	OG0000074	OG0000075	OG0000077	OG0000083	OG0000086	OG0000087	OG0000090	OG0000093	OG0000095	OG0000096	OG0000100	OG0000103	OG0000106	OG0000107	OG0000118	OG0000126	OG0000141	OG0000142	OG0000147	OG0000150	OG0000158	OG0000159	OG0000164	OG0000166	OG0000167	OG0000170	OG0000182	OG0000184	OG0000185	OG0000186	OG0000188	OG0000192	OG0000196	OG0000199	OG0000200	OG0000202	OG0000205	OG0000206	OG0000207	OG0000210	OG0000213	OG0000217	OG0000220	OG0000224	OG0000228	OG0000242	OG0000248	OG0000253	OG0000255	OG0000258	OG0000261	OG0000264	OG0000266	OG0000269	OG0000271	OG0000272	OG0000276	OG0000297	OG0000298	OG0000299	OG0000319	OG0000320	OG0000325	OG0000329	OG0000338	OG0000339	OG0000343	OG0000347	OG0000348	OG0000360	OG0000361	OG0000367	OG0000372	OG0000375	OG0000382	OG0000384	OG0000385	OG0000386	OG0000388	OG0000402	OG0000418	OG0000419	OG0000422	OG0000432	OG0000434	OG0000440	OG0000442	OG0000445	OG0000448	OG0000452	OG0000453	OG0000473	OG0000496	OG0000500	OG0000501	OG0000503	OG0000504	OG0000510	OG0000513	OG0000534	OG0000535	OG0000546	OG0000549	OG0000589	OG0000591	OG0000594	OG0000598	OG0000599	OG0000601	OG0000605	OG0000606	OG0000618	OG0000620	OG0000621	OG0000639	OG0000679	OG0000692	OG0000712	OG0000720	OG0000724	OG0000725	OG0000728	OG0000731	OG0000736	OG0000739	OG0000761	OG0000792	OG0000817	OG0000822	OG0000846	OG0000857	OG0000862	OG0000865	OG0000887	OG0000893	OG0000907	OG0000913	OG0000929	OG0000949	OG0000962	OG0001007	OG0001019	OG0001038	OG0001079	OG0001115	OG0001127	OG0001132	OG0001135	OG0001136	OG0001139	OG0001188	OG0001196	OG0001202	OG0001262	OG0001318	OG0001336	OG0001349	OG0001363	OG0001392	OG0001395	OG0001398	OG0001400	OG0001401	OG0001408	OG0001411	OG0001412	OG0001688	OG0001769	OG0001813	OG0001820	OG0001841	OG0001885	OG0001893	OG0001901	OG0001911	OG0001918	OG0001923	OG0001927	OG0001928	OG0001929	OG0002178	OG0002370	OG0002564	OG0002742	OG0002810	OG0002829	OG0002867	OG0002883	OG0002891	OG0002892	OG0002893	OG0002919	OG0003409	OG0003680	OG0003687	OG0003691	OG0003730	OG0003767	OG0003807	OG0003808	OG0003820	OG0004081	OG0004132	OG0004303	OG0004694	OG0004872	OG0005764	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	cec_0.5cm_Q0.5_250m	cec_5.15cm_Q0.5_250m	phh2o_0.5cm_Q0.5_250m	phh2o_5.15cm_Q0.5_250m	soc_0.5cm_Q0.5_250m	soc_5.15cm_Q0.5_250m	PC1	PC2	busco_complete_pct	busco_duplicated_pct	contig_n50_mbp	total_length_bp	te_int_frac
GCA_020911765.2	ASM2091176v2	ASM2091176v2	USA: Columbia	38.3	-92.3	Col-0	3	31	33	20	34	16	25	25	10	22	1	12	16	10	1	11	6	10	15	15	12	118	1	16	25	1	5	16	54	2	25	2	14	8	9	17	8	4	11	8	8	1	2	7	2	5	4	5	15	5	3	4	3	7	15	1	5	2	10	3	7	7	4	9	1	4	2	1	2	1	2	16	7	4	16	9	1	7	9	10	5	2	1	10	16	1	3	6	3	11	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	4	2	31	3	2	1	1	11	1	18	2	2	9	8	4	5	2	7	4	1	1	2	3	2	23	3	3	3	3	1	2	10	8	4	1	2	1	5	7	11	14	14	1	1	2	4	2	1	1	1	1	5	4	1	21	5	1	4	8	1	4	3	1	1	5	3	3	1	4	3	1	3	6	1	2	2	1	4	3	2	1	1	7	3	2	8	2	7	1	2	2	1	1	3	4	3	1	3	1	5	2	2	1	9	4	5	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	13.65	10	0.280999994277954	910.5	31.95	-3.54999999999995	35.5	18.7500000000001	1.35000000000002	25.15	1.35000000000002	1168.5	141.6	53.2	27.2	389.6	183.8	349.6	183.8	13.7	11.9	6.2	6.2	37	13	-0.636558665396777	3.84294996183744	99.4	1	26	133917131	0.216152248661898
GCA_024498495.1	ASM2449849v1	ASM2449849v1	Sweden	55.72	13.19	Lu-1	3	31	28	15	33	16	16	23	9	21	1	11	15	10	1	11	5	10	15	14	10	49	1	15	18	1	3	16	14	1	24	2	12	7	8	16	8	4	11	8	8	1	2	7	2	5	1	5	14	4	3	4	3	7	15	1	5	2	10	3	7	7	4	9	1	3	2	1	2	1	2	15	6	2	13	9	1	7	10	10	5	2	1	9	13	1	3	5	3	11	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	4	1	15	3	2	1	1	10	1	16	2	2	9	8	4	5	1	7	4	1	1	2	3	2	24	3	3	3	3	1	2	10	8	4	1	2	1	4	7	11	12	5	1	1	2	4	2	1	1	1	1	5	4	1	21	5	1	4	8	0	4	3	1	0	5	3	3	1	4	3	1	3	6	1	2	2	1	4	3	2	1	1	7	3	2	7	2	7	0	2	2	0	1	3	4	3	1	3	1	4	2	2	1	3	3	5	2	2	1	1	2	1	2	2	1	0	2	1	1	2	1	1	1	7.85000000000002	6.4	0.273000001907349	616.6	20.95	-2.64999999999998	23.6	12.55	2.95000000000005	15.95	0.250000000000057	755	79.8	42.2	20.8	225.2	133.4	221.3	171.6	21	14.6	6.2	6.2	33.3	18.9	-5.62377932322226	-0.175857359150115	99.4	1	9	122660426	0.162986935982107
GCA_025388435.1	AtA1-141.20181003	AtA1-141.20181003	France	43.5235	1.4761	TOU-A	3	30	29	16	30	16	15	22	8	21	1	11	15	9	1	11	4	10	11	15	12	15	1	11	18	1	4	16	14	2	22	2	13	10	9	12	8	4	12	8	8	1	2	7	2	5	4	4	11	4	3	4	3	7	15	1	5	1	10	3	7	7	4	9	1	3	2	1	2	1	2	14	1	3	13	9	1	6	10	10	5	2	1	9	13	1	3	5	3	11	5	4	1	7	1	8	3	1	4	1	8	1	1	4	1	3	2	21	3	2	1	1	9	1	10	2	1	9	8	4	5	1	7	4	1	1	2	3	2	17	3	3	3	2	1	2	9	8	4	1	2	1	4	7	7	10	5	1	1	2	4	2	1	1	1	1	5	4	1	23	5	1	4	5	0	4	3	1	1	5	3	3	1	4	3	1	3	5	1	2	2	0	4	3	2	1	1	6	3	2	7	2	7	1	2	2	0	1	2	4	3	1	3	1	4	2	2	1	9	2	5	2	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	13.35	8.7	0.354999995231628	572.5	26.55	2.05000000000001	24.5	15.45	20.55	20.85	6.25000000000006	751	83.4	43.5	17.7	229.7	155.7	162.6	180	20.9	16	6.9	7.3	28.3	9.9	-4.70462828695977	0.872473100480955	99.1	1	13	119744458	0.145026394457437
GCA_036926925.1	ASM3692692v1	ASM3692692v1	USA	37.75	-119.58	Yo-0	3	31	29	18	30	16	14	24	10	21	1	11	16	9	1	11	6	10	13	14	9	28	1	13	20	1	1	15	26	1	22	2	13	7	8	14	8	4	12	8	8	1	2	7	2	5	3	4	14	4	3	4	3	7	15	1	5	2	10	3	7	7	4	9	1	4	2	1	2	1	2	16	6	3	14	9	1	7	9	10	5	2	1	9	14	1	3	4	3	10	5	4	1	8	1	8	2	1	4	1	8	1	1	4	1	4	2	18	3	2	1	1	10	1	8	2	2	9	8	4	5	1	7	4	1	1	2	3	2	11	3	3	3	3	1	2	10	7	4	1	2	1	4	7	8	12	5	1	1	2	4	2	0	1	1	1	5	4	1	20	5	1	4	8	1	4	2	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	7	2	6	1	2	2	0	1	1	4	3	1	3	1	4	2	2	1	2	3	5	2	2	1	1	2	1	2	2	1	0	2	1	1	2	1	1	1	8.95000000000005	11.8	0.403999996185303	650.1	25.95	-3.24999999999994	29.2	1.45000000000005	17.65	17.65	1.45000000000005	1095.8	201.2	6.8	77.8	561.5	36.6	38.8	561.5	11.5	8.1	5.8	5.7	31.6	21	-3.51770194752822	0.948883491356182	99.5	0.9	14	131797805	0.219901264668254
GCA_036926965.1	ASM3692696v1	ASM3692696v1	Canada	49.18	-123.13	Ri-0	3	31	28	16	34	16	13	22	10	22	1	11	15	10	1	11	5	10	13	14	12	82	1	11	21	1	5	16	17	2	23	2	13	9	9	16	8	4	11	8	7	1	2	7	2	5	2	5	12	5	3	4	3	7	14	1	5	1	10	3	7	7	4	9	0	4	2	1	2	1	2	15	7	3	17	9	1	9	9	10	5	2	1	9	14	1	3	5	3	11	5	4	1	8	1	8	3	1	4	0	8	1	1	4	1	3	2	20	3	2	1	1	10	1	18	2	2	9	7	4	5	1	7	4	0	1	2	3	2	24	3	3	3	3	1	2	10	7	4	1	2	1	5	7	10	11	5	1	1	2	4	2	1	1	1	0	5	4	1	21	5	1	4	8	1	4	3	1	1	5	3	3	1	4	3	1	3	6	1	2	2	1	4	3	2	1	1	7	3	2	7	2	7	1	2	2	0	1	2	4	3	1	3	1	4	2	0	1	7	3	5	1	2	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	10.7500000000001	5.3	0.274000000953674	486.5	22.05	2.55000000000001	19.5	5.45000000000005	17.15	17.15	4.95000000000005	1608.6	251.6	45.6	50.6	692.1	168.4	168.4	583.8	NA	NA	NA	NA	NA	NA	-3.09913347307605	1.44456674265812	99.4	1.1	15	128196233	0.193069939894412
GCA_036926975.1	ASM3692697v1	ASM3692697v1	Japan	34.73	136.5	Tsu-0	3	30	32	17	31	16	13	23	10	20	1	11	15	10	1	11	5	10	15	13	9	92	1	13	18	1	2	16	25	1	24	2	6	7	9	16	8	4	11	8	8	1	2	7	2	5	4	5	10	5	3	4	3	7	15	1	5	2	10	3	7	7	4	9	1	3	2	1	2	1	2	14	7	4	14	9	1	8	9	10	5	2	1	10	13	1	3	6	3	12	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	4	2	11	2	2	1	1	10	1	9	2	2	9	5	4	5	2	7	4	1	1	1	3	2	15	3	3	3	3	1	2	9	7	4	1	2	1	5	7	8	12	14	1	1	2	4	2	1	1	1	1	5	4	1	20	5	1	4	8	0	4	3	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	7	2	7	1	2	2	1	1	2	4	3	1	3	1	4	2	2	1	3	2	5	1	2	1	1	2	1	2	2	1	1	2	1	1	2	1	1	1	16.15	6.5	0.238000011444092	741.5	29.85	2.35000000000002	27.5	25.85	6.85000000000002	25.85	6.85000000000002	1721.1	270.6	44.9	47.9	639.7	160.2	639.7	160.2	NA	NA	NA	NA	NA	NA	-5.30859769186387	1.90120394279295	99.4	1.1	13	129592295	0.206692133972934
GCA_036927025.1	ASM3692702v1	ASM3692702v1	Tajikistan	38.59	68.79	Shahdara	3	31	30	17	32	16	17	26	10	21	1	11	15	10	1	11	6	10	15	15	9	62	1	12	17	1	3	15	27	2	22	2	12	9	8	14	8	3	11	8	6	1	2	7	2	5	2	5	9	4	3	4	3	7	15	1	5	1	11	3	7	7	4	9	0	3	2	1	2	0	2	15	6	2	11	9	1	7	9	10	4	2	1	9	15	1	3	4	3	10	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	3	2	5	3	2	1	1	11	1	16	2	1	8	8	4	5	1	7	4	0	1	1	3	2	14	3	3	3	3	1	2	10	8	4	1	2	1	4	7	7	8	5	1	0	2	4	2	0	1	1	1	4	4	1	24	5	1	4	5	1	4	3	1	1	5	3	3	0	4	3	1	3	6	1	2	2	0	4	3	2	1	1	6	3	2	7	2	7	1	2	2	0	1	2	4	3	1	3	1	4	2	2	1	3	3	5	2	2	1	1	2	1	2	2	1	0	2	1	1	2	1	1	1	13.7500000000001	12.3	0.332999992370606	878	31.2500000000001	-5.64999999999998	36.9	8.45000000000005	24.05	24.85	2.15000000000003	801.5	148.5	4.5	71.6	390.8	24.8	37.5	299.5	NA	NA	NA	NA	NA	NA	1.10513443106651	11.9031038943299	99.4	0.9	14	133190498	0.226318622218831
GCA_036927045.1	ASM3692704v1	ASM3692704v1	Russia	53.33	49.48	Shigu-2	3	31	29	17	35	16	16	23	10	21	1	11	15	10	1	11	5	10	12	14	10	70	1	15	17	1	4	15	21	2	21	2	12	8	9	11	8	4	11	8	8	1	2	7	2	5	2	5	9	5	3	4	3	7	15	1	5	1	10	3	7	7	3	9	0	3	2	1	2	1	2	14	7	2	14	9	1	6	9	10	5	2	1	8	15	1	3	4	3	11	5	4	1	8	1	8	3	1	4	1	8	1	1	4	1	4	2	8	2	2	1	1	10	1	17	2	1	9	8	4	5	2	7	4	0	1	1	3	2	24	3	3	3	3	1	2	9	8	4	1	2	1	5	6	7	10	5	1	0	2	4	2	0	1	1	1	5	4	1	21	5	1	4	7	1	4	1	1	1	5	3	3	0	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	7	2	7	1	2	2	0	1	2	4	3	1	2	1	4	2	1	1	3	4	5	2	2	1	1	1	1	2	2	1	1	1	1	1	2	1	1	1	4.85000000000002	7.1	0.189999997615814	1123.8	24.35	-12.85	37.2	19.05	-2.74999999999994	19.05	-9.54999999999995	639.2	71	36	18.5	192.7	120.1	192.7	149.1	29.6	31	6.9	6.9	36.2	25.3	0.402660750718237	10.1432905900236	99.4	1	14	130970342	0.214426881469089
GCA_036927085.1	ASM3692708v1	ASM3692708v1	Norway	60.39	6.19	Oy-0	3	29	30	18	35	16	16	23	10	22	1	11	15	9	1	11	4	10	13	13	10	32	1	13	19	1	5	14	17	2	23	2	7	8	9	14	8	4	11	8	8	1	2	7	2	5	3	5	13	4	3	4	3	7	15	1	5	1	11	3	7	7	4	9	1	3	2	1	2	1	2	16	7	3	15	9	1	7	9	10	5	2	1	10	13	1	3	5	3	11	5	4	1	7	1	8	3	1	4	1	8	1	1	4	1	4	2	13	3	2	1	1	11	1	15	2	1	9	8	4	5	2	7	4	1	1	2	3	2	17	3	3	3	3	1	2	10	8	4	1	2	1	5	7	7	11	5	1	0	2	4	2	1	1	1	1	5	4	1	19	5	1	4	7	1	4	2	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	8	2	7	1	2	2	0	1	1	4	3	1	3	1	4	2	2	1	8	3	5	3	1	1	1	1	1	2	2	1	1	2	1	1	2	1	1	1	6.65000000000003	6.2	0.250999999046326	665.6	19.15	-5.34999999999997	24.5	-0.449999999999989	10.05	15.7500000000001	-1.24999999999994	2472.6	300.8	104.1	32.3	823.8	349.6	449.3	794.2	NA	NA	NA	NA	NA	NA	-4.35757861675305	0.499063004602086	99.4	1	14	131393858	0.214851313674038
GCA_036927245.1	ASM3692724v1	ASM3692724v1	France	43.69	7.33	JEA	3	31	27	18	30	14	17	24	10	22	1	11	15	10	1	11	4	10	14	13	12	98	1	13	19	1	5	15	14	1	22	2	7	7	6	13	8	4	11	7	8	1	2	7	2	5	3	5	12	4	2	4	3	7	13	1	5	1	10	3	7	7	4	9	1	3	2	1	2	1	2	16	5	2	16	9	1	7	9	10	5	2	1	10	15	1	3	6	3	10	5	4	1	8	0	8	3	1	4	0	8	1	1	4	1	4	2	15	3	2	1	1	9	1	16	2	2	9	8	4	5	1	7	4	1	1	2	3	2	14	3	3	3	2	1	1	8	7	4	1	2	1	5	7	6	11	5	1	1	2	4	2	1	1	1	1	5	4	1	18	5	1	4	8	1	4	1	1	1	5	3	3	1	4	3	1	3	6	1	2	2	0	4	3	2	1	1	7	3	2	6	2	7	1	2	2	1	1	1	4	3	1	3	1	4	2	2	1	1	3	5	1	2	1	1	2	1	2	2	1	1	1	1	1	2	1	1	1	15.7500000000001	5	0.251999998092651	529.8	25.85	6.05000000000001	19.8	13.2500000000001	22.7500000000001	22.7500000000001	9.35000000000002	790.9	121.8	16.1	49.9	340	78.9	78.9	222.2	NA	NA	NA	NA	NA	NA	-2.24385579396233	-5.52476402985233	99.4	1.1	14	129770716	0.207794730823555
