id	length
AT1G06580	2278
AT1G12300	3238
AT1G12620	2627
AT1G12700	2845
AT1G12775	2088
AT1G62590	2319
AT1G62670	2567
AT1G62680	2971
AT1G62720	1619
AT1G62910	2194
AT1G62914	1848
AT1G62930	2153
AT1G63070	1844
AT1G63080	3265
AT1G63130	2638
AT1G63150	2421
AT1G63330	2177
AT1G63400	2307
AT1G64583	1923
AT3G16710	1683
AT3G22470	2037
AT4G26800	2280
AT5G16640	2097
AT5G41170	2099
AT3G21940	1604
AT3G21980	1058
AT3G21990	1356
AT3G22000	1663
AT3G22010	1452
AT3G22020	1034
AT3G22030	1422
AT3G22040	945
AT3G22050	1359
AT3G22053	1094
AT4G20530	1336
AT4G20540	1336
AT4G20550	1336
AT4G20560	1336
AT4G20570	1336
AT4G20580	1013
AT4G20590	1013
AT4G20600	1013
AT4G20610	1013
AT4G20620	1013
AT4G20630	1013
AT4G20640	1013
AT4G20645	1336
AT4G20670	1041
AT4G20680	1608
AT2G29150	1250
AT2G29170	816
AT2G29260	1898
AT2G29290	2319
AT2G29350	1643
AT2G29360	1533
AT2G29370	1607
AT5G06060	2088
AT5G40910	6028
AT1G66100	1185
AT1G72260	1113
AT2G15010	876
AT5G36910	1121
AT4G04110	1424
AT4G36140	5965
AT5G17890	6633
AT5G45050	5080
AT5G45260	6718
AT4G19720	1843
AT4G19730	1112
AT4G19740	1054
AT4G19750	1446
AT4G19760	1648
AT4G19770	893
AT4G19800	1275
AT4G19810	2590
AT4G19820	2232
AT3G04210	2603
AT1G45063	1771
AT3G53330	1009
AT4G01380	929
AT1G70020	990
AT1G70040	899
AT1G70120	677
AT3G60700	1072
AT5G39330	2147
AT1G33220	1008
AT5G20330	1602
AT5G20340	1140
AT5G20390	1498
AT1G23810	1072
AT1G24060	321
AT1G24230	1097
AT1G24250	1252
AT1G27260	1020
AT1G27270	1073
AT1G27280	964
AT1G21835	273
AT1G34792	389
AT1G34795	488
AT1G34800	279
AT1G34805	279
AT1G34810	279
AT1G34815	279
AT1G34820	279
AT1G34825	484
AT1G34830	488
AT1G34840	264
AT1G34850	264
AT1G34860	279
AT1G34930	279
AT1G35035	279
AT1G75830	542
AT2G26010	722
AT2G26020	683
AT5G44420	671
AT5G44430	658
AT1G54775	231
AT1G58242	407
AT1G58245	273
AT1G58248	276
AT3G24465	271
AT5G34828	276
AT5G36720	264
AT5G36805	264
AT5G38378	264
AT5G38350	2960
AT5G25980	3070
AT5G26000	2933
AT5G48375	2581
AT2G43745	1313
AT5G18720	2344
AT5G18730	2645
AT1G62170	1915
AT2G14540	1744
AT1G57570	3723
AT1G60095	2733
AT1G60110	2380
AT1G60130	2407
AT1G61230	1831
AT5G38540	4239
AT5G38550	3071
AT4G11485	964
AT4G11760	1263
AT2G24615	1654
AT2G24625	947
AT5G39365	806
AT2G03913	446
AT2G03931	416
AT2G03933	513
AT2G03936	412
AT2G03937	502
AT2G03955	534
AT2G34123	503
AT1G21925	303
AT1G21928	303
AT2G40790	1350
AT1G64030	1560
AT5G42232	500
