"Sample","Population","PC1","PC2","Group","LR_cluster"
"GCA_020911765.2","Col-0",-0.636558665396777,3.84294996183744,"Europe","1"
"GCA_024498495.1","Lu-1",-5.62377932322226,-0.175857359150115,"Europe","1"
"GCA_025388435.1","TOU-A",-4.70462828695977,0.872473100480955,"Europe","1"
"GCA_036926925.1","Yo-0",-3.51770194752822,0.948883491356182,"Europe","1"
"GCA_036926965.1","Ri-0",-3.09913347307605,1.44456674265812,"Europe","1"
"GCA_036926975.1","Tsu-0",-5.30859769186387,1.90120394279295,"Europe","1"
"GCA_036927025.1","Shahdara",1.10513443106651,11.9031038943299,"Asia","2"
"GCA_036927045.1","Shigu-2",0.402660750718237,10.1432905900236,"Europe","2"
"GCA_036927085.1","Oy-0",-4.35757861675305,0.499063004602086,"Europe","1"
"GCA_036927245.1","JEA",-2.24385579396233,-5.52476402985233,"Europe","3"
"GCA_036927255.1","Nok-1",-4.44036030812509,-1.36095921655929,"Europe","1"
"GCA_036927265.1","Ge-0",-3.32994672734298,0.0614331676769409,"Europe","1"
"GCA_036927275.1","Ct-1",-3.85577599125949,1.32881135113628,"Europe","1"
"GCA_036927285.1","Can-0",5.14786099528269,-2.04713787808544,"Iberia","4"
"GCA_036927355.1","Cant-1",7.72823084255985,-1.8567291141095,"Europe","4"
"GCA_036927365.1","Blh-1",-3.8211663331837,2.00262388652121,"Europe","1"
"GCA_036927375.1","Bur-0",-3.97094156479121,0.283635142314144,"Europe","1"
"GCA_036927385.1","Bay-0",-5.07428585277585,2.40459422340719,"Europe","1"
"GCA_036927435.1","Are-10",15.6317746849261,-1.06964377500556,"Madeira","4"
"GCA_036927455.1","Are-6",16.4477746718715,-1.17811791891704,"Madeira","4"
"GCA_036927475.1","Are-2",15.7320547538524,-1.1961048884362,"Madeira","4"
"GCA_036927485.1","Anz-0",-2.69446521825913,-1.50152297873486,"Africa","1"
"GCA_036927505.1","Geg-14",0.761503404715594,8.10233096585962,"Asia","2"
"GCA_036936705.1","Db-1",-5.02635264325222,-0.70763262892106,"Europe","1"
"GCA_036936715.1","Est-0",-2.07282945293811,-1.15662624445383,"Europe","3"
"GCA_036936845.1","Kas-1",-1.30623059936381,9.09141205261604,"Asia","2"
"GCA_036936885.1","Mh-0",-4.5338068439576,-2.41471072608963,"Europe","3"
"GCA_036936895.1","Mr-0",-0.263698445175959,-0.58589922859276,"Europe","4"
"GCA_036936905.1","Ms-0",-1.36324996647638,9.1417926678831,"Europe","2"
"GCA_036936915.1","Co-4",-0.457973832810031,-3.28840551741982,"Europe","1"
"GCA_036936945.1","Est-1",-3.08804058434921,5.04233628514386,"Europe","1"
"GCA_036936955.1","Had-6b",2.54072196868947,-1.3716247277443,"Africa","4"
"GCA_036937005.1","Hiroshima",2.69411837224151,7.76613927746461,"Asia","2"
"GCA_036937185.1","Ishikawa",3.74094650320298,4.53670509861069,"Asia","2"
"GCA_036937335.1","Kyr-1",2.19091239475002,11.5885382750436,"Asia","2"
"GCA_036937385.1","Nov-02",0.757729268512412,10.994646477146,"Asia","2"
"GCA_036937455.1","Abd-0",-3.85758407076398,0.0239131778386809,"Europe","1"
"GCA_036937465.1","Rld-2",-2.36998223018039,7.4875450136711,"Europe","1"
"GCA_036937475.1","Altai-5",1.53963636849023,10.6531671850289,"Asia","2"
"GCA_036937505.1","Kar-1",1.90397553749569,10.2651108874556,"Asia","2"
"GCA_036937515.1","RRS10",-2.94515428728635,0.125456216889047,"Europe","1"
"GCA_036937805.1","Rubezhnoe-1",0.146312823755473,8.42202608620127,"Europe","2"
"GCA_036937815.1","Sus-1",2.05365819771755,10.6128429535498,"Asia","2"
"GCA_036937985.1","Sah-0",12.9584538615094,-2.31159129344091,"Africa","4"
"GCA_036938785.1","Zal-1",0.0915346184063913,9.60341371315382,"Asia","2"
"GCA_036939995.1","Elh-2",3.09312593354477,-1.41157219577339,"Africa","4"
"GCA_036940305.1","Edi-0",-5.10255201087809,-1.24422146481968,"Europe","1"
"GCA_036940335.1","Etna-2",-0.0694063115449799,-2.55583938349957,"Europe","4"
"GCA_036940405.1","N13",1.34845805563293,7.60937394239918,"Europe","2"
"GCA_036940415.1","No-0",-5.22090699477938,2.66428565460878,"Europe","1"
"GCA_036940605.1","Qar-8a",1.14817563934193,-2.61537736818666,"Africa","4"
"GCA_036940615.1","Sf-2",-1.55772173224576,-3.25833499000663,"Europe","1"
"GCA_036940625.1","Tul-0",-2.95509856027238,0.119223495257158,"Europe","1"
"GCA_036940635.1","Ice-1",-2.65938989199522,0.144254272476867,"Europe","1"
"GCA_036940645.1","Rab-R1",15.0932511524659,-1.24002443581438,"Madeira","4"
"GCA_036940715.1","St-0",-4.27265193865977,1.93120899415599,"Europe","1"
"GCA_036940825.1","Stw-0",-4.39218938153418,1.30273087364603,"Europe","1"
"GCA_036940995.1","Tanz-1",6.06327207670337,-1.12678009878571,"Africa","4"
"GCA_036941165.1","Taz-0",3.30433986460121,-3.31952024559747,"Africa","4"
"GCA_036941295.1","ws-4",-4.70570778219811,3.59820303204752,"Europe","1"
"GCA_036941465.1","Zin9",11.6060033203762,-2.1880290299829,"Africa","4"
"GCA_036941635.1","PYL-1",-0.676529126076863,1.41086702973355,"Europe","1"
"GCA_036941785.1","Valsi-1",-4.92625533354357,-1.49908369248879,"Europe","1"
"GCA_036941915.1","Dog-4",-1.25547840218602,2.88609094813136,"Europe","2"
"GCA_036941985.1","Nemrut-1",-0.511154239564513,4.24380032459339,"Europe","2"
"GCA_036942075.1","Toufl-1",3.13593947278899,-0.264157641032779,"Africa","4"
"GCA_036942405.1","Are-1",16.062763960794,-1.33537747017044,"Madeira","4"
"GCA_036942435.1","Col-0.1",-0.63655866539678,3.84294996183744,"Europe","1"
"GCA_036942445.1","Bla-1",-4.37409529493973,-1.58331446691591,"Europe","1"
"GCA_036942575.1","Cvi-0",4.2740318588623,-2.40267459158347,"CapeVerde","4"
"GCA_036942965.1","Ita-0",3.30433986460121,-3.31952024559747,"Africa","4"
"GCA_036942975.1","KZ9",0.408910586769654,9.84313825746828,"Asia","2"
"GCA_946402385.1","AUZE-A-5",-4.10314660012646,-1.19758107072465,"Europe","1"
"GCA_946403025.1","FERR-A-8",-5.06266228240221,-4.85411229872116,"Europe","3"
"GCA_946403525.1","BELC-C-10",-5.45391960179959,-3.61521133934721,"Europe","3"
"GCA_946404075.1","ANGE-B-10",-4.23046067212837,-5.43408360081764,"Europe","3"
"GCA_946404385.1","BARA-C-5",-4.95835350539629,-1.17165234590964,"Europe","1"
"GCA_946404515.1","IP-San-9",11.2341315869699,-2.18223049394709,"Iberia","4"
"GCA_946404995.1","BANI-C-1",-5.41927391078683,-4.2034686897954,"Europe","3"
"GCA_946405265.1","IP-Met-6",2.99653650004381,-2.02972114408334,"Iberia","1"
"GCA_946405525.1","FERR-A-12",-5.21286850940704,-4.15202395389208,"Europe","3"
"GCA_946405545.1","IP-Evs-12",-1.47421803080302,-2.88283787473135,"Iberia","1"
"GCA_946405725.1","IP-Med-0",10.9820280074928,-1.05252274884949,"Iberia","4"
"GCA_946405905.1","MONTM-B-16",-4.01917390628698,-1.69984077441792,"Europe","1"
"GCA_946406325.1","IP-Alo-0",-1.98616044430525,-2.32527795353947,"Iberia","1"
"GCA_946406525.1","Ler-0",-4.30485347420155,3.3061448012948,"Europe","1"
"GCA_946406595.1","BANI-C-12",0.634380043663509,-1.98264404301012,"Europe","1"
"GCA_946406625.1","IP-Hom-4",-0.0906394525659773,-1.79847428862417,"Iberia","1"
"GCA_946406735.1","BARA-C-3",-5.43777702949953,-4.52255631684867,"Europe","3"
"GCA_946406895.1","Rabacal-1",14.7770517150577,-1.13517744027819,"Madeira","4"
"GCA_946406975.1","CAMA-C-2",-4.42171610692891,-4.28183863026632,"Europe","3"
"GCA_946407145.1","BARC-A-17",-4.83406328485168,-4.91990680090701,"Europe","3"
"GCA_946407795.1","IP-Lor-16",12.9233305384678,-3.25158032273104,"Iberia","4"
"GCA_946408365.1","SALE-A-10",-5.37013935726668,-4.83508070134896,"Europe","3"
"GCA_946408575.1","CAMA-C-9",-4.48304755905094,-4.31164504552441,"Europe","3"
"GCA_946408975.1","BELC-C-12",-5.54883419504985,-3.82120765501589,"Europe","3"
"GCA_946409395.1","BROU-A-10",-4.63189862351291,-5.20843288843066,"Europe","3"
"GCA_946409815.1","SALE-A-17",-5.36990766665518,-4.86287129921411,"Europe","3"
"GCA_946410165.1","BARC-A-12",-4.8298016650326,-4.89015555264133,"Europe","3"
"GCA_946410485.1","IP-Alo-19",11.6369157169812,-1.66273965608401,"Iberia","4"
"GCA_946411375.1","IP-Cas-0",3.62845446632841,-2.6961271747031,"Iberia","4"
"GCA_946411425.1","IP-Hom-0",12.3427580916488,-1.1111400942444,"Iberia","4"
"GCA_946411655.1","MERE-A-13",-3.29823603407988,-2.35531268588238,"Europe","1"
"GCA_946411805.1","IP-Mos-9",11.8625886499808,-1.81903655836963,"Iberia","4"
"GCA_946411885.1","IP-Mos-5",-1.72541704658141,-1.5879947863713,"Iberia","1"
"GCA_946412005.1","IP-Hum-4",-5.35751960553447,-0.833176391921851,"Iberia","1"
"GCA_946412065.1","GAIL-B-11",-5.98556723728375,-5.07128519765507,"Europe","3"
"GCA_946412225.1","IP-Mdc-14",3.88019289505765,-1.05003490533176,"Iberia","4"
"GCA_946413285.1","IP-Hum-2",6.34380866108489,-3.05137726267991,"Iberia","4"
"GCA_946413305.1","IP-Med-3",-3.51974829547562,-0.801374617185679,"Iberia","1"
"GCA_946413405.1","PREI-A-14",-4.49660651965309,-4.85799469641777,"Europe","3"
"GCA_946413935.1","IP-Sln-22",11.371808504392,-3.04026560846718,"Iberia","4"
