assembly	gene	scaffold	start	end	length	max_length	copy
GCA_020911765.2_ASM2091176v2_genomic	AT1G51370	CP087126.2	21248728	21251187	2459	3075	1
GCA_020911765.2_ASM2091176v2_genomic	AT5G53840	CP087130.2	25034415	25035939	1524	1906.25	1
GCA_024498495.1_ASM2449849v1_genomic	AT1G51370	CP086744.1	19516780	19519239	2459	3075	1
GCA_024498495.1_ASM2449849v1_genomic	AT5G53840	CP086748.1	22999774	23001298	1524	1906.25	1
GCA_025388435.1_AtA1-141.20181003_genomic	AT1G51370	CM046288.1	18329494	18331953	2459	3075	1
GCA_025388435.1_AtA1-141.20181003_genomic	AT5G53840	CM046292.1	21464719	21466241	1522	1906.25	1
GCA_036926925.1_ASM3692692v1_genomic	AT1G51370	CM072657.1	20890616	20893076	2460	3075	1
GCA_036926925.1_ASM3692692v1_genomic	AT5G53840	CM072661.1	25972552	25974076	1524	1906.25	1
GCA_036926965.1_ASM3692696v1_genomic	AT1G51370	CM072637.1	20686537	20688996	2459	3075	1
GCA_036926965.1_ASM3692696v1_genomic	AT5G53840	CM072641.1	23421139	23422663	1524	1906.25	1
GCA_036926975.1_ASM3692697v1_genomic	AT1G51370	CM072652.1	20967454	20969915	2461	3075	1
GCA_036926975.1_ASM3692697v1_genomic	AT5G53840	CM072656.1	24582649	24584173	1524	1906.25	1
GCA_036927025.1_ASM3692702v1_genomic	AT1G51370	CM072642.1	21417839	21420290	2451	3075	1
GCA_036927025.1_ASM3692702v1_genomic	AT5G53840	CM072646.1	27777100	27778576	1476	1906.25	1
GCA_036927045.1_ASM3692704v1_genomic	AT1G51370	CM072647.1	21337375	21339834	2459	3075	1
GCA_036927045.1_ASM3692704v1_genomic	AT5G53840	CM072651.1	25563682	25565206	1524	1906.25	1
GCA_036927085.1_ASM3692708v1_genomic	AT1G51370	CM072627.1	23914975	23917434	2459	3075	1
GCA_036927085.1_ASM3692708v1_genomic	AT5G53840	CM072631.1	25277510	25279034	1524	1906.25	1
GCA_036927245.1_ASM3692724v1_genomic	AT1G51370	CM072622.1	19909438	19911897	2459	3075	1
GCA_036927245.1_ASM3692724v1_genomic	AT5G53840	CM072626.1	24924088	24925612	1524	1906.25	1
GCA_036927255.1_ASM3692725v1_genomic	AT1G51370	CM072632.1	22089361	22091822	2461	3075	1
GCA_036927255.1_ASM3692725v1_genomic	AT5G53840	CM072636.1	25235599	25237123	1524	1906.25	1
GCA_036927265.1_ASM3692726v1_genomic	AT1G51370	CM072617.1	20902793	20905252	2459	3075	1
GCA_036927265.1_ASM3692726v1_genomic	AT5G53840	CM072621.1	25370266	25371790	1524	1906.25	1
GCA_036927275.1_ASM3692727v1_genomic	AT1G51370	CM072607.1	21612354	21614813	2459	3075	1
GCA_036927275.1_ASM3692727v1_genomic	AT5G53840	CM072611.1	25955736	25957260	1524	1906.25	1
GCA_036927285.1_ASM3692728v1_genomic	AT1G51370	CM072612.1	21694552	21697008	2456	3075	1
GCA_036927285.1_ASM3692728v1_genomic	AT5G53840	CM072616.1	25139214	25140738	1524	1906.25	1
GCA_036927355.1_ASM3692735v1_genomic	AT1G51370	CM072602.1	22449942	22452398	2456	3075	1
GCA_036927355.1_ASM3692735v1_genomic	AT5G53840	CM072606.1	25584744	25586269	1525	1906.25	1
GCA_036927365.1_ASM3692736v1_genomic	AT1G51370	CM072592.1	20695406	20697865	2459	3075	1
GCA_036927365.1_ASM3692736v1_genomic	AT5G53840	CM072596.1	25958694	25960220	1526	1906.25	1
GCA_036927375.1_ASM3692737v1_genomic	AT1G51370	CM072597.1	19830259	19832718	2459	3075	1
GCA_036927375.1_ASM3692737v1_genomic	AT5G53840	CM072601.1	24259616	24261140	1524	1906.25	1
GCA_036927385.1_ASM3692738v1_genomic	AT1G51370	CM072587.1	20642852	20645309	2457	3075	1
GCA_036927385.1_ASM3692738v1_genomic	AT5G53840	CM072591.1	25148304	25149828	1524	1906.25	1
GCA_036927435.1_ASM3692743v1_genomic	AT1G51370	CM072582.1	22246988	22249447	2459	3075	1
GCA_036927435.1_ASM3692743v1_genomic	AT5G53840	CM072586.1	25442783	25444307	1524	1906.25	1
GCA_036927455.1_ASM3692745v1_genomic	AT1G51370	CM072567.1	19668623	19671086	2463	3075	1
GCA_036927455.1_ASM3692745v1_genomic	AT5G53840	CM072571.1	25165551	25167075	1524	1906.25	1
GCA_036927475.1_ASM3692747v1_genomic	AT1G51370	CM072562.1	21499937	21502396	2459	3075	1
GCA_036927475.1_ASM3692747v1_genomic	AT5G53840	CM072566.1	26243225	26244749	1524	1906.25	1
GCA_036927485.1_ASM3692748v1_genomic	AT1G51370	CM072577.1	21068790	21071249	2459	3075	1
GCA_036927485.1_ASM3692748v1_genomic	AT5G53840	CM072581.1	26070660	26072182	1522	1906.25	1
GCA_036927505.1_ASM3692750v1_genomic	AT1G51370	CM072572.1	21235741	21238200	2459	3075	1
GCA_036927505.1_ASM3692750v1_genomic	AT5G53840	CM072576.1	24840339	24841815	1476	1906.25	1
GCA_036936705.1_ASM3693670v1_genomic	AT1G51370	CP137946.1	23312523	23314982	2459	3075	1
GCA_036936705.1_ASM3693670v1_genomic	AT5G53840	CP137950.1	26047884	26049408	1524	1906.25	1
GCA_036936715.1_ASM3693671v1_genomic	AT5G53840	CP137955.1	25175099	25176623	1524	1906.25	1
GCA_036936845.1_ASM3693684v1_genomic	AT1G51370	CP137956.1	21192587	21195044	2457	3075	1
GCA_036936845.1_ASM3693684v1_genomic	AT5G53840	CP137960.1	25783539	25785063	1524	1906.25	1
GCA_036936885.1_ASM3693688v1_genomic	AT1G51370	CP137961.1	22261091	22263550	2459	3075	1
GCA_036936885.1_ASM3693688v1_genomic	AT5G53840	CP137965.1	25901969	25903493	1524	1906.25	1
GCA_036936895.1_ASM3693689v1_genomic	AT1G51370	CP137966.1	23080562	23083021	2459	3075	1
GCA_036936895.1_ASM3693689v1_genomic	AT5G53840	CP137970.1	27907402	27908926	1524	1906.25	1
GCA_036936905.1_ASM3693690v1_genomic	AT1G51370	CP137971.1	21222768	21225225	2457	3075	1
GCA_036936905.1_ASM3693690v1_genomic	AT5G53840	CP137975.1	25779568	25781092	1524	1906.25	1
GCA_036936915.1_ASM3693691v1_genomic	AT1G51370	CP137976.1	20881983	20884442	2459	3075	1
GCA_036936915.1_ASM3693691v1_genomic	AT5G53840	CP137980.1	26486131	26487655	1524	1906.25	1
GCA_036936945.1_ASM3693694v1_genomic	AT1G51370	CP137981.1	23233786	23236246	2460	3075	1
GCA_036936945.1_ASM3693694v1_genomic	AT5G53840	CP137985.1	24840068	24841592	1524	1906.25	1
GCA_036936955.1_ASM3693695v1_genomic	AT1G51370	CP137986.1	22153317	22155776	2459	3075	1
GCA_036936955.1_ASM3693695v1_genomic	AT5G53840	CP137990.1	24936424	24937948	1524	1906.25	1
GCA_036937005.1_ASM3693700v1_genomic	AT1G51370	CP137991.1	21623755	21625604	1849	3075	1
GCA_036937005.1_ASM3693700v1_genomic	AT5G53840	CP137995.1	27514901	27516377	1476	1906.25	1
GCA_036937185.1_ASM3693718v1_genomic	AT1G51370	CP137996.1	21606013	21607862	1849	3075	1
GCA_036937185.1_ASM3693718v1_genomic	AT5G53840	CP138000.1	27287812	27289288	1476	1906.25	1
GCA_036937335.1_ASM3693733v1_genomic	AT1G51370	CP138001.1	21737370	21739829	2459	3075	1
GCA_036937335.1_ASM3693733v1_genomic	AT5G53840	CP138005.1	26662106	26663582	1476	1906.25	1
GCA_036937385.1_ASM3693738v1_genomic	AT1G51370	CP138006.1	22580220	22582679	2459	3075	1
GCA_036937385.1_ASM3693738v1_genomic	AT5G53840	CP138010.1	27546195	27547719	1524	1906.25	1
GCA_036937455.1_ASM3693745v1_genomic	AT1G51370	CP138016.1	20365104	20367563	2459	3075	1
GCA_036937455.1_ASM3693745v1_genomic	AT5G53840	CP138020.1	26063780	26065304	1524	1906.25	1
GCA_036937465.1_ASM3693746v1_genomic	AT1G51370	CP138011.1	23583680	23586139	2459	3075	1
GCA_036937465.1_ASM3693746v1_genomic	AT5G53840	CP138015.1	25799650	25801174	1524	1906.25	1
GCA_036937475.1_ASM3693747v1_genomic	AT1G51370	CP138021.1	21181527	21183986	2459	3075	1
GCA_036937475.1_ASM3693747v1_genomic	AT5G53840	CP138025.1	25806426	25807950	1524	1906.25	1
GCA_036937505.1_ASM3693750v1_genomic	AT1G51370	CP138026.1	21554427	21556878	2451	3075	1
GCA_036937505.1_ASM3693750v1_genomic	AT5G53840	CP138030.1	26444945	26446469	1524	1906.25	1
GCA_036937515.1_ASM3693751v1_genomic	AT1G51370	CP138031.1	22407414	22409873	2459	3075	1
GCA_036937515.1_ASM3693751v1_genomic	AT5G53840	CP138035.1	26259037	26260561	1524	1906.25	1
GCA_036937805.1_ASM3693780v1_genomic	AT1G51370	CP138036.1	21668127	21670578	2451	3075	1
GCA_036937805.1_ASM3693780v1_genomic	AT5G53840	CP138040.1	26113287	26114763	1476	1906.25	1
GCA_036937815.1_ASM3693781v1_genomic	AT1G51370	CP138046.1	21409214	21411673	2459	3075	1
GCA_036937815.1_ASM3693781v1_genomic	AT5G53840	CP138050.1	25293321	25294797	1476	1906.25	1
GCA_036937985.1_ASM3693798v1_genomic	AT1G51370	CP138041.1	23899994	23902453	2459	3075	1
GCA_036937985.1_ASM3693798v1_genomic	AT5G53840	CP138045.1	25350678	25352202	1524	1906.25	1
GCA_036938785.1_ASM3693878v1_genomic	AT1G51370	CP138051.1	20765870	20768329	2459	3075	1
GCA_036938785.1_ASM3693878v1_genomic	AT5G53840	CP138055.1	25706950	25708426	1476	1906.25	1
GCA_036939995.1_ASM3693999v1_genomic	AT1G51370	CP138061.1	23090654	23093110	2456	3075	1
GCA_036939995.1_ASM3693999v1_genomic	AT5G53840	CP138065.1	25643901	25645425	1524	1906.25	1
GCA_036940305.1_ASM3694030v1_genomic	AT1G51370	CP138056.1	21932863	21935323	2460	3075	1
GCA_036940305.1_ASM3694030v1_genomic	AT5G53840	CP138060.1	25872280	25873803	1523	1906.25	1
GCA_036940335.1_ASM3694033v1_genomic	AT1G51370	CP138066.1	23911546	23914005	2459	3075	1
GCA_036940335.1_ASM3694033v1_genomic	AT5G53840	CP138070.1	26612039	26613563	1524	1906.25	1
GCA_036940405.1_ASM3694040v1_genomic	AT1G51370	CP138071.1	21377721	21380178	2457	3075	1
GCA_036940405.1_ASM3694040v1_genomic	AT5G53840	CP138075.1	26747653	26749177	1524	1906.25	1
GCA_036940415.1_ASM3694041v1_genomic	AT1G51370	CP138076.1	22771619	22774076	2457	3075	1
GCA_036940415.1_ASM3694041v1_genomic	AT5G53840	CP138080.1	25482530	25484053	1523	1906.25	1
GCA_036940605.1_ASM3694060v1_genomic	AT1G51370	CP138081.1	21956706	21959165	2459	3075	1
GCA_036940605.1_ASM3694060v1_genomic	AT5G53840	CP138085.1	25311953	25313477	1524	1906.25	1
GCA_036940615.1_ASM3694061v1_genomic	AT1G51370	CP138086.1	24203821	24206279	2458	3075	1
GCA_036940615.1_ASM3694061v1_genomic	AT5G53840	CP138090.1	25096435	25097959	1524	1906.25	1
GCA_036940625.1_ASM3694062v1_genomic	AT1G51370	CP138091.1	22425430	22427889	2459	3075	1
GCA_036940625.1_ASM3694062v1_genomic	AT5G53840	CP138095.1	25994063	25995587	1524	1906.25	1
GCA_036940635.1_ASM3694063v1_genomic	AT1G51370	CP138096.1	22859155	22861615	2460	3075	1
GCA_036940635.1_ASM3694063v1_genomic	AT5G53840	CP138100.1	24830561	24832083	1522	1906.25	1
GCA_036940645.1_ASM3694064v1_genomic	AT1G51370	CP138101.1	22897655	22900114	2459	3075	1
GCA_036940645.1_ASM3694064v1_genomic	AT5G53840	CP138105.1	28980029	28981553	1524	1906.25	1
GCA_036940715.1_ASM3694071v1_genomic	AT1G51370	CP138106.1	23523029	23525491	2462	3075	1
GCA_036940715.1_ASM3694071v1_genomic	AT5G53840	CP138110.1	26080140	26081664	1524	1906.25	1
GCA_036940825.1_ASM3694082v1_genomic	AT1G51370	CP138111.1	22641754	22644213	2459	3075	1
GCA_036940825.1_ASM3694082v1_genomic	AT5G53840	CP138115.1	26287699	26289223	1524	1906.25	1
GCA_036940995.1_ASM3694099v1_genomic	AT1G51370	CP138116.1	24932893	24935352	2459	3075	1
GCA_036940995.1_ASM3694099v1_genomic	AT5G53840	CP138120.1	28140437	28141961	1524	1906.25	1
GCA_036941165.1_ASM3694116v1_genomic	AT1G51370	CP138121.1	22658015	22660475	2460	3075	1
GCA_036941165.1_ASM3694116v1_genomic	AT5G53840	CP138125.1	29313848	29315372	1524	1906.25	1
GCA_036941295.1_ASM3694129v1_genomic	AT1G51370	CP138126.1	23537126	23539586	2460	3075	1
GCA_036941295.1_ASM3694129v1_genomic	AT5G53840	CP138130.1	26523064	26524588	1524	1906.25	1
GCA_036941465.1_ASM3694146v1_genomic	AT1G51370	CP138131.1	23393468	23395927	2459	3075	1
GCA_036941465.1_ASM3694146v1_genomic	AT5G53840	CP138135.1	26549549	26551073	1524	1906.25	1
GCA_036941635.1_ASM3694163v1_genomic	AT1G51370	CP138136.1	22446496	22448955	2459	3075	1
GCA_036941635.1_ASM3694163v1_genomic	AT5G53840	CP138140.1	28515046	28516570	1524	1906.25	1
GCA_036941785.1_ASM3694178v1_genomic	AT1G51370	CP138141.1	22273725	22276186	2461	3075	1
GCA_036941785.1_ASM3694178v1_genomic	AT5G53840	CP138145.1	25422144	25423668	1524	1906.25	1
GCA_036941915.1_ASM3694191v1_genomic	AT1G51370	CP138146.1	22473309	22475768	2459	3075	1
GCA_036941915.1_ASM3694191v1_genomic	AT5G53840	CP138150.1	25782393	25783915	1522	1906.25	1
GCA_036941985.1_ASM3694198v1_genomic	AT1G51370	CP138151.1	21603591	21606047	2456	3075	1
GCA_036941985.1_ASM3694198v1_genomic	AT5G53840	CP138155.1	24718020	24719544	1524	1906.25	1
GCA_036942075.1_ASM3694207v1_genomic	AT1G51370	CP138156.1	22203317	22205773	2456	3075	1
GCA_036942075.1_ASM3694207v1_genomic	AT5G53840	CP138160.1	25500085	25501609	1524	1906.25	1
GCA_036942405.1_ASM3694240v1_genomic	AT1G51370	CP138161.1	20840277	20842740	2463	3075	1
GCA_036942405.1_ASM3694240v1_genomic	AT5G53840	CP138165.1	25278366	25279890	1524	1906.25	1
GCA_036942435.1_ASM3694243v1_genomic	AT1G51370	CP138171.1	20874788	20877247	2459	3075	1
GCA_036942435.1_ASM3694243v1_genomic	AT5G53840	CP138175.1	23995857	23997381	1524	1906.25	1
GCA_036942445.1_ASM3694244v1_genomic	AT1G51370	CP138166.1	21190327	21192786	2459	3075	1
GCA_036942445.1_ASM3694244v1_genomic	AT5G53840	CP138170.1	22589839	22591363	1524	1906.25	1
GCA_036942575.1_ASM3694257v1_genomic	AT1G51370	CP138176.1	21524793	21527252	2459	3075	1
GCA_036942575.1_ASM3694257v1_genomic	AT5G53840	CP138180.1	25814497	25816021	1524	1906.25	1
GCA_036942965.1_ASM3694296v1_genomic	AT1G51370	CP138181.1	20789462	20791922	2460	3075	1
GCA_036942965.1_ASM3694296v1_genomic	AT5G53840	CP138185.1	25708115	25709639	1524	1906.25	1
GCA_036942975.1_ASM3694297v1_genomic	AT1G51370	CP138186.1	20828798	20831255	2457	3075	1
GCA_036942975.1_ASM3694297v1_genomic	AT5G53840	CP138190.1	24575691	24577215	1524	1906.25	1
GCA_946402385.1_AUZE-A-5.genomic	AT1G51370	OX291429.1	20770576	20773035	2459	3075	1
GCA_946402385.1_AUZE-A-5.genomic	AT5G53840	OX291433.1	25059302	25060824	1522	1906.25	1
GCA_946403025.1_FERR-A-8.genomic	AT1G51370	OX291436.1	20979699	20982159	2460	3075	1
GCA_946403025.1_FERR-A-8.genomic	AT5G53840	OX291440.1	26504865	26506389	1524	1906.25	1
GCA_946403525.1_BELC-C-10.genomic	AT1G51370	OX291450.1	20503140	20505599	2459	3075	1
GCA_946403525.1_BELC-C-10.genomic	AT5G53840	OX291454.1	25081779	25083303	1524	1906.25	1
GCA_946404075.1_ANGE-B-10.genomic	AT1G51370	OX291455.1	21634495	21636955	2460	3075	1
GCA_946404075.1_ANGE-B-10.genomic	AT5G53840	OX291459.1	24981117	24982641	1524	1906.25	1
GCA_946404385.1_BARA-C-5.genomic	AT1G51370	OX291460.1	22248172	22250631	2459	3075	1
GCA_946404385.1_BARA-C-5.genomic	AT5G53840	OX291464.1	26552292	26553814	1522	1906.25	1
GCA_946404515.1_IP-San-9.genomic	AT1G51370	OX291465.1	21395402	21397861	2459	3075	1
GCA_946404515.1_IP-San-9.genomic	AT5G53840	OX291469.1	27321586	27323110	1524	1906.25	1
GCA_946404995.1_BANI-C-1.genomic	AT1G51370	OX291481.1	21939604	21942063	2459	3075	1
GCA_946404995.1_BANI-C-1.genomic	AT5G53840	OX291485.1	25160020	25161544	1524	1906.25	1
GCA_946405265.1_IP-Met-6.genomic	AT1G51370	OX291486.1	20491958	20494416	2458	3075	1
GCA_946405265.1_IP-Met-6.genomic	AT5G53840	OX291490.1	27151129	27152651	1522	1906.25	1
GCA_946405525.1_FERR-A-12.genomic	AT1G51370	OX291508.1	20856632	20859092	2460	3075	1
GCA_946405525.1_FERR-A-12.genomic	AT5G53840	OX291512.1	25919422	25920946	1524	1906.25	1
GCA_946405545.1_IP-Evs-12.genomic	AT1G51370	OX291513.1	21964220	21966678	2458	3075	1
GCA_946405545.1_IP-Evs-12.genomic	AT5G53840	OX291517.1	25930503	25932027	1524	1906.25	1
GCA_946405725.1_IP-Med-0.genomic	AT1G51370	OX291518.1	22354507	22356963	2456	3075	1
GCA_946405725.1_IP-Med-0.genomic	AT5G53840	OX291522.1	26768124	26769649	1525	1906.25	1
GCA_946405905.1_MONTM-B-16.genomic	AT1G51370	OX291523.1	23264698	23267157	2459	3075	1
GCA_946405905.1_MONTM-B-16.genomic	AT5G53840	OX291527.1	26459752	26461276	1524	1906.25	1
GCA_946406325.1_IP-Alo-0.9506.genomic	AT1G51370	OX291566.1	21548578	21551037	2459	3075	1
GCA_946406325.1_IP-Alo-0.9506.genomic	AT5G53840	OX291570.1	26587220	26588742	1522	1906.25	1
GCA_946406525.1_Ler-0.7213.genomic	AT1G51370	OX291571.1	21134284	21136743	2459	3075	1
GCA_946406525.1_Ler-0.7213.genomic	AT5G53840	OX291575.1	25504203	25505727	1524	1906.25	1
GCA_946406595.1_BANI-C-12.genomic	AT1G51370	OX291576.1	23135409	23137869	2460	3075	1
GCA_946406595.1_BANI-C-12.genomic	AT5G53840	OX291580.1	26120291	26121815	1524	1906.25	1
GCA_946406625.1_IP-Hom-4.9546.genomic	AT1G51370	OX291581.1	22653004	22655463	2459	3075	1
GCA_946406625.1_IP-Hom-4.9546.genomic	AT5G53840	OX291585.1	26252706	26254230	1524	1906.25	1
