"assembly","gene","scaffold","start","end","length","max_length","copy","start_buffered","end_buffered","SW_score","perc_div","perc_del","perc_ins","te_start","te_end","query_left","strand","repeat_name","repeat_class","repeat_start","repeat_end","repeat_left","ID","V16"
"73_3a","AL1G23620","scaffold_1_RagTag",4983411,4985531,2120,2673.75,1,4982411,4986531,466,6.2,0,0,4985987,4986051,"(21519560)","+","AtSB2","SINE/tRNA","107",171,"(0)",2859,""
"73_3a","AL1G23630","scaffold_1_RagTag",4987825,4990741,2916,3638.75,1,4986825,4991741,1826,11.7,0.9,6.9,4986749,4987069,"(21518542)","C","AtSB3","SINE/tRNA","(0)",303,"1",2862,""
"73_3a","AL1G24180","scaffold_1_RagTag",4983465,4985536,2071,2737.5,1,4982465,4986536,466,6.2,0,0,4985987,4986051,"(21519560)","+","AtSB2","SINE/tRNA","107",171,"(0)",2859,""
"73_3a","AL2G10190","scaffold_2_RagTag",115349,117251,1902,2587.5,1,114349,118251,232,5.7,8.6,0,117682,117716,"(21108362)","+","ATCOPIA71_I","LTR/Copia","3332",3369,"(1819)",25061,""
"73_3a","AL2G12500","scaffold_2_RagTag",1186662,1195581,8919,9907.5,2,1185662,1196581,242,24.8,5.9,8.6,1194829,1194947,"(20031131)","+","ATRAN","LTR/unknown","14",129,"(231)",25864,""
"73_3a","AL2G13130","scaffold_2_RagTag",1368488,1371181,2693,3798.75,3,1367488,1372181,280,25.2,3.5,1.4,1367733,1367877,"(19858201)","C","HELITRONY3","DNA/Helitron","(4140)",1026,"879",26026,""
"73_3a","AL2G13130","scaffold_2_RagTag",1368488,1371181,2693,3798.75,3,1367488,1372181,1046,18,1,2.5,1370169,1370432,"(19855646)","C","ATREP4","DNA/Helitron","(332)",1908,"1674",26027,""
"73_3a","AL2G13130","scaffold_2_RagTag",1368488,1371181,2693,3798.75,3,1367488,1372181,474,20.4,2.4,3.6,1370782,1370949,"(19855129)","C","ATREP11A","DNA/Helitron","(837)",166,"1",26028,""
"73_3a","AL2G12500","scaffold_2_RagTag",1195577,1202439,6862,9907.5,3,1194577,1203439,242,24.8,5.9,8.6,1194829,1194947,"(20031131)","+","ATRAN","LTR/unknown","14",129,"(231)",25864,""
"73_3a","AL2G12830","scaffold_2_RagTag",1507154,1509151,1997,2646.25,3,1506154,1510151,713,34.7,2.9,3.5,1506179,1506868,"(19719210)","+","ATLINE1_11","LINE/unknown","4839",5524,"(0)",26143,""
"73_3a","AL2G12830","scaffold_2_RagTag",1371055,1373055,2000,2646.25,2,1370055,1374055,1046,18,1,2.5,1370169,1370432,"(19855646)","C","ATREP4","DNA/Helitron","(332)",1908,"1674",26027,""
"73_3a","AL2G12830","scaffold_2_RagTag",1371055,1373055,2000,2646.25,2,1370055,1374055,474,20.4,2.4,3.6,1370782,1370949,"(19855129)","C","ATREP11A","DNA/Helitron","(837)",166,"1",26028,""
"73_3a","AL2G13170","scaffold_2_RagTag",1507116,1509508,2392,2951.25,2,1506116,1510508,713,34.7,2.9,3.5,1506179,1506868,"(19719210)","+","ATLINE1_11","LINE/unknown","4839",5524,"(0)",26143,""
"73_3a","AL2G13120","scaffold_2_RagTag",1489002,1491739,2737,3511.25,1,1488002,1492739,595,22.8,1.4,2.4,1488179,1488389,"(19737689)","C","HELITRON2","DNA/Helitron","(7576)",3859,"3651",26133,""
"73_3a","AL2G13170","scaffold_2_RagTag",1371085,1373055,1970,2951.25,1,1370085,1374055,1046,18,1,2.5,1370169,1370432,"(19855646)","C","ATREP4","DNA/Helitron","(332)",1908,"1674",26027,""
"73_3a","AL2G13170","scaffold_2_RagTag",1371085,1373055,1970,2951.25,1,1370085,1374055,474,20.4,2.4,3.6,1370782,1370949,"(19855129)","C","ATREP11A","DNA/Helitron","(837)",166,"1",26028,""
"73_3a","AL6G27650","scaffold_6_RagTag",6874370,6876454,2084,2608.75,1,6873370,6877454,852,25.5,0.8,0.8,6873822,6874058,"(16822741)","+","ATLINE1_12","LINE/L1","4330",4566,"(4)",149629,""
"73_3a","AL84U10010","scaffold_4_RagTag",13652062,13654009,1947,2850,1,13651062,13655009,959,19.7,4.9,9.6,13651191,13651991,"(9946769)","+","ATREP3","DNA/Helitron","251",1801,"(296)",116192,""
"73_3a","AL7G47570","scaffold_7_RagTag",24941181,24947297,6116,8720,2,24940181,24948297,581,14.6,0,4.3,24940399,24940520,"(3593789)","C","ATREP10C","DNA/Helitron","(536)",117,"1",194297,""
"73_3a","AL7G47590","scaffold_7_RagTag",24964117,24970063,5946,8730,3,24963117,24971063,1427,30.7,5.2,2.8,24962177,24963227,"(3571082)","C","ATCOPIA11I","LTR/Copia","(3425)",1365,"329",194309,""
"73_3a","AL7G47590","scaffold_7_RagTag",24964117,24970063,5946,8730,3,24963117,24971063,233,21.7,9.7,7.1,24963413,24963536,"(3570773)","C","ATCOPIA18A_I","LTR/Copia","(4923)",127,"1",194310,""
"73_3a","AL7G47590","scaffold_7_RagTag",24964117,24970063,5946,8730,3,24963117,24971063,241,9.3,2.3,2.3,24963556,24963599,"(3570710)","C","TE_00000732_LTR","LTR/Copia","(20)",112,"69",194310,""
"73_3a","AL7G47550","scaffold_7_RagTag",24941181,24943466,2285,2902.5,1,24940181,24944466,581,14.6,0,4.3,24940399,24940520,"(3593789)","C","ATREP10C","DNA/Helitron","(536)",117,"1",194297,""
"73_3a","AL7G45500","scaffold_7_RagTag",20383000,20383836,836,1048.75,1,20382000,20384836,780,17.6,1.4,1.1,20382534,20382690,"(8151619)","C","ATCOPIA77_I","LTR/Copia","(150)",4459,"4233",190199,""
"73_3a","AL8G14230","scaffold_8_RagTag",2262032,2266512,4480,6460,1,2261032,2267512,3724,32.1,3.2,4.7,2258927,2261198,"(20450259)","C","ATCOPIA35_I","LTR/Copia","(1818)",2393,"82",210973,""
"73_3a","AL8G14230","scaffold_8_RagTag",2262032,2266512,4480,6460,1,2261032,2267512,245,17.3,0,1.9,2261329,2261381,"(20450076)","C","ATCOPIA35_LTR","LTR/Copia","(9)",272,"221",210975,""
