assembly gene scaffold start end length max_length copy
GCA_020911765.2_ASM2091176v2_genomic AT1G06580 CP087126.2 2017625 2019902 2277 2847.5 1
GCA_020911765.2_ASM2091176v2_genomic AT1G12300 CP087126.2 4186660 4189897 3237 4047.5 1
GCA_020911765.2_ASM2091176v2_genomic AT1G12620 CP087126.2 4298203 4300829 2626 3283.75 1
GCA_020911765.2_ASM2091176v2_genomic AT1G12700 CP087126.2 4327184 4330028 2844 3556.25 1
GCA_020911765.2_ASM2091176v2_genomic AT1G12775 CP087126.2 4357493 4359580 2087 2610 1
GCA_020911765.2_ASM2091176v2_genomic AT1G62590 CP087126.2 25377494 25379812 2318 2898.75 1
GCA_020911765.2_ASM2091176v2_genomic AT1G63330 CP087126.2 25690372 25692548 2176 2721.25 2
GCA_020911765.2_ASM2091176v2_genomic AT1G62914 CP087126.2 25501878 25503726 1848 2310 2
GCA_020911765.2_ASM2091176v2_genomic AT1G63330 CP087126.2 25708077 25709795 1718 2721.25 3
GCA_020911765.2_ASM2091176v2_genomic AT1G62670 CP087126.2 25404820 25407386 2566 3208.75 1
GCA_020911765.2_ASM2091176v2_genomic AT1G62680 CP087126.2 25407581 25410551 2970 3713.75 1
GCA_020911765.2_ASM2091176v2_genomic AT1G62720 CP087126.2 25428094 25429712 1618 2023.75 1
GCA_020911765.2_ASM2091176v2_genomic AT1G62910 CP087126.2 25499511 25501704 2193 2742.5 1
GCA_020911765.2_ASM2091176v2_genomic AT1G62930 CP087126.2 25613593 25615329 1736 2691.25 3
GCA_020911765.2_ASM2091176v2_genomic AT1G62930 CP087126.2 25507098 25509250 2152 2691.25 2
GCA_020911765.2_ASM2091176v2_genomic AT1G63150 CP087126.2 25619859 25622279 2420 3026.25 2
GCA_020911765.2_ASM2091176v2_genomic AT1G62914 CP087126.2 25499727 25501225 1498 2310 1
GCA_020911765.2_ASM2091176v2_genomic AT1G62930 CP087126.2 25499809 25501519 1710 2691.25 1
GCA_020911765.2_ASM2091176v2_genomic AT1G63070 CP087126.2 25585889 25587732 1843 2305 1
GCA_020911765.2_ASM2091176v2_genomic AT1G63080 CP087126.2 25588139 25591403 3264 4081.25 1
GCA_020911765.2_ASM2091176v2_genomic AT1G63130 CP087126.2 25613083 25615720 2637 3297.5 1
GCA_020911765.2_ASM2091176v2_genomic AT1G63150 CP087126.2 25499518 25501521 2003 3026.25 1
GCA_020911765.2_ASM2091176v2_genomic AT1G63330 CP087126.2 25377396 25379572 2176 2721.25 1
GCA_020911765.2_ASM2091176v2_genomic AT1G63400 CP087126.2 25707745 25710051 2306 2883.75 2
GCA_020911765.2_ASM2091176v2_genomic AT1G63400 CP087126.2 25377854 25379898 2044 2883.75 1
GCA_020911765.2_ASM2091176v2_genomic AT1G64583 CP087126.2 26187467 26189389 1922 2403.75 1
GCA_020911765.2_ASM2091176v2_genomic AT3G16710 CP087128.1 5695541 5697223 1682 2103.75 1
GCA_020911765.2_ASM2091176v2_genomic AT3G22470 CP087128.1 7971645 7973681 2036 2546.25 1
GCA_020911765.2_ASM2091176v2_genomic AT4G26800 CP087129.2 17005901 17008180 2279 2850 1
GCA_020911765.2_ASM2091176v2_genomic AT5G16640 CP087130.2 5473975 5476071 2096 2621.25 1
GCA_020911765.2_ASM2091176v2_genomic AT5G41170 CP087130.2 19645197 19647295 2098 2623.75 1
GCA_024498495.1_ASM2449849v1_genomic AT1G06580 CP086744.1 2027145 2029422 2277 2847.5 1
GCA_024498495.1_ASM2449849v1_genomic AT1G12300 CP086744.1 4176966 4180208 3242 4047.5 1
GCA_024498495.1_ASM2449849v1_genomic AT1G12620 CP086744.1 4287028 4289630 2602 3283.75 1
GCA_024498495.1_ASM2449849v1_genomic AT1G12775 CP086744.1 4345995 4348169 2174 2610 2
GCA_024498495.1_ASM2449849v1_genomic AT1G12700 CP086744.1 4320317 4323160 2843 3556.25 1
GCA_024498495.1_ASM2449849v1_genomic AT1G12775 CP086744.1 4287336 4289086 1750 2610 1
GCA_024498495.1_ASM2449849v1_genomic AT1G62590 CP086744.1 23629091 23631403 2312 2898.75 1
GCA_024498495.1_ASM2449849v1_genomic AT1G63330 CP086744.1 23680320 23682535 2215 2721.25 2
GCA_024498495.1_ASM2449849v1_genomic AT1G62670 CP086744.1 23703701 23706267 2566 3208.75 1
GCA_024498495.1_ASM2449849v1_genomic AT1G62910 CP086744.1 23799809 23801519 1710 2742.5 2
GCA_024498495.1_ASM2449849v1_genomic AT1G62914 CP086744.1 23995391 23997016 1625 2310 3
GCA_024498495.1_ASM2449849v1_genomic AT1G62680 CP086744.1 23706462 23709438 2976 3713.75 1
GCA_024498495.1_ASM2449849v1_genomic AT1G62720 CP086744.1 23728133 23729754 1621 2023.75 1
GCA_024498495.1_ASM2449849v1_genomic AT1G62910 CP086744.1 23792302 23794237 1935 2742.5 1
GCA_024498495.1_ASM2449849v1_genomic AT1G62914 CP086744.1 23794411 23796259 1848 2310 2
GCA_024498495.1_ASM2449849v1_genomic AT1G62930 CP086744.1 23919202 23920938 1736 2691.25 2
GCA_024498495.1_ASM2449849v1_genomic AT1G62914 CP086744.1 23792194 23793758 1564 2310 1
GCA_024498495.1_ASM2449849v1_genomic AT1G63400 CP086744.1 24018480 24020766 2286 2883.75 2
GCA_024498495.1_ASM2449849v1_genomic AT1G62930 CP086744.1 23799632 23801791 2159 2691.25 1
GCA_024498495.1_ASM2449849v1_genomic AT1G63080 CP086744.1 23893197 23896461 3264 4081.25 1
GCA_024498495.1_ASM2449849v1_genomic AT1G63130 CP086744.1 23918692 23921329 2637 3297.5 1
GCA_024498495.1_ASM2449849v1_genomic AT1G63150 CP086744.1 23925463 23927884 2421 3026.25 1
GCA_024498495.1_ASM2449849v1_genomic AT1G63330 CP086744.1 23628993 23631169 2176 2721.25 1
GCA_024498495.1_ASM2449849v1_genomic AT1G63400 CP086744.1 23680817 23682871 2054 2883.75 1
GCA_024498495.1_ASM2449849v1_genomic AT1G64583 CP086744.1 24515018 24516939 1921 2403.75 1
GCA_024498495.1_ASM2449849v1_genomic AT3G16710 CP086746.1 5774905 5776587 1682 2103.75 1
GCA_024498495.1_ASM2449849v1_genomic AT3G22470 CP086746.1 8053089 8055125 2036 2546.25 1
GCA_024498495.1_ASM2449849v1_genomic AT4G26800 CP086747.1 14676203 14678480 2277 2850 1
GCA_024498495.1_ASM2449849v1_genomic AT5G16640 CP086748.1 5449015 5451096 2081 2621.25 1
GCA_024498495.1_ASM2449849v1_genomic AT5G41170 CP086748.1 17740523 17742621 2098 2623.75 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G06580 CM046288.1 1995995 1998272 2277 2847.5 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G12300 CM046288.1 4168570 4171813 3243 4047.5 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G12620 CM046288.1 4278950 4281551 2601 3283.75 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G12700 CM046288.1 4308370 4311214 2844 3556.25 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G12775 CM046288.1 4334182 4336269 2087 2610 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G62590 CM046288.1 22341442 22343754 2312 2898.75 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G62670 CM046288.1 22368760 22371326 2566 3208.75 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G62910 CM046288.1 22466052 22467762 1710 2742.5 2
GCA_025388435.1_AtA1-141.20181003_genomic AT1G62914 CM046288.1 22555260 22556781 1521 2310 3
GCA_025388435.1_AtA1-141.20181003_genomic AT1G62680 CM046288.1 22371521 22374500 2979 3713.75 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G62720 CM046288.1 22393189 22394810 1621 2023.75 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G62910 CM046288.1 22458547 22460483 1936 2742.5 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G62914 CM046288.1 22460657 22462505 1848 2310 2
GCA_025388435.1_AtA1-141.20181003_genomic AT1G62930 CM046288.1 22584051 22585787 1736 2691.25 2
GCA_025388435.1_AtA1-141.20181003_genomic AT1G62914 CM046288.1 22458439 22460004 1565 2310 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G62930 CM046288.1 22465875 22468034 2159 2691.25 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G63400 CM046288.1 22659195 22661519 2324 2883.75 2
GCA_025388435.1_AtA1-141.20181003_genomic AT1G63080 CM046288.1 22558650 22561914 3264 4081.25 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G63130 CM046288.1 22583541 22586178 2637 3297.5 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G63330 CM046288.1 22341344 22343520 2176 2721.25 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G63400 CM046288.1 22341802 22343852 2050 2883.75 1
GCA_025388435.1_AtA1-141.20181003_genomic AT1G64583 CM046288.1 23156877 23158798 1921 2403.75 1
GCA_025388435.1_AtA1-141.20181003_genomic AT3G16710 CM046290.1 5699857 5701539 1682 2103.75 1
