family_fasta	gene_id	header_raw	status
OG0000015.fasta	AL1G53250	AL1G53250	no_transcript_with_cds
OG0000015.fasta	AL1G56200	 AL1G56200	no_transcript_with_cds
OG0000015.fasta	AL3G40240	 AL3G40240	no_transcript_with_cds
OG0000015.fasta	AL3G45200	 AL3G45200	no_transcript_with_cds
OG0000015.fasta	AL4G41810	 AL4G41810	no_transcript_with_cds
OG0000015.fasta	AL7G34100	 AL7G34100	no_transcript_with_cds
OG0000015.fasta	AL8G11480	 AL8G11480	no_transcript_with_cds
OG0000024.fasta	AL625U10020	 AL625U10020	no_transcript_with_cds
OG0000029.fasta	AL1G45530	 AL1G45530	no_transcript_with_cds
OG0000045.fasta	AL1G47590	 AL1G47590	no_transcript_with_cds
OG0000045.fasta	AL1G51920	 AL1G51920	no_transcript_with_cds
OG0000045.fasta	AL5G18740	 AL5G18740	no_transcript_with_cds
OG0000060.fasta	AL4G18390	 AL4G18390	no_transcript_with_cds
OG0000060.fasta	AL5G16920	 AL5G16920	no_transcript_with_cds
OG0000086.fasta	AL5G19750	 AL5G19750	no_transcript_with_cds
OG0000118.fasta	AL7G18580	 AL7G18580	no_transcript_with_cds
OG0000118.fasta	AL8G15920	 AL8G15920	no_transcript_with_cds
OG0000118.fasta	AL8G33020	 AL8G33020	no_transcript_with_cds
OG0000142.fasta	AL1G43320	 AL1G43320	no_transcript_with_cds
OG0000147.fasta	AL4G37630	 AL4G37630	no_transcript_with_cds
OG0000147.fasta	AL5G41710	 AL5G41710	no_transcript_with_cds
OG0000150.fasta	AL4G27770	 AL4G27770	no_transcript_with_cds
OG0000170.fasta	AL8G10130	 AL8G10130	no_transcript_with_cds
OG0000186.fasta	AL4G14050	AL4G14050	no_transcript_with_cds
OG0000213.fasta	AL3G24090	 AL3G24090	no_transcript_with_cds
OG0000213.fasta	AL4G27870	 AL4G27870	no_transcript_with_cds
OG0000213.fasta	AL4G32200	 AL4G32200	no_transcript_with_cds
OG0000258.fasta	AL3G30700	 AL3G30700	no_transcript_with_cds
OG0000276.fasta	AL5G20510	 AL5G20510	no_transcript_with_cds
OG0000339.fasta	AL7G48980	 AL7G48980	no_transcript_with_cds
OG0000343.fasta	AL3G39460	 AL3G39460	no_transcript_with_cds
OG0000360.fasta	AL2G29390	 AL2G29390	no_transcript_with_cds
OG0000384.fasta	AL8G14210	 AL8G14210	no_transcript_with_cds
OG0000385.fasta	AL3G44890	AL3G44890	no_transcript_with_cds
OG0000386.fasta	AL6G32070	 AL6G32070	no_transcript_with_cds
OG0000386.fasta	AL6G40190	 AL6G40190	no_transcript_with_cds
OG0000422.fasta	AL4G34740	 AL4G34740	no_transcript_with_cds
OG0000440.fasta	AL1G29270	AL1G29270	no_transcript_with_cds
OG0000440.fasta	AL1G44930	 AL1G44930	no_transcript_with_cds
OG0000448.fasta	AL3G43510	 AL3G43510	no_transcript_with_cds
OG0000503.fasta	AL1G52040	AL1G52040	no_transcript_with_cds
OG0000503.fasta	AL8G17890	 AL8G17890	no_transcript_with_cds
OG0000504.fasta	AL1G56700	AL1G56700	no_transcript_with_cds
OG0000504.fasta	AL3G19600	 AL3G19600	no_transcript_with_cds
OG0000510.fasta	AL6G42120	 AL6G42120	no_transcript_with_cds
OG0000513.fasta	AL5G33250	 AL5G33250	no_transcript_with_cds
OG0000589.fasta	AL188U10010	AL188U10010	no_transcript_with_cds
OG0000599.fasta	AL3G46970	 AL3G46970	no_transcript_with_cds
OG0000599.fasta	AL6G44250	 AL6G44250	no_transcript_with_cds
OG0000621.fasta	AL7G45610	 AL7G45610	no_transcript_with_cds
OG0000692.fasta	AL1G66430	AL1G66430	no_transcript_with_cds
OG0000724.fasta	AL1G66700	AL1G66700	no_transcript_with_cds
OG0000724.fasta	AL4G21420	 AL4G21420	no_transcript_with_cds
OG0000724.fasta	AL7G40240	 AL7G40240	no_transcript_with_cds
OG0000725.fasta	AL5G23110	 AL5G23110	no_transcript_with_cds
OG0000728.fasta	AL1G41300	AL1G41300	no_transcript_with_cds
OG0000739.fasta	AL1G65230	AL1G65230	no_transcript_with_cds
OG0000739.fasta	AL2G18220	 AL2G18220	no_transcript_with_cds
OG0000739.fasta	AL2G18240	 AL2G18240	no_transcript_with_cds
OG0000739.fasta	AL2G18250	 AL2G18250	no_transcript_with_cds
OG0000817.fasta	AL5G22900	 AL5G22900	no_transcript_with_cds
OG0000893.fasta	AL7G47240	 AL7G47240	no_transcript_with_cds
OG0000893.fasta	AL8G29070	 AL8G29070	no_transcript_with_cds
OG0000913.fasta	AL1G35480	 AL1G35480	no_transcript_with_cds
OG0001079.fasta	AL7G37270	 AL7G37270	no_transcript_with_cds
OG0001127.fasta	AL2G19320	 AL2G19320	no_transcript_with_cds
OG0001136.fasta	AL7G18260	 AL7G18260	no_transcript_with_cds
OG0001139.fasta	AL6G40320	 AL6G40320	no_transcript_with_cds
OG0001336.fasta	AL8G29320	 AL8G29320	no_transcript_with_cds
OG0001336.fasta	AL8G29330	 AL8G29330	no_transcript_with_cds
OG0001408.fasta	AL5G20820	AL5G20820	no_transcript_with_cds
OG0001841.fasta	AL8G39640	 AL8G39640	no_transcript_with_cds
OG0001901.fasta	AL1G59840	 AL1G59840	no_transcript_with_cds
OG0001918.fasta	AL5G13340	 AL5G13340	no_transcript_with_cds
OG0001928.fasta	AL1G62500	 AL1G62500	no_transcript_with_cds
OG0002370.fasta	AL7G50290	AL7G50290	no_transcript_with_cds
OG0002370.fasta	AL7G51070	 AL7G51070	no_transcript_with_cds
OG0002810.fasta	AL1G47990	 AL1G47990	no_transcript_with_cds
OG0002810.fasta	AL1G48010	 AL1G48010	no_transcript_with_cds
OG0002891.fasta	AL4G14560	 AL4G14560	no_transcript_with_cds
OG0002891.fasta	AL6G28820	 AL6G28820	no_transcript_with_cds
OG0002919.fasta	AL1G35140	 AL1G35140	no_transcript_with_cds
OG0002919.fasta	AL1G35260	 AL1G35260	no_transcript_with_cds
OG0002919.fasta	AL1G35280	 AL1G35280	no_transcript_with_cds
OG0004081.fasta	AL6G44060	 AL6G44060	no_transcript_with_cds
