"Orthogroup","Aalpina_V4_priTranscripts","Ahalleri_v2.1.0.priTranscripts","Alyrata_v2.1.priTranscripts","Athaliana_Araport11.priTranscripts","Cpapayav_0.4_priTranscriptOnly"
"OG0000007","AALP_AA3G057100","","AL3G16620.t1","AT2G28700.1, AT5G27810.1, AT5G48670.1","evm.TU.contig_24608.1, evm.TU.contig_24864.1, evm.TU.contig_24864.2, evm.TU.contig_25049.1, evm.TU.contig_25049.2, evm.TU.contig_25049.3, evm.TU.contig_25049.4, evm.TU.contig_25049.5, evm.TU.contig_25253.1, evm.TU.contig_25253.2, evm.TU.contig_25253.3, evm.TU.contig_25253.4, evm.TU.contig_25253.5, evm.TU.contig_25982.1, evm.TU.contig_25982.2, evm.TU.contig_26058.1, evm.TU.contig_26058.2, evm.TU.contig_27586.1, evm.TU.contig_28089.1, evm.TU.contig_28448.1, evm.TU.contig_28448.2, evm.TU.contig_28448.3, evm.TU.contig_28448.4, evm.TU.contig_29396.1, evm.TU.contig_31147.1, evm.TU.contig_32899.1, evm.TU.contig_32899.2, evm.TU.contig_33457.1, evm.TU.contig_33457.2, evm.TU.contig_34187.1, evm.TU.contig_34822.1, evm.TU.contig_34921.1, evm.TU.contig_35009.1, evm.TU.contig_35265.1, evm.TU.contig_35762.1, evm.TU.contig_35795.1, evm.TU.contig_35868.1, evm.TU.contig_35890.1, evm.TU.contig_36181.1, evm.TU.contig_36543.1, evm.TU.contig_37084.1, evm.TU.contig_37565.1, evm.TU.contig_38146.1, evm.TU.contig_38285.1, evm.TU.contig_38760.1, evm.TU.contig_39415.1, evm.TU.contig_39804.1, evm.TU.contig_39907.1, evm.TU.contig_40008.1, evm.TU.contig_40164.1, evm.TU.contig_40165.1, evm.TU.contig_40189.1, evm.TU.contig_40485.1, evm.TU.contig_40499.1, evm.TU.contig_40499.2, evm.TU.contig_40915.1, evm.TU.contig_42649.1, evm.TU.contig_43368.1, evm.TU.contig_43908.1, evm.TU.contig_44957.1, evm.TU.contig_45963.1, evm.TU.contig_46342.1, evm.model.supercontig_0.43, evm.model.supercontig_100.10, evm.model.supercontig_100.14, evm.model.supercontig_100.22, evm.model.supercontig_100.9, evm.model.supercontig_1136.1, evm.model.supercontig_1136.2, evm.model.supercontig_1153.1, evm.model.supercontig_1169.1, evm.model.supercontig_117.18, evm.model.supercontig_117.19, evm.model.supercontig_117.22, evm.model.supercontig_117.23, evm.model.supercontig_117.24, evm.model.supercontig_118.30, evm.model.supercontig_118.9, evm.model.supercontig_1237.1, evm.model.supercontig_1256.1, evm.model.supercontig_135.2, evm.model.supercontig_135.3, evm.model.supercontig_135.4, evm.model.supercontig_135.5, evm.model.supercontig_1361.1, evm.model.supercontig_139.40, evm.model.supercontig_15.142, evm.model.supercontig_1643.1, evm.model.supercontig_1750.1, evm.model.supercontig_1750.2, evm.model.supercontig_185.10, evm.model.supercontig_185.11, evm.model.supercontig_185.12, evm.model.supercontig_185.14, evm.model.supercontig_185.2, evm.model.supercontig_185.3, evm.model.supercontig_185.4, evm.model.supercontig_185.5, evm.model.supercontig_185.6, evm.model.supercontig_185.7, evm.model.supercontig_185.8, evm.model.supercontig_185.9, evm.model.supercontig_217.21, evm.model.supercontig_22.66, evm.model.supercontig_220.11, evm.model.supercontig_2248.1, evm.model.supercontig_2600.1, evm.model.supercontig_265.1, evm.model.supercontig_265.2, evm.model.supercontig_265.3, evm.model.supercontig_265.4, evm.model.supercontig_265.5, evm.model.supercontig_265.6, evm.model.supercontig_30.163, evm.model.supercontig_30.164, evm.model.supercontig_30.165, evm.model.supercontig_30.166, evm.model.supercontig_34.38, evm.model.supercontig_34.39, evm.model.supercontig_34.40, evm.model.supercontig_34.41, evm.model.supercontig_358.1, evm.model.supercontig_4.187, evm.model.supercontig_44.14, evm.model.supercontig_51.120, evm.model.supercontig_51.121, evm.model.supercontig_51.123, evm.model.supercontig_51.124, evm.model.supercontig_5245.1, evm.model.supercontig_960.1"
"OG0000009","AALP_AA1G046900, AALP_AA3G045900, AALP_AA3G116600, AALP_AA3G116700, AALP_AA5G036700, AALP_AA5G036800, AALP_AA5G036900, AALP_AA5G040100, AALP_AA5G155900, AALP_AA5G156600, AALP_AA5G194400, AALP_AA6G282500, AALP_AA6G354700, AALP_AA8G107400, AALP_AA8G168300, AALP_AA8G352300, AALP_AA8G352400, AALP_AA8G448800, AALP_AA8G448900, AALP_AA8G465500","Ah2G10920.1, Ah4G10200.2, Ah4G33550.1, Ah5G05430.1, Ah5G17870.1, Ah5G17880.1, Ah5G17890.1, Ah5G17900.1, Ah5G17920.1, Ah5G18210.1, Ah5G19960.1, Ah5G20990.1, Ah5G22400.2, Ah5G22420.1, Ah5G22450.1, Ah5G25220.2, Ah6G35530.2, Ah6G35550.1, Ah7G14670.1, Ah7G38150.2, Ah7G38160.1, Ah8G07420.1, Ah8G22190.1, Ah8G22200.1, Ah8G22210.1, Ah8G22710.1, Ah8G30690.1","AL1G65610.t1, AL4G20070.t1, AL5G15900.t1, AL5G15910.t1, AL5G28540.t1, AL5G28550.t1, AL5G28950.t1, AL5G30872.t1, AL5G31970.t1, AL5G36020.t1, AL6G44330.t1, AL6G44360.t1, AL6G44370.t1, AL7G26600.t1, AL7G51940.t1, AL7G51960.t1, AL7G52000.t1, AL7G52020.t1, AL8G17190.t1, AL8G32200.t1, AL8G32500.t1, AL8G32520.t1, AL8G32530.t1, AL8G40480.t1, AL8G41770.t1","AT1G55030.2, AT2G04230.1, AT2G26860.2, AT3G26920.3, AT3G26922.2, AT3G26930.2, AT3G49020.1, AT3G49030.1, AT3G49040.1, AT3G50710.1, AT3G51530.1, AT3G52680.1, AT3G52690.1, AT3G54910.2, AT3G55670.1, AT3G55900.1, AT4G00160.1, AT4G09920.1, AT4G10400.1, AT4G10410.1, AT4G10420.1, AT4G13965.1, AT4G26340.1, AT5G38565.1, AT5G38570.1, AT5G38580.1, AT5G38590.2, AT5G56690.1, AT5G56700.2, AT5G60610.1",""
"OG0000012","AALP_AA2G066700, AALP_AA3G277400, AALP_AA3G352100, AALP_AA5G206400, AALP_AA5G206600, AALP_AA5G226800, AALP_AA5G227000, AALP_AA5G227100, AALP_AA5G227600, AALP_AA5G227700, AALP_AA5G227800, AALP_AA5G228000, AALP_AA5G228200, AALP_AA5G228400, AALP_AA5G228600, AALP_AA5G228800, AALP_AA5G228900, AALP_AA5G229300, AALP_AA5G232000, AALP_AA5G232100, AALP_AA5G232300, AALP_AA6G178800","Ah1G19360.1, Ah1G36480.1, Ah1G36490.1, Ah2G09800.2, Ah3G33320.1, Ah3G33330.1, Ah3G33340.1, Ah3G34560.1, Ah5G05620.1, Ah5G12540.1, Ah5G12570.1, Ah5G29100.1, Ah5G29110.2, Ah5G29140.1, Ah5G29150.1, Ah5G29160.1, Ah5G29180.1, Ah5G29220.1, Ah5G29250.1, Ah5G29270.1, Ah5G29280.1, Ah5G29290.1, Ah5G29310.1","AL1G49650.t1, AL1G49660.t1, AL1G66550.t1, AL1G66560.t1, AL3G42870.t1, AL3G42880.t1, AL3G42890.t1, AL3G42900.t1, AL5G23140.t1, AL5G23200.t1, AL5G23230.t1, AL5G39900.t1, AL5G39910.t1, AL5G39920.t1, AL5G39940.t1, AL5G39960.t1, AL5G39970.t1, AL5G39980.t1, AL5G40000.t1, AL5G40020.t1, AL5G40070.t1, AL5G40100.t1, AL5G40110.t1, AL5G40120.t1, AL5G40140.t1, AL5G40170.t1","AT1G31370.1, AT1G31380.1, AT1G31390.1, AT1G31400.1, AT2G01790.1, AT2G05400.3, AT2G05410.2, AT2G05420.1, AT3G27040.1, AT3G44790.1, AT3G44800.1, AT3G44805.1, AT3G58200.1, AT3G58210.1, AT3G58220.2, AT3G58250.1, AT3G58260.1, AT3G58270.3, AT3G58290.1, AT3G58340.1, AT3G58350.1, AT3G58360.1, AT3G58370.1, AT3G58400.1, AT3G58410.1, AT3G58420.1","evm.model.supercontig_85.3"
"OG0000015","AALP_AA4G116900, AALP_AA7G055000, AALP_AAs69811U000200","Ah124U00020.1, Ah16U00020.1, Ah1G03390.1, Ah1G09640.1, Ah1G27970.1, Ah1G36200.1, Ah1G41670.1, Ah1G41780.1, Ah1G43810.1, Ah1G49270.1, Ah2G07330.1, Ah2G07340.1, Ah2G09500.1, Ah2G14010.1, Ah2G15560.1, Ah2U00680.1, Ah3G13450.1, Ah3G30280.1, Ah3G30780.1, Ah3G32470.1, Ah3G34090.1, Ah3G36580.1, Ah3G36970.1, Ah3G39420.1, Ah3G42150.1, Ah3G43720.1, Ah4G05990.1, Ah4G30070.1, Ah5G05910.1, Ah5G06990.1, Ah5G11810.1, Ah5G15400.1, Ah5G30830.1, Ah5G35770.1, Ah6G01400.1, Ah6G27330.1, Ah6G34640.1, Ah6G39400.1, Ah6G39600.1, Ah7G08190.1, Ah7G24660.1, Ah7G37080.1, Ah8G05000.1, Ah8G06500.1, Ah8G06920.1, Ah8G11290.1, Ah8G14110.1, Ah8G18630.1, Ah8G33010.1","AL1G53250.t1, AL1G56200.t1, AL1G56270.t1, AL1G61030.t1, AL2G10360.t2, AL2G38250.t1, AL364U10020.t1, AL3G39750.t1, AL3G40240.t1, AL3G45200.t2, AL3G53150.t1, AL4G28120.t1, AL4G41810.t1, AL6G39210.t2, AL7G30150.t1, AL7G34100.t1, AL8G11480.t1, AL8G14770.t1","AT1G29005.1, AT1G33710.1, AT1G34440.1, AT1G40390.1, AT1G43730.1, AT1G43760.1, AT1G44941.1, AT1G50080.1, AT1G60720.1, AT2G02520.1, AT2G19146.1, AT3G25720.1, AT3G25727.1, AT3G27590.1, AT4G04650.1, AT4G05095.1, AT4G10613.1, AT5G11565.1, AT5G16486.1, AT5G28615.1",""
"OG0000016","AALP_AA1G063300, AALP_AA1G135600, AALP_AA1G139600, AALP_AA1G139900, AALP_AA2G005100, AALP_AA2G013500, AALP_AA2G014100, AALP_AA2G029900, AALP_AA8G174800, AALP_AAs49566U000200, AALP_AAs72154U000100","Ah1G06670.1, Ah1G14140.1, Ah1G14210.1, Ah1G14220.1, Ah1G14340.1, Ah2G00270.2, Ah2G01350.1, Ah2G02430.1, Ah2G02510.1, Ah2G02730.1, Ah2G02750.1, Ah2G02990.1, Ah2G03060.2, Ah2G03080.1, Ah2G03100.1, Ah3G19960.1, Ah3G27700.1, Ah6G18170.1, Ah7G41870.3","AL1G16610.t1, AL1G23620.t1, AL1G23630.t1, AL1G23970.t1, AL1G24070.t1, AL1G24080.t1, AL1G24180.t1, AL1G24190.t1, AL2G10190.t1, AL2G11490.t1, AL2G11830.t1, AL2G12460.t1, AL2G12470.t1, AL2G12500.t1, AL2G12780.t1, AL2G12790.t1, AL2G12810.t1, AL2G12820.t1, AL2G12830.t1, AL2G13070.t1, AL2G13120.t1, AL2G13130.t1, AL2G13140.t1, AL2G13150.t1, AL2G13170.t1, AL2G13280.t1, AL2G18840.t1, AL3G29642.t1, AL3G36780.t1, AL6G27650.t1, AL7G48260.t1","AT1G06580.1, AT1G12300.1, AT1G12620.1, AT1G12700.2, AT1G12775.1, AT1G62590.1, AT1G62670.1, AT1G62680.2, AT1G62720.1, AT1G62910.1, AT1G62914.1, AT1G62930.1, AT1G63070.1, AT1G63080.3, AT1G63130.1, AT1G63150.1, AT1G63330.2, AT1G63400.1, AT1G64583.1, AT3G16710.1, AT3G22470.1, AT4G26800.2, AT5G16640.1, AT5G41170.1","evm.model.supercontig_161.35, evm.model.supercontig_58.57"
"OG0000022","AALP_AA2G099400, AALP_AA2G099500, AALP_AA3G024400, AALP_AA3G024600, AALP_AA3G317500, AALP_AA5G239700, AALP_AA5G240200, AALP_AA5G241700, AALP_AA5G243400, AALP_AA5G245400, AALP_AA5G245700, AALP_AA5G245900, AALP_AA5G246000, AALP_AA5G246200, AALP_AA5G246400, AALP_AA5G246900, AALP_AA6G020000, AALP_AAs42053U000100, AALP_AAs55242U000100, AALP_AAs68706U000100, AALP_AAs69437U000100","Ah1G19400.1, Ah3G05430.1, Ah3G05440.1, Ah3G35820.1, Ah5G29900.3, Ah5G30240.1, Ah5G30250.1, Ah5G30260.1, Ah5G30270.1, Ah5G30280.1, Ah5G30290.1, Ah5G30300.1, Ah5G30350.1, Ah5G30370.1, Ah7G31030.1","AL164U10020.t1, AL2G18450.t1, AL3G12540.t1, AL3G12550.t1, AL5G16810.t1, AL5G40710.t1, AL5G41040.t1, AL5G41050.t1, AL5G41060.t1, AL5G41070.t1, AL5G41080.t1, AL5G41090.t1, AL5G41120.t1, AL5G41130.t1, AL7G42310.t1, AL8G16450.t1","AT1G58310.1, AT3G03030.1, AT3G03040.1, AT3G49150.1, AT3G58900.4, AT3G59160.1, AT3G59170.1, AT3G59180.1, AT3G59190.2, AT3G59200.1, AT3G59210.1, AT3G59230.1, AT3G59240.1, AT3G59250.1, AT4G14096.2, AT4G14103.2",""
"OG0000024","","Ah1G11970.1, Ah1G52500.1, Ah2G07290.1, Ah2G07430.1, Ah2G07440.1, Ah2G07480.1, Ah2G07490.1, Ah2G07500.1, Ah2G07590.1, Ah2G07600.1, Ah2G08050.1, Ah2G09860.1, Ah2G10820.1, Ah7G27880.1, Ah7G28230.1, Ah8G11310.1, Ah8G11330.1, Ah8G11350.1, Ah8G11370.1, Ah8G11390.1","AL1G21900.t1, AL1G61840.t2, AL1G65650.t1, AL1G65670.t1, AL293U10010.t1, AL2G16980.t1, AL2G17070.t1, AL2G17080.t1, AL2G17090.t1, AL2G17100.t1, AL2G17250.t1, AL2G17390.t1, AL2G17410.t1, AL2G17420.t1, AL2G17430.t1, AL2G17650.t1, AL2G17810.t1, AL2G17820.t1, AL2G17830.t1, AL625U10020.t1, AL6G33840.t1, AL7G39090.t1, AL7G46780.t1, AL8G21620.t1, AL8G21640.t1","AT1G10920.4, AT1G53350.1, AT1G58390.1, AT1G58400.2, AT1G58410.2, AT1G58602.2, AT1G58807.1, AT1G58848.1, AT1G59124.2, AT1G59218.2, AT1G59620.1, AT1G59780.1, AT4G16095.1, AT5G35450.1, AT5G43470.1, AT5G48620.1","evm.model.supercontig_86.20"
"OG0000027","AALP_AA3G231200, AALP_AA3G231300, AALP_AA3G231500, AALP_AA3G231600, AALP_AA3G300300, AALP_AA5G035800, AALP_AA5G078700, AALP_AA7G094400, AALP_AA7G164900, AALP_AA8G485600, AALP_AAs54448U000100","Ah3G24400.1, Ah3G24430.1, Ah3G24440.1, Ah3G33180.1, Ah4G09920.1, Ah4G09930.1","AL3G33760.t1, AL3G33770.t1, AL3G33780.t1, AL3G33790.t1, AL3G33800.t1, AL3G33810.t1, AL3G33830.t1, AL3G34900.t1, AL3G42780.t1, AL4G20490.t1, AL7G40280.t1, AL7G40290.t1, AL8G20150.t1","AT1G28430.1, AT2G05180.1, AT2G14100.1, AT2G27000.1, AT2G27010.1, AT3G20080.2, AT3G20090.2, AT3G20100.1, AT3G20110.1, AT3G20120.4, AT3G20130.1, AT3G20140.1, AT3G20935.1, AT3G20940.1, AT3G20950.1, AT3G20960.2, AT3G32047.1, AT4G15330.1, AT4G15350.1, AT4G15360.1, AT4G15380.1, AT5G42580.1, AT5G47990.1",""
"OG0000029","AALP_AA1G315800, AALP_AA1G315900, AALP_AA5G165700, AALP_AA5G182900, AALP_AA5G184800, AALP_AA5G216100","Ah1G35870.1, Ah5G28340.1","AL1G45230.t1, AL1G45270.t1, AL1G45280.t1, AL1G45290.t1, AL1G45300.t1, AL1G45350.t1, AL1G45470.t1, AL1G45480.t1, AL1G45490.t1, AL1G45510.t1, AL1G45520.t1, AL1G45530.t1, AL1G45540.t1, AL1G45550.t1, AL1G45560.t1, AL1G45570.t1, AL1G45580.t1, AL1G45590.t1, AL1G45600.t1, AL1G45610.t1, AL1G46260.t1, AL1G46270.t1, AL1G46280.t1, AL2G25510.t1, AL3G45420.t1, AL4G14910.t1, AL4G14930.t1, AL4G35160.t1, AL5G23680.t1, AL5G38280.t1, AL5G39160.t1, AL5G39170.t1, AL6G43880.t1, AL756U10010.t1","AT1G30920.1, AT1G30930.1, AT1G31080.1, AT1G31090.1, AT1G67130.1, AT3G56890.1, AT3G57580.1, AT3G57590.1, AT5G38810.2, AT5G42430.1",""
"OG0000030","AALP_AA2G118800, AALP_AA3G112600, AALP_AA3G112700, AALP_AA3G112800, AALP_AA3G132700, AALP_AA3G132800, AALP_AA3G248300, AALP_AA8G174700, AALP_AA8G176200, AALP_AA8G430800","Ah1G38450.1, Ah1G38890.1, Ah2G24420.1, Ah2G24440.1, Ah3G11430.2, Ah3G13630.1, Ah3G13650.1, Ah3G13660.1, Ah4G02710.1, Ah4G02760.1, Ah4G02790.2, Ah4G02820.1","AL2G33070.t1, AL3G21810.t1, AL3G23890.t1, AL3G23900.t1, AL4G12560.t1, AL4G12610.t1, AL4G12620.t1, AL4G12630.t1, AL4G12640.t1, AL4G12650.t1, AL4G12670.t1","AT1G33540.1, AT1G73270.1, AT1G73280.1, AT1G73290.1, AT1G73300.1, AT1G73310.1, AT2G22920.2, AT2G22970.3, AT2G22980.4, AT2G22990.3, AT2G23000.1, AT2G23010.1, AT3G10450.1, AT3G12203.1, AT3G12220.1, AT3G12230.1, AT3G12240.1, AT5G36180.1","evm.model.supercontig_142.47"
