accession,assembly,sample_name,location,latitude,longitude,pop_name,PC1,PC2,busco_complete_pct,contig_n50_mbp,total_length_mbp,OG0000009,OG0000012,OG0000015,OG0000016,OG0000022,OG0000024,OG0000027,OG0000029,OG0000030,OG0000039,OG0000040,OG0000042,OG0000045,OG0000046,OG0000047,OG0000049,OG0000054,OG0000060,OG0000065,OG0000074,OG0000075,OG0000077,OG0000083,OG0000087,OG0000090,OG0000093,OG0000095,OG0000096,OG0000100,OG0000103,OG0000106,OG0000107,OG0000118,OG0000126,OG0000141,OG0000142,OG0000147,OG0000150,OG0000159,OG0000164,OG0000170,OG0000182,OG0000184,OG0000185,OG0000186,OG0000192,OG0000196,OG0000199,OG0000205,OG0000206,OG0000210,OG0000217,OG0000220,OG0000224,OG0000228,OG0000242,OG0000255,OG0000261,OG0000264,OG0000266,OG0000269,OG0000271,OG0000276,OG0000297,OG0000298,OG0000299,OG0000319,OG0000325,OG0000329,OG0000338,OG0000343,OG0000348,OG0000361,OG0000367,OG0000372,OG0000375,OG0000382,OG0000384,OG0000385,OG0000386,OG0000388,OG0000402,OG0000434,OG0000440,OG0000442,OG0000445,OG0000448,OG0000452,OG0000473,OG0000500,OG0000501,OG0000503,OG0000504,OG0000510,OG0000513,OG0000534,OG0000535,OG0000546,OG0000589,OG0000594,OG0000598,OG0000601,OG0000618,OG0000620,OG0000639,OG0000679,OG0000692,OG0000725,OG0000728,OG0000731,OG0000736,OG0000739,OG0000761,OG0000817,OG0000822,OG0000862,OG0000887,OG0000893,OG0000907,OG0000913,OG0000949,OG0000962,OG0001019,OG0001038,OG0001079,OG0001115,OG0001127,OG0001135,OG0001136,OG0001139,OG0001196,OG0001202,OG0001349,OG0001363,OG0001395,OG0001398,OG0001408,OG0001688,OG0001769,OG0001820,OG0001885,OG0001893,OG0001918,OG0001927,OG0001929,OG0002370,OG0002742,OG0002829,OG0002883,OG0002891,OG0002892,OG0002893,OG0002919,OG0003687,OG0003730,OG0003808,OG0003820,cec_0_5cm,cec_5_15cm,pH_0_5cm,soc_5_15cm,bio3,bio4,bio8,bio10,bio13,bio15,bio18,te_int_frac
GCA_020911765.2,ASM2091176v2,ASM2091176v2,USA: Columbia,38.3,-92.3,Col-0,-0.636558665,3.842949962,99.4,26,133.917131,31,33,20,34,16,25,25,10,22,12,16,10,1,11,6,10,15,15,12,118,1,16,25,5,16,54,2,25,2,14,8,9,17,8,4,11,8,8,2,7,4,5,15,5,3,3,7,15,2,10,7,4,9,1,4,2,1,16,7,4,16,9,7,9,10,5,2,10,16,1,6,11,4,1,8,1,8,3,1,4,1,8,4,2,31,3,2,1,11,18,2,2,9,8,4,5,2,7,1,2,3,23,3,3,2,10,8,1,5,7,11,14,14,1,2,1,1,1,5,4,21,5,4,8,1,4,3,1,5,3,1,4,6,1,2,1,2,7,3,8,7,1,1,3,3,3,5,2,9,4,5,2,2,2,2,1,2,13.7,11.9,6.2,13,0.280999994,910.5,18.75,25.15,141.6,27.2,349.6,0.216152249
GCA_024498495.1,ASM2449849v1,ASM2449849v1,Sweden,55.72,13.19,Lu-1,-5.623779323,-0.175857359,99.4,9,122.660426,31,28,15,33,16,16,23,9,21,11,15,10,1,11,5,10,15,14,10,49,1,15,18,3,16,14,1,24,2,12,7,8,16,8,4,11,8,8,2,7,1,5,14,4,3,3,7,15,2,10,7,4,9,1,3,2,1,15,6,2,13,9,7,10,10,5,2,9,13,1,5,11,4,1,8,1,8,3,1,4,1,8,4,1,15,3,2,1,10,16,2,2,9,8,4,5,1,7,1,2,3,24,3,3,2,10,8,1,4,7,11,12,5,1,2,1,1,1,5,4,21,5,4,8,0,4,3,0,5,3,1,4,6,1,2,1,2,7,3,7,7,0,0,3,3,3,4,2,3,3,5,2,2,2,2,0,2,21,14.6,6.2,18.9,0.273000002,616.6,12.55,15.95,79.8,20.8,221.3,0.162986936
GCA_025388435.1,AtA1-141.20181003,AtA1-141.20181003,France,43.5235,1.4761,TOU-A,-4.704628287,0.8724731,99.1,13,119.744458,30,29,16,30,16,15,22,8,21,11,15,9,1,11,4,10,11,15,12,15,1,11,18,4,16,14,2,22,2,13,10,9,12,8,4,12,8,8,2,7,4,4,11,4,3,3,7,15,1,10,7,4,9,1,3,2,1,14,1,3,13,9,6,10,10,5,2,9,13,1,5,11,4,1,7,1,8,3,1,4,1,8,3,2,21,3,2,1,9,10,2,1,9,8,4,5,1,7,1,2,3,17,3,2,2,9,8,1,4,7,7,10,5,1,2,1,1,1,5,4,23,5,4,5,0,4,3,1,5,3,1,4,5,1,2,0,2,6,3,7,7,1,0,2,3,3,4,2,9,2,5,2,2,2,2,1,2,20.9,16,6.9,9.9,0.354999995,572.5,15.45,20.85,83.4,17.7,162.6,0.145026394
GCA_036926925.1,ASM3692692v1,ASM3692692v1,USA,37.75,-119.58,Yo-0,-3.517701948,0.948883491,99.5,14,131.797805,31,29,18,30,16,14,24,10,21,11,16,9,1,11,6,10,13,14,9,28,1,13,20,1,15,26,1,22,2,13,7,8,14,8,4,12,8,8,2,7,3,4,14,4,3,3,7,15,2,10,7,4,9,1,4,2,1,16,6,3,14,9,7,9,10,5,2,9,14,1,4,10,4,1,8,1,8,2,1,4,1,8,4,2,18,3,2,1,10,8,2,2,9,8,4,5,1,7,1,2,3,11,3,3,2,10,7,1,4,7,8,12,5,1,2,0,1,1,5,4,20,5,4,8,1,4,2,1,5,3,1,4,6,1,2,0,2,7,3,7,6,1,0,1,3,3,4,2,2,3,5,2,2,2,2,0,2,11.5,8.1,5.8,21,0.403999996,650.1,1.45,17.65,201.2,77.8,38.8,0.219901265
GCA_036926965.1,ASM3692696v1,ASM3692696v1,Canada,49.18,-123.13,Ri-0,-3.099133473,1.444566743,99.4,15,128.196233,31,28,16,34,16,13,22,10,22,11,15,10,1,11,5,10,13,14,12,82,1,11,21,5,16,17,2,23,2,13,9,9,16,8,4,11,8,7,2,7,2,5,12,5,3,3,7,14,1,10,7,4,9,0,4,2,1,15,7,3,17,9,9,9,10,5,2,9,14,1,5,11,4,1,8,1,8,3,1,4,0,8,3,2,20,3,2,1,10,18,2,2,9,7,4,5,1,7,0,2,3,24,3,3,2,10,7,1,5,7,10,11,5,1,2,1,1,0,5,4,21,5,4,8,1,4,3,1,5,3,1,4,6,1,2,1,2,7,3,7,7,1,0,2,3,3,4,0,7,3,5,1,2,1,2,1,2,20.8,17.5,6.6,21,0.274000001,486.5,5.45,17.15,251.6,50.6,168.4,0.19306994
GCA_036926975.1,ASM3692697v1,ASM3692697v1,Japan,34.73,136.5,Tsu-0,-5.308597692,1.901203943,99.4,13,129.592295,30,32,17,31,16,13,23,10,20,11,15,10,1,11,5,10,15,13,9,92,1,13,18,2,16,25,1,24,2,6,7,9,16,8,4,11,8,8,2,7,4,5,10,5,3,3,7,15,2,10,7,4,9,1,3,2,1,14,7,4,14,9,8,9,10,5,2,10,13,1,6,12,4,1,8,1,8,3,1,4,1,8,4,2,11,2,2,1,10,9,2,2,9,5,4,5,2,7,1,1,3,15,3,3,2,9,7,1,5,7,8,12,14,1,2,1,1,1,5,4,20,5,4,8,0,4,3,1,5,3,1,4,6,1,2,0,2,7,3,7,7,1,1,2,3,3,4,2,3,2,5,1,2,2,2,1,2,20.8,17.5,6.6,21,0.238000011,741.5,25.85,25.85,270.6,47.9,639.7,0.206692134
GCA_036927025.1,ASM3692702v1,ASM3692702v1,Tajikistan,38.59,68.79,Shahdara,1.105134431,11.90310389,99.4,14,133.190498,31,30,17,32,16,17,26,10,21,11,15,10,1,11,6,10,15,15,9,62,1,12,17,3,15,27,2,22,2,12,9,8,14,8,3,11,8,6,2,7,2,5,9,4,3,3,7,15,1,11,7,4,9,0,3,2,0,15,6,2,11,9,7,9,10,4,2,9,15,1,4,10,4,1,8,1,8,3,1,4,1,8,3,2,5,3,2,1,11,16,2,1,8,8,4,5,1,7,0,1,3,14,3,3,2,10,8,1,4,7,7,8,5,0,2,0,1,1,4,4,24,5,4,5,1,4,3,1,5,3,0,4,6,1,2,0,2,6,3,7,7,1,0,2,3,3,4,2,3,3,5,2,2,2,2,0,2,20.8,17.5,6.6,21,0.332999992,878,8.45,24.85,148.5,71.6,37.5,0.226318622
GCA_036927045.1,ASM3692704v1,ASM3692704v1,Russia,53.33,49.48,Shigu-2,0.402660751,10.14329059,99.4,14,130.970342,31,29,17,35,16,16,23,10,21,11,15,10,1,11,5,10,12,14,10,70,1,15,17,4,15,21,2,21,2,12,8,9,11,8,4,11,8,8,2,7,2,5,9,5,3,3,7,15,1,10,7,3,9,0,3,2,1,14,7,2,14,9,6,9,10,5,2,8,15,1,4,11,4,1,8,1,8,3,1,4,1,8,4,2,8,2,2,1,10,17,2,1,9,8,4,5,2,7,0,1,3,24,3,3,2,9,8,1,5,6,7,10,5,0,2,0,1,1,5,4,21,5,4,7,1,4,1,1,5,3,0,4,6,1,2,0,2,7,3,7,7,1,0,2,3,2,4,1,3,4,5,2,2,1,2,1,1,29.6,31,6.9,25.3,0.189999998,1123.8,19.05,19.05,71,18.5,192.7,0.214426881
GCA_036927085.1,ASM3692708v1,ASM3692708v1,Norway,60.39,6.19,Oy-0,-4.357578617,0.499063005,99.4,14,131.393858,29,30,18,35,16,16,23,10,22,11,15,9,1,11,4,10,13,13,10,32,1,13,19,5,14,17,2,23,2,7,8,9,14,8,4,11,8,8,2,7,3,5,13,4,3,3,7,15,1,11,7,4,9,1,3,2,1,16,7,3,15,9,7,9,10,5,2,10,13,1,5,11,4,1,7,1,8,3,1,4,1,8,4,2,13,3,2,1,11,15,2,1,9,8,4,5,2,7,1,2,3,17,3,3,2,10,8,1,5,7,7,11,5,0,2,1,1,1,5,4,19,5,4,7,1,4,2,1,5,3,1,4,6,1,2,0,2,7,3,8,7,1,0,1,3,3,4,2,8,3,5,3,1,1,2,1,2,20.8,17.5,6.6,21,0.250999999,665.6,-0.45,15.75,300.8,32.3,449.3,0.214851314
GCA_036927245.1,ASM3692724v1,ASM3692724v1,France,43.69,7.33,JEA,-2.243855794,-5.52476403,99.4,14,129.770716,31,27,18,30,14,17,24,10,22,11,15,10,1,11,4,10,14,13,12,98,1,13,19,5,15,14,1,22,2,7,7,6,13,8,4,11,7,8,2,7,3,5,12,4,2,3,7,13,1,10,7,4,9,1,3,2,1,16,5,2,16,9,7,9,10,5,2,10,15,1,6,10,4,1,8,0,8,3,1,4,0,8,4,2,15,3,2,1,9,16,2,2,9,8,4,5,1,7,1,2,3,14,3,2,1,8,7,1,5,7,6,11,5,1,2,1,1,1,5,4,18,5,4,8,1,4,1,1,5,3,1,4,6,1,2,0,2,7,3,6,7,1,1,1,3,3,4,2,1,3,5,1,2,2,2,1,1,20.8,17.5,6.6,21,0.251999998,529.8,13.25,22.75,121.8,49.9,78.9,0.207794731
