Dsc	Family ID	Aalpina	Ahalleri	Alyrata	Athaliana	Cpapaya
AALP_AAs49867U000100	OG0000000	1	0	0	0	361
AL4G18300	OG0000001	0	0	1	0	332
AALP_AA1G149600	OG0000002	221	0	0	0	0
evm	OG0000003	0	0	0	0	200
null	OG0000004	0	0	0	0	192
AALP_AA1G140800	OG0000005	149	0	0	0	0
Ah1G13450	OG0000006	0	148	0	0	0
AT2G28700	OG0000007	1	0	1	3	130
null	OG0000008	0	0	0	0	119
AT1G55030	OG0000009	20	27	25	30	0
AALP_AA1G027600	OG0000010	101	0	0	0	0
null	OG0000011	0	0	0	0	99
AT1G31370	OG0000012	22	23	26	26	1
null	OG0000013	0	0	0	0	97
null	OG0000014	0	0	0	0	91
AT1G29005	OG0000015	3	49	18	20	0
AT1G06580	OG0000016	11	19	31	24	2
AALP_AA1G186000	OG0000017	85	0	0	0	1
AALP_AA1G178600	OG0000018	82	0	0	0	0
AALP_AA1G140700	OG0000019	74	0	0	0	0
AALP_AA1G181500	OG0000020	70	0	0	0	0
AT2G01050	OG0000021	0	0	0	1	68
AT1G58310	OG0000022	21	15	16	16	0
AALP_AA1G100700	OG0000023	66	0	0	0	0
AT1G10920	OG0000024	0	20	25	16	1
Ah1G26290	OG0000025	0	56	0	0	0
AALP_AAs41002U000100	OG0000026	1	52	1	0	0
AT1G28430	OG0000027	11	6	13	23	0
Ah1G09710	OG0000028	0	2	0	0	51
AT1G30920	OG0000029	6	2	34	10	0
AT1G33540	OG0000030	10	12	11	18	1
null	OG0000031	0	0	0	0	52
AALP_AA1G180400	OG0000032	50	0	0	0	1
AALP_AA1G128700	OG0000033	51	0	0	0	0
AALP_AA1G149500	OG0000034	49	1	0	0	0
Ah1G12980	OG0000035	0	48	2	0	0
AT1G10230	OG0000036	12	8	12	12	5
AT1G04680	OG0000037	11	9	12	11	6
AT2G22440	OG0000038	1	45	2	1	0
AT3G46650	OG0000039	7	14	16	12	0
AT3G43170	OG0000040	1	19	14	15	0
AT1G09200	OG0000041	8	11	12	12	5
AT1G66610	OG0000042	8	10	19	10	1
AT1G17260	OG0000043	9	10	10	11	8
ATMG00850	OG0000044	43	1	0	1	2
AT5G27606	OG0000045	0	41	5	1	0
AT1G56380	OG0000046	12	5	18	11	0
AT3G47090	OG0000047	8	14	15	6	3
null	OG0000048	0	0	0	0	46
AT3G46840	OG0000049	6	9	19	10	0
null	OG0000050	0	0	0	0	44
null	OG0000051	0	0	0	0	44
AT1G20010	OG0000052	8	10	10	9	6
AT1G20090	OG0000053	10	9	9	10	5
AT1G56510	OG0000054	4	13	11	15	0
AT1G49240	OG0000055	3	11	12	11	6
Ah1G13570	OG0000056	0	43	0	0	0
AALP_AA1G254500	OG0000057	41	1	0	0	0
Ah1G26300	OG0000058	0	42	0	0	0
null	OG0000059	0	0	0	0	42
AT1G37020	OG0000060	1	14	16	9	0
Ah1G26610	OG0000061	0	39	0	0	1
null	OG0000062	0	0	0	0	40
null	OG0000063	0	0	0	0	40
null	OG0000064	0	0	0	0	40
AT1G31540	OG0000065	4	13	11	11	0
Ah1G13560	OG0000066	0	39	0	0	0
Ah1G39570	OG0000067	0	38	1	0	0
AT1G06400	OG0000068	7	9	9	9	4
AT1G64040	OG0000069	4	9	11	9	5
AL1031U10010	OG0000070	0	0	38	0	0
AT1G07660	OG0000071	8	6	9	8	6
AT1G07790	OG0000072	8	8	7	10	4
AT3G04200	OG0000073	3	5	8	10	11
AT2G24205	OG0000074	1	1	0	35	0
AT1G36925	OG0000075	0	35	1	1	0
AT1G12210	OG0000076	7	10	9	10	0
AT1G49100	OG0000077	3	10	7	16	0
AALP_AA1G083800	OG0000078	36	0	0	0	0
AALP_AA2G093400	OG0000079	2	34	0	0	0
AT2G16850	OG0000080	6	8	9	8	5
AT3G32160	OG0000081	0	33	0	3	0
Ah1G38790	OG0000082	0	35	1	0	0
AT1G43680	OG0000083	0	13	3	20	0
null	OG0000084	0	0	0	0	36
null	OG0000085	0	0	0	0	36
AT5G53670	OG0000086	1	1	3	1	29
AT1G40087	OG0000087	2	18	8	4	3
Ah1G11250	OG0000088	0	34	1	0	0
Ah1G36690	OG0000089	0	35	0	0	0
AT1G48800	OG0000090	4	6	9	15	0
AT1G29910	OG0000091	9	7	6	7	4
AALP_AA1G216000	OG0000092	33	0	0	0	0
AT3G21940	OG0000093	3	2	3	25	0
AT1G66410	OG0000094	6	7	7	7	6
AT1G18050	OG0000095	2	27	2	2	0
AT1G29180	OG0000096	1	7	3	22	0
Ah1G10850	OG0000097	0	33	0	0	0
null	OG0000098	0	0	0	0	33
AT1G06390	OG0000099	3	8	9	8	4
AT1G31960	OG0000100	1	28	1	2	0
AALP_AA4G141700	OG0000101	1	30	1	0	0
AT1G01750	OG0000102	4	8	7	8	5
AT1G03660	OG0000103	1	8	7	14	2
AT3G03850	OG0000104	9	5	8	8	2
Ah1G41880	OG0000105	0	32	0	0	0
AT1G55060	OG0000106	2	4	13	8	4
AT1G27540	OG0000107	3	5	15	8	0
Ah1G31390	OG0000108	0	30	1	0	0
Ah1G13440	OG0000109	0	31	0	0	0
Ah1G23720	OG0000110	0	31	0	0	0
null	OG0000111	0	0	0	0	31
null	OG0000112	0	0	0	0	31
AT1G22340	OG0000113	8	4	5	5	8
