assembly	gene	scaffold	start	end	length	max_length	copy
73_3a	AL5G20820	scaffold_5_RagTag	6123140	6124905	1765	2597.5	1
73_3a	AL5G20820	scaffold_5_RagTag	8876751	8878710	1959	2597.5	2
73_3a	AL5G20820	scaffold_5_RagTag	10397106	10399182	2076	2597.5	3
73_3a	AL5G20820	scaffold_4_RagTag	4391097	4393164	2067	2597.5	4
73_3a	AL5G20820	scaffold_3_RagTag	16850395	16851452	1057	2597.5	5
73_3a	AL5G20820	scaffold_3_RagTag	18834797	18836913	2116	2597.5	6
73_3a	AL5G20820	scaffold_7_RagTag	19609120	19611050	1930	2597.5	7
73_3a	AL5G20820	scaffold_6_RagTag	23668355	23670506	2151	2597.5	8
73_3a	AL5G20820	scaffold_8_RagTag	5858555	5860513	1958	2597.5	9
73_3a	AL5G20820	scaffold_8_RagTag	5918307	5919568	1261	2597.5	10
73_3a	AL5G20820	scaffold_8_RagTag	12143244	12144314	1070	2597.5	11
73_3a	AL6G14840	scaffold_3_RagTag	35032348	35034185	1837	2711.25	1
73_3a	AL7G21960	scaffold_5_RagTag	7023925	7024957	1032	2573.75	1
73_3a	AL8G11220	scaffold_3_RagTag	35032686	35033307	621	1515	1
73_3a	AL8G20770	scaffold_8_RagTag	10976079	10978306	2227	3957.5	1
AL08_v2_f	AL5G20820	scaffold_7_RagTag	4772119	4773368	1249	2597.5	1
AL08_v2_f	AL5G20820	scaffold_7_RagTag	19745524	19747455	1931	2597.5	2
AL08_v2_f	AL5G20820	scaffold_7_RagTag	20838409	20839737	1328	2597.5	3
AL08_v2_f	AL5G20820	scaffold_5_RagTag	5621627	5623285	1658	2597.5	4
AL08_v2_f	AL5G20820	scaffold_8_RagTag	6008393	6009692	1299	2597.5	5
AL08_v2_f	AL6G14840	scaffold_8_RagTag	21025452	21027222	1770	2711.25	1
AL08_v2_f	AL8G20770	scaffold_2_RagTag	7342795	7344503	1708	3957.5	1
al1_v2_s	AL5G20820	scaffold_5_RagTag	3395123	3396673	1550	2597.5	1
al1_v2_s	AL5G20820	scaffold_5_RagTag	10597782	10599862	2080	2597.5	2
al1_v2_s	AL5G20820	scaffold_8_RagTag	2473065	2474367	1302	2597.5	3
al1_v2_s	AL5G20820	scaffold_7_RagTag	21374983	21377287	2304	2597.5	4
al1_v2_s	AL5G20820	scaffold_7_RagTag	21382759	21385063	2304	2597.5	5
al1_v2_s	AL5G20820	scaffold_7_RagTag	21613639	21615570	1931	2597.5	6
al1_v2_s	AL5G20820	scaffold_6_RagTag	20448272	20449345	1073	2597.5	7
al1_v2_s	AL5G20820	scaffold_4_RagTag	10845048	10846233	1185	2597.5	8
al1_v2_s	AL5G20820	scaffold_4_RagTag	13480799	13483123	2324	2597.5	9
al1_v2_s	AL5G20820	scaffold_2_RagTag	8758273	8759576	1303	2597.5	10
al1_v2_s	AL5G20820	scaffold_2_RagTag	13078318	13079761	1443	2597.5	11
al1_v2_s	AL6G14840	scaffold_1_RagTag	28625109	28627623	2514	2711.25	1
al1_v2_s	AL6G14840	scaffold_6_RagTag	1110526	1112429	1903	2711.25	2
al1_v2_s	AL7G21960	scaffold_2_RagTag	11649073	11650301	1228	2573.75	1
al1_v2_s	AL8G11220	scaffold_6_RagTag	13238710	13239569	859	1515	1
al1_v2_s	AL8G20770	scaffold_2_RagTag	11647938	11650663	2725	3957.5	1
AL27_v1	AL5G20820	scaffold_5_RagTag	5797220	5798985	1765	2597.5	1
AL27_v1	AL5G20820	scaffold_5_RagTag	9107938	9108982	1044	2597.5	2
AL27_v1	AL5G20820	scaffold_7_RagTag	20449504	20451436	1932	2597.5	3
AL27_v1	AL5G20820	scaffold_7_RagTag	21478034	21479357	1323	2597.5	4
AL27_v1	AL5G20820	scaffold_4_RagTag	4158235	4160786	2551	2597.5	5
AL27_v1	AL5G20820	scaffold_8_RagTag	3947519	3948868	1349	2597.5	6
AL27_v1	AL5G20820	scaffold_6_RagTag	23737963	23740012	2049	2597.5	7
AL27_v1	AL7G21960	scaffold_5_RagTag	6849249	6850280	1031	2573.75	1
ALR	AL5G20820	scaffold_5	5811264	5813029	1765	2597.5	1
ALR	AL5G20820	scaffold_5	14133691	14135767	2076	2597.5	2
ALR	AL5G20820	scaffold_8	5025849	5027092	1243	2597.5	3
ALR	AL5G20820	scaffold_8	5780093	5781393	1300	2597.5	4
ALR	AL5G20820	scaffold_8	5832222	5833526	1304	2597.5	5
ALR	AL5G20820	scaffold_7	16945346	16946609	1263	2597.5	6
ALR	AL5G20820	scaffold_7	22538152	22540271	2119	2597.5	7
ALR	AL5G20820	scaffold_7	22771077	22773012	1935	2597.5	8
ALR	AL5G20820	scaffold_2	16459966	16461490	1524	2597.5	9
ALR	AL5G20820	scaffold_6	22164629	22165693	1064	2597.5	10
ALR	AL5G20820	scaffold_1	17882042	17883306	1264	2597.5	11
ALR	AL7G21960	scaffold_5	10947218	10948250	1032	2573.75	1
BAM12_v2	AL5G20820	scaffold_5_RagTag	6429560	6431171	1611	2597.5	1
BAM12_v2	AL5G20820	scaffold_5_RagTag	10955940	10957117	1177	2597.5	2
BAM12_v2	AL5G20820	scaffold_7_RagTag	21952503	21954137	1634	2597.5	3
BAM12_v2	AL5G20820	scaffold_7_RagTag	21954749	21956075	1326	2597.5	4
BAM12_v2	AL5G20820	scaffold_7_RagTag	22148038	22149969	1931	2597.5	5
BAM12_v2	AL5G20820	scaffold_8_RagTag	6994282	6995586	1304	2597.5	6
BAM12_v2	AL5G20820	scaffold_6_RagTag	19813388	19814451	1063	2597.5	7
BAM12_v2	AL5G20820	scaffold_2_RagTag	13044733	13047061	2328	2597.5	8
BAM12_v2	AL6G14840	scaffold_5_RagTag	7439184	7441045	1861	2711.25	1
BAM12_v2	AL7G21960	scaffold_2_RagTag	7639949	7641161	1212	2573.75	1
BAM12_v2	AL8G20770	scaffold_8_RagTag	10297394	10299876	2482	3957.5	1
BAM12_v2	AL8G20770	scaffold_2_RagTag	3256303	3258045	1742	3957.5	2
BOR_v1	AL5G20820	scaffold_5_RagTag:0-21731985	9914510	9916586	2076	2597.5	1
BOR_v1	AL5G20820	scaffold_5_RagTag:0-21731985	20448135	20449389	1254	2597.5	2
BOR_v1	AL5G20820	scaffold_8_RagTag:0-21093757	4957198	4958441	1243	2597.5	3
BOR_v1	AL5G20820	scaffold_8_RagTag:0-21093757	5861448	5863036	1588	2597.5	4
BOR_v1	AL5G20820	scaffold_8_RagTag:0-21093757	10736026	10737097	1071	2597.5	5
BOR_v1	AL5G20820	scaffold_4_RagTag:18000-22695972	4674702	4677291	2589	2597.5	6
BOR_v1	AL5G20820	scaffold_4_RagTag:18000-22695972	4681795	4683369	1574	2597.5	7
BOR_v1	AL5G20820	scaffold_7_RagTag:0-26551907	1611252	1613172	1920	2597.5	8
BOR_v1	AL5G20820	scaffold_7_RagTag:0-26551907	21116722	21118651	1929	2597.5	9
BOR_v1	AL5G20820	scaffold_1_RagTag:0-28294041	17807075	17808125	1050	2597.5	10
BOR_v1	AL7G21960	scaffold_5_RagTag:0-21731985	7034127	7035157	1030	2573.75	1
F1-14	AL5G20820	scaffold_1_RagTag	1180926	1182884	1958	2597.5	1
F1-14	AL5G20820	scaffold_4_RagTag	9852459	9853708	1249	2597.5	2
F1-14	AL5G20820	scaffold_2_RagTag	8524063	8526530	2467	2597.5	3
F1-14	AL5G20820	scaffold_7_RagTag	16591739	16593947	2208	2597.5	4
F1-14	AL5G20820	scaffold_7_RagTag	16652916	16654210	1294	2597.5	5
F1-14	AL5G20820	scaffold_7_RagTag	16728823	16730096	1273	2597.5	6
F1-14	AL5G20820	scaffold_7_RagTag	18501730	18502993	1263	2597.5	7
F1-14	AL5G20820	scaffold_7_RagTag	21897076	21898988	1912	2597.5	8
F1-14	AL5G20820	scaffold_5_RagTag	5405351	5407516	2165	2597.5	9
F1-14	AL5G20820	scaffold_5_RagTag	6750239	6751974	1735	2597.5	10
F1-14	AL5G20820	scaffold_8_RagTag	5736480	5737867	1387	2597.5	11
F1-14	AL5G20820	scaffold_8_RagTag	7292494	7294081	1587	2597.5	12
F1-14	AL6G14840	scaffold_1_RagTag	19452846	19454617	1771	2711.25	1
F1-14	AL8G11220	scaffold_6_RagTag	9586082	9587321	1239	1515	1
F1-14	AL8G20770	scaffold_8_RagTag	10725258	10727752	2494	3957.5	1
KN003hexa_v0	AL5G20820	scaffold_5_RagTag	8902438	8904516	2078	2597.5	1
KN003hexa_v0	AL5G20820	scaffold_8_RagTag	6168397	6169703	1306	2597.5	2
KN003hexa_v0	AL5G20820	scaffold_7_RagTag	20519940	20521630	1690	2597.5	3
KN003hexa_v0	AL5G20820	scaffold_7_RagTag	20543784	20545663	1879	2597.5	4
KN003hexa_v0	AL5G20820	scaffold_7_RagTag	21466633	21467961	1328	2597.5	5
KN003hexa_v0	AL5G20820	scaffold_4_RagTag	4256924	4258079	1155	2597.5	6
KN003hexa_v0	AL5G20820	scaffold_2_RagTag	11990280	11991398	1118	2597.5	7
KN003hexa_v0	AL6G14840	scaffold_2_RagTag	20109411	20111394	1983	2711.25	1
KN003hexa_v0	AL6G14840	scaffold_4_RagTag	23267540	23269069	1529	2711.25	2
KN003hexa_v0	AL7G21960	scaffold_7_RagTag	4797975	4800064	2089	2573.75	1
KN003hexa_v0	AL7G21960	scaffold_1_RagTag	5535990	5537853	1863	2573.75	2
KN003hexa_v0	AL8G11220	scaffold_8_RagTag	11726705	11727530	825	1515	1
KN003hexa_v0	AL8G11220	scaffold_2_RagTag	11042389	11043214	825	1515	2
KN003hexa_v0	AL8G11220	scaffold_2_RagTag	19233982	19234828	846	1515	3
KN003hexa_v0	AL8G11220	scaffold_1_RagTag	25661891	25662716	825	1515	4
KN003hexa_v0	AL8G11220	scaffold_4_RagTag	23267878	23269347	1469	1515	5
KN003hexa_v0	AL8G20770	scaffold_1_RagTag	5535506	5539373	3867	3957.5	1
KN003hexa_v0	AL8G20770	scaffold_7_RagTag	4796883	4798940	2057	3957.5	2
KN005_v1	AL5G20820	scaffold_5_RagTag	9570899	9572976	2077	2597.5	1
KN005_v1	AL5G20820	scaffold_8_RagTag	6277498	6278791	1293	2597.5	2
KN005_v1	AL5G20820	scaffold_8_RagTag	6361726	6363032	1306	2597.5	3
KN005_v1	AL5G20820	scaffold_7_RagTag	21048492	21049742	1250	2597.5	4
KN005_v1	AL5G20820	scaffold_7_RagTag	21982187	21983515	1328	2597.5	5
KN005_v1	AL6G14840	scaffold_2_RagTag	20695585	20697570	1985	2711.25	1
KN005_v1	AL7G21960	scaffold_7_RagTag	4773000	4775103	2103	2573.75	1
KN005_v1	AL7G21960	scaffold_7_RagTag	13220910	13222118	1208	2573.75	2
KN005_v1	AL8G11220	scaffold_2_RagTag	11550232	11551057	825	1515	1
KN005_v1	AL8G11220	scaffold_8_RagTag	9839371	9840198	827	1515	2
KN005_v1	AL8G20770	scaffold_7_RagTag	4771908	4773965	2057	3957.5	1
KN005_v1	AL8G20770	scaffold_7_RagTag	13220426	13224307	3881	3957.5	2
KN005_v1	AL8G20770	scaffold_7_RagTag	21924519	21926876	2357	3957.5	3
KN006_v1	AL5G20820	scaffold_5_RagTag	6542329	6544094	1765	2597.5	1
KN006_v1	AL5G20820	scaffold_5_RagTag	9752606	9754683	2077	2597.5	2
KN006_v1	AL5G20820	scaffold_7_RagTag	21946893	21948211	1318	2597.5	3
KN006_v1	AL5G20820	scaffold_7_RagTag	21970299	21972179	1880	2597.5	4
KN006_v1	AL5G20820	scaffold_7_RagTag	23841289	23842617	1328	2597.5	5
KN006_v1	AL5G20820	scaffold_8_RagTag	6613075	6614379	1304	2597.5	6
KN006_v1	AL5G20820	scaffold_2_RagTag	7021630	7022812	1182	2597.5	7
KN006_v1	AL6G14840	scaffold_4_RagTag	23360577	23362106	1529	2711.25	1
KN006_v1	AL7G21960	scaffold_7_RagTag	5063840	5065892	2052	2573.75	1
KN006_v1	AL8G11220	scaffold_4_RagTag	23360915	23362384	1469	1515	1
KN006_v1	AL8G20770	scaffold_8_RagTag	10149286	10152451	3165	3957.5	1
KN006_v1	AL8G20770	scaffold_2_RagTag	2188123	2190483	2360	3957.5	2
KN006_v1	AL8G20770	scaffold_7_RagTag	5062680	5064805	2125	3957.5	3
MN47_mabs_v3	AL5G20820	scaffold_5_RagTag	12094138	12096215	2077	2597.5	1
MN47_mabs_v3	AL5G20820	scaffold_2_RagTag	6648586	6649768	1182	2597.5	2
MN47_mabs_v3	AL5G20820	scaffold_7_RagTag	22115092	22116410	1318	2597.5	3
MN47_mabs_v3	AL5G20820	scaffold_7_RagTag	22138499	22140379	1880	2597.5	4
MN47_mabs_v3	AL5G20820	scaffold_7_RagTag	23174506	23175834	1328	2597.5	5
MN47_mabs_v3	AL6G14840	scaffold_6_RagTag	1824752	1826920	2168	2711.25	1
MN47_mabs_v3	AL6G14840	scaffold_4_RagTag	23193924	23195451	1527	2711.25	2
MN47_mabs_v3	AL7G21960	scaffold_7_RagTag	5036199	5038257	2058	2573.75	1
MN47_mabs_v3	AL8G11220	scaffold_8_RagTag	571752	572963	1211	1515	1
MN47_mabs_v3	AL8G11220	scaffold_8_RagTag	12348697	12349524	827	1515	2
