gene	length
AL4G22470	4225
AL7G49290	1772
AL5G14830	2327
AL1G38960	1377
AL7G37080	1979
AL7G29360	2415
AL4G35580	1030
AL3G22630	966
AL6G36570	582
AL6G40140	11961
AL1G56960	1895
AL8G11370	4817
AL2G37500	9619
AL3G47290	2262
AL5G16540	1998
AL8G17880	7129
AL8G10660	3183
AL3G16870	1293
AL4G35500	1027
AL4G10190	833
AL1G40880	3317
AL4G44420	2081
AL1G44510	2235
AL3G25980	1825
AL7G52050	1929
AL4G11740	2675
AL1G56790	1089
AL2G29950	2718
AL3G22540	892
AL7G14700	2749
AL7G17000	2410
AL8G23980	2559
AL1G44620	4031
AL1G32880	1274
AL3G41310	1755
AL8G16570	1822
AL2G25840	3765
AL4G44060	6545
AL6G36110	2075
AL8G32740	6126
AL1G40480	6885
AL4G23330	2835
AL6G24590	2875
AL1G31800	4770
AL6G10970	3526
AL1G11800	2739
AL1G13710	3048
AL6G51420	2163
AL4G14860	2705
AL8G19860	1815
