qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	stitle
AT1G57650	CP087126.2	100	3146	0	0	1	3146	23546719	23549864	0	5810	GCA_020911765.2_ASM2091176v2_genomic
AT1G57650	CP087130.2	77.564	312	67	3	355	664	18429106	18429416	4.94e-45	185	GCA_020911765.2_ASM2091176v2_genomic
AT1G57650	CP086744.1	98.888	3147	31	2	1	3146	21804833	21807976	0	5614	GCA_024498495.1_ASM2449849v1_genomic
AT1G57650	CP086748.1	77.244	312	68	3	355	664	16565213	16565523	2.11e-43	180	GCA_024498495.1_ASM2449849v1_genomic
AT1G57650	CP086748.1	74.278	381	92	6	365	742	16572433	16572810	3.55e-36	156	GCA_024498495.1_ASM2449849v1_genomic
AT1G57650	CP086745.1	74.552	279	67	4	365	641	5229398	5229674	4.66e-25	119	GCA_024498495.1_ASM2449849v1_genomic
AT1G57650	CM046288.1	97.222	2736	52	11	3	2723	20614723	20617449	0	4610	GCA_025388435.1_AtA1-141.20181003_genomic
AT1G57650	CM046288.1	98.601	429	4	1	2720	3146	20617531	20617959	0	758	GCA_025388435.1_AtA1-141.20181003_genomic
AT1G57650	CM046292.1	77.885	312	66	3	355	664	14996346	14996656	9.5e-47	191	GCA_025388435.1_AtA1-141.20181003_genomic
AT1G57650	CM046290.1	97.222	36	1	0	1544	1579	15766964	15766999	7.77e-08	62.1	GCA_025388435.1_AtA1-141.20181003_genomic
AT1G57650	CM046290.1	94.737	38	2	0	1542	1579	15708220	15708257	2.79e-07	60.2	GCA_025388435.1_AtA1-141.20181003_genomic
AT1G57650	CM046290.1	94.737	38	2	0	1542	1579	15723376	15723413	2.79e-07	60.2	GCA_025388435.1_AtA1-141.20181003_genomic
AT1G57650	CM046290.1	94.737	38	2	0	1542	1579	15769166	15769203	2.79e-07	60.2	GCA_025388435.1_AtA1-141.20181003_genomic
AT1G57650	CM072657.1	98.102	3162	37	8	1	3146	23269611	23272765	0	5485	GCA_036926925.1_ASM3692692v1_genomic
AT1G57650	CM072661.1	77.564	312	67	3	355	664	19437020	19437330	4.86e-45	185	GCA_036926925.1_ASM3692692v1_genomic
AT1G57650	CM072659.1	78.788	99	17	3	1542	1638	18447138	18447234	2.38e-08	63.9	GCA_036926925.1_ASM3692692v1_genomic
AT1G57650	CM072659.1	94.737	38	2	0	1542	1579	18396342	18396379	3.07e-07	60.2	GCA_036926925.1_ASM3692692v1_genomic
AT1G57650	CM072659.1	77.778	99	18	3	1542	1638	18346596	18346692	1.11e-06	58.4	GCA_036926925.1_ASM3692692v1_genomic
AT1G57650	CM072637.1	80.891	853	126	26	1526	2364	23000215	23001044	0	638	GCA_036926965.1_ASM3692696v1_genomic
AT1G57650	CM072637.1	81.864	590	76	19	355	936	22996132	22996698	4.19e-130	468	GCA_036926965.1_ASM3692696v1_genomic
AT1G57650	CM072637.1	82.067	329	50	3	1376	1696	22999625	22999952	3.53e-71	272	GCA_036926965.1_ASM3692696v1_genomic
