assembly	gene	scaffold	start	end	length	max_length	copy
73_3a	AL1G56010	scaffold_8_RagTag	15911768	15913778	2010	2950	1
73_3a	AL8G28550	scaffold_8_RagTag	15911855	15913778	1923	2701.25	2
73_3a	AL6G37010	scaffold_8_RagTag	15913067	15914963	1896	2640	2
73_3a	AL8G28550	scaffold_8_RagTag	20746504	20748255	1751	2701.25	3
73_3a	AL3G16010	scaffold_3_RagTag	2166578	2171540	4962	8631.25	1
73_3a	AL3G16040	scaffold_3_RagTag	2179245	2180767	1522	2272.5	1
73_3a	AL5G22900	scaffold_5_RagTag	2473042	2473993	951	1793.75	1
73_3a	AL6G37010	scaffold_1_RagTag	17388839	17389947	1108	2640	1
73_3a	AL8G28550	scaffold_1_RagTag	17388851	17389947	1096	2701.25	1
AL08_v2_f	AL304U10030	scaffold_3_RagTag	2012640	2014142	1502	1918.75	1
AL08_v2_f	AL3G16040	scaffold_3_RagTag	2035995	2037393	1398	2272.5	1
AL08_v2_f	AL5G22900	scaffold_4_RagTag	20993982	20994935	953	1793.75	1
AL08_v2_f	AL6G37010	scaffold_1_RagTag	17125013	17126121	1108	2640	1
AL08_v2_f	AL8G28550	scaffold_3_RagTag	17650713	17651836	1123	2701.25	2
AL08_v2_f	AL8G28550	scaffold_1_RagTag	17125025	17126146	1121	2701.25	1
al1_v2_s	AL1G56010	scaffold_3_RagTag	13480576	13482991	2415	2950	1
al1_v2_s	AL6G37010	scaffold_1_RagTag	19227403	19228539	1136	2640	2
al1_v2_s	AL8G28550	scaffold_1_RagTag	19231187	19232310	1123	2701.25	3
al1_v2_s	AL304U10030	scaffold_3_RagTag	2118594	2120139	1545	1918.75	1
al1_v2_s	AL3G16010	scaffold_3_RagTag	2130121	2137830	7709	8631.25	1
al1_v2_s	AL3G16040	scaffold_3_RagTag	2143859	2145255	1396	2272.5	1
al1_v2_s	AL5G22900	scaffold_7_RagTag	515202	516156	954	1793.75	1
al1_v2_s	AL6G37010	scaffold_3_RagTag	13480837	13482991	2154	2640	1
al1_v2_s	AL8G28550	scaffold_1_RagTag	19227416	19228564	1148	2701.25	2
al1_v2_s	AL8G28550	scaffold_3_RagTag	13480664	13482865	2201	2701.25	1
AL27_v1	AL304U10030	scaffold_3_RagTag	2057288	2058791	1503	1918.75	1
AL27_v1	AL3G16040	scaffold_3_RagTag	2083404	2084798	1394	2272.5	1
AL27_v1	AL5G22900	scaffold_8_RagTag	9180714	9181666	952	1793.75	1
